"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",5,16609.7259215755,15641.2906470778,7070.11884290704,4279.55229209311,8481.95503206273,6021.23705380451,7.28002589961409,2,16713.4675179297,16713.4675179297,4356.3956482331,6160.87380879437,2247.88638969524,2247.88638969525,3.7,6,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",70,7103.00998101385,3898.06342868211,8281.78514031249,6218.67200622119,2095.06561684745,1408.32837751815,1.25,17,2396.11782646538,2119.42426052445,1986.72761025597,1851.56724480952,44.1188086516492,330.468754550053,0.8436580137124,17,9,7347.06050124009,4364.29125080606,8710.37086002117,3894.00174559208,371.689823774317,-1398.96356234905,2.07628973575139,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",68,13308.9579683795,10134.6292760093,10072.8103719259,9856.03180298582,9936.19119662639,6019.29674746098,2.20894071039161,45,8918.64265121213,6333.61685753601,8681.12862499238,8389.32114552805,-1765.30094570364,-661.889495230083,1.24546239950683,17,1,3272.73364422691,3272.73364422691,NA,0,0,0,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",9,18131.236034206,11051.6931081521,15686.1018397119,31631.7650406165,18541.4082509005,17489.7602065008,2.18791424478692,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",4,16463.0657066402,21043.2906903082,7666.56294272939,11534.4421720075,-4484.67242606353,-3202.93140075646,0.420362005223348,7,9636.95440544294,8644.86813881687,3448.51978420569,2127.05746369074,846.681804572691,637.082908919592,1.80204053899635,7,1,9026.28674799126,9026.28674799126,NA,0,0,0,1,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",3,19896.8134355277,19894.5885446717,1380.98947932784,0,1374.57735641392,786.394316064431,1.39328814622351,1,16719.7074996581,16719.7074996581,NA,0,0,0,1,5,1,23429.4119601883,23429.4119601883,NA,0,0,0,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Cotedivoire","Cotedivoire2009",1,3422.51679087582,3422.51679087582,NA,0,0,0,1,6,1339.19726706768,1697.55184102206,761.170965080978,1224.36889074129,356.513663240054,459.046408385675,2.65205863365401,4,1,9924.58418063989,9924.58418063989,NA,0,0,0,1,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",45,4276.19159697739,2431.82944931855,6483.02155966574,6637.6868938028,588.691964736178,126.006080332556,1.66666666666667,23,8377.1257619052,3901.93953730237,8884.15503564105,13184.729481651,1900.31405621148,369.308652787924,0.456422944879675,38,5,2440.27569784511,2454.53583377026,278.221334751359,276.620261996443,-15.3068806493403,60.1997227299733,0.935445947136582,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",6,726.669909186754,3511.16239021767,11383.9930860768,2487.51980030668,-13519.3829455945,-13745.0308006915,0.0844114832535885,6,3182.41161004317,1487.20038518906,9725.58734163007,12144.5656473339,322.403369688318,429.111861439577,1.22708333333333,15,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",2,9307.49366746994,9307.49366746994,5600.2932097073,7920.01061043401,972.976619311844,990.001326304251,1.35228021286355,4,5181.56583277295,5163.3584692611,1408.32439857192,2099.14139595391,290.837775843752,309.835448573478,1.61855913797861,0,3,12789.3845352153,3423.82512985079,14838.4450344046,23387.7045085984,-9200.72749920741,-6997.3874823444,0.540540540540541,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Guatemala","Guatemala2010",4,7733.28901622978,4312.20963659226,8065.41677537946,5714.59698781885,12325.184804889,10985.8946957239,0.986687249039213,1,5016.34484855454,5016.34484855454,NA,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",28,12914.5043596923,10788.5820149315,8984.26348554591,10460.175081939,-1366.04770892222,1225.743361884,0.255545093682779,27,10160.4868121667,4265.92041351844,12480.9921357258,10734.8267667697,-1200.78145312108,-2163.14279405081,0.686350236381788,29,17,19692.5037208935,9851.09916181923,22809.5762552158,28814.0007352017,-6774.65218373661,-5777.17974288678,0.494162344506134,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",5,8561.49483839552,6151.80191247473,8824.01663668491,14281.3435598574,300.725433596325,-356.144850620644,0.687696571824312,5,971.529783870337,1159.86217443339,1395.46179778298,361.035395662714,-13.4115454165708,23.7820190728482,0.935801989687539,4,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",3,53008.5234209177,31588.3235398142,45505.6584847889,83105.8657839365,-4501.08423099317,-4501.08423099317,1,1,9201.81177869811,9201.81177869811,NA,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",3,15512.7391064465,15838.4534150776,12647.7111276148,18416.9258418688,-2780.65645282571,-1124.07720891772,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,209397.923955494,209397.923955494,NA,0,0,0,1,"2013","Middle East and North Africa","Lebanon","Upper middle income"
