"countryOnly","country","N_+75%","mean_+75%","median_+75%","sd_+75%","iqr_+75%","OPcov_+75%","OPcovNoWeights_+75%","indAlloc_+75%","outliersOut","N_0-50%","mean_0-50%","median_0-50%","sd_0-50%","iqr_0-50%","OPcov_0-50%","OPcovNoWeights_0-50%","indAlloc_0-50%","N_50-75%","mean_50-75%","median_50-75%","sd_50-75%","iqr_50-75%","OPcov_50-75%","OPcovNoWeights_50-75%","indAlloc_50-75%","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",47,7689.29472233766,7211.65107278545,6601.97230138776,10004.7141700741,-1766.04743559405,-779.502142028693,0.295988397183971,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",90,28244.1609121023,15138.6550591221,30886.3764841672,25068.1156388335,-5499.44938124475,-5181.26001639358,0.669875337523159,4,11,17397.97831138,10763.5285337193,15727.9736556191,26221.6350151078,934.736857110995,5883.83646727136,0.529872931165229,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",52,238304.60552571,6857.03284059577,602173.815022678,87570.1988995081,-82490.9634795478,-103538.115106947,0.210526315789474,19,47,46541.162701627,4224.17984502964,90193.0207249337,43891.6640129324,-17399.4863345188,-14426.5909054732,0.328947368421053,12,269172.650629223,15298.1391275961,566458.709754403,54488.842760768,44740.7628120502,9490.82076305361,0.384854370733585,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",27,46893.4806228111,39990.7052048094,32410.8583653891,32804.2328042328,14319.8463868747,14748.5561783155,1,1,3,36728.3950617284,40740.7407407407,15667.9507981445,30555.5555555556,4766.80384087792,4766.80384087792,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",609,66706.1980349497,48073.8262586924,51190.8505605442,57617.7791386883,21730.4143378397,26253.8043748616,1.69230769230769,17,107,252393.545952844,143467.868902927,228082.196309444,245751.604342281,-66603.1625321916,18155.0184046749,1.54725016657516,3,83091.2239682874,65810.057803505,74997.7163738807,37435.2802313511,15523.0125476538,-6745.78471070487,3.1349276810278,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",74,15904.1006588218,12619.7913266595,11530.8088116008,13685.0108631926,-1021.10865489675,576.369630924381,1.92833200110998,3,NA,NA,NA,NA,NA,NA,NA,NA,3,11237.7641100381,6467.02047703432,9274.23954754172,14183.0413218214,2276.34049909071,841.334080661404,2.33719104795869,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",84,14840.4855016392,9805.54991132749,12682.5305283212,13303.0423018605,-974.136568199612,-2118.21348989777,0.915203539999304,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",27,80537.278158552,50000,70586.5966471511,81111.111111111,8491.84158934712,3462.98699938263,1.32352941176471,1,7,746162.911757004,773684.210526315,597280.396647796,953333.333333333,-115529.714108881,-128546.2242232,1.10932475884244,2,120794.642857143,120794.642857143,108944.951929956,154071.428571429,50240.6832298137,64872.1804511278,7.66666666666667,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",990,7005.08062858581,5110.44174207749,6128.49119530992,6000.89750016676,3.39384468792987,700.583832770336,1.36363636363636,130,24,20647.2661111116,12840.575922307,24616.8415475585,13292.3105917672,-10346.4950095704,-8437.67255630716,0.59114310510515,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",52,56361.6188472455,50000,34366.9063493895,38888.8888888889,5303.04136731833,7159.81505483648,1.43729843905639,3,10,46262.4311498025,48196.5812433819,40333.5269247516,48579.5454545455,3254.29951657535,-2529.61882707538,6.1716095170904,3,617753.796937679,543073.849103963,605539.571828216,913920.454545455,-295320.059542108,-199898.248681143,0.393360877754209,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",69,29126.4894195595,19869.2897189,28763.4541564071,32257.8262801904,9886.729550445,-1208.96922458901,0.452923373937335,9,24,19160.1014961934,14151.54103128,13909.1120405465,24089.6005034823,1372.48441523756,1070.09403555123,0.221286439287035,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",62,35688.1299345648,34391.475918571,19255.2325104082,27272.7272727273,10739.159188015,12714.2918053699,2.4,4,4,40047.4613234443,37500,10735.389935284,12500,-6551.45028398518,-4525.05049467666,0.569454932621796,2,96000,96000,110308.657865101,156000,74941.1764705882,74941.1764705882,25.5,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",63,9816.38115795244,6226.85250219965,10620.2502403025,10104.5051815351,-341.579087937998,-842.898221059969,0.54914701491858,10,5,6300.98984786047,1953.39532935824,7737.20690043544,11584.371028984,6751.28456850596,4654.65562512597,1.03784221736354,2,44528.103920657,44528.103920657,28548.2331587334,40373.2985148701,320.423004086271,320.423004086271,1,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",85,54719.9109008144,45937.0657947667,35789.2133805903,34069.891829761,-9296.80488762093,-14199.5400729911,2.3748520600999,5,8,23592.7353665446,21068.3973951804,14980.5484304977,9052.58195417378,-816.288088664623,2660.42750633447,2.77784121432363,5,46477.6368110934,17738.4167871252,61580.1890327637,49532.9955983094,-9211.68149948499,15609.7087146166,2.12451683934903,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",63,9522.79150663931,10071.2250712251,6288.0070365571,7049.85754985756,1993.45388146367,560.811758723536,0.738169667057859,36,NA,NA,NA,NA,NA,NA,NA,NA,2,296181.684778908,296181.684778908,275489.607769973,389601.13960114,-145059.561652892,-153057.590557591,0.588412440259531,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",36,18626.4136269035,13698.4800888608,15490.6636993073,15722.9678560861,4751.70013533621,5427.02949028501,1.01175461794448,6,34,30092.5426211268,22011.3741778822,32022.2558914809,27253.7263807397,6524.20353625831,4676.30469020166,1.23649150522096,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",797,29382.8452467978,16665.5948130447,31724.3278651625,33531.5022225498,6054.67242512002,8664.21931356549,1.06666666666667,102,470,58723.1285198767,47422.28636172,56059.071179362,60677.479983379,16003.0067773779,22335.9621504001,0.330493054595153,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",94,30528.9236142847,19413.5005285991,30470.8284855503,33918.0444212079,6223.77112737362,1437.67078785991,0.545122118844748,4,9,20033.9656250016,19551.6037199519,11697.1660796572,13687.8897892537,246.099187832217,-1740.01730126933,0.0397357138854324,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",59,11897.3875252517,4102.27293017835,16950.4324948051,9846.87449569499,4127.48541192735,4655.25329747229,1.95765159049037,13,21,31435.0928586188,12216.1033220787,37096.7883809494,74813.3316564968,31440.1856755168,18906.2350802771,1.37627883457911,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
