"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",5,0.237127982651129,0.114632763083719,0.234996027058866,0.345032623434633,0.102487926280889,0.00355666567009613,0.586387730138318,3,0.267571844184146,0.185971618374558,0.314736316570449,0.15784,-0.0171819667665486,-0.025,1.2,1,0.02,0.02,NA,0,0,0,1,1,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",7,0.249432316281709,0.117002649526104,0.30893902199704,0.516045913949438,-0.0458828672195947,0.0369409701207569,8.16162826008756,9,1.43292381119298,0.793255103724488,1.37886371451068,2.05,-0.712366030969339,-0.61818606042744,3,9,0.400742011683871,0.482540149747366,0.194754344245265,0.128571428571429,-0.209246543101872,-0.198566293465138,0.848186666710931,3,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",6,0.0683861445863055,0.0166381475738322,0.10026332948778,0.18844,0.0377078191697984,0.0457174669629137,0.465027812135183,15,0.0158476140412611,0.00265383717680716,0.0291021651785024,0.012573763949626,0.0307920541366809,0.0447033450125538,0.171033422614834,5,0.108311296803411,0.0971042065597485,0.113573873510581,0.182405385601759,-0.00291289828900151,-0.00437565242408815,0.8,3,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",2,0.0880407134424491,0.088040713442449,0.0228755471957313,0.0323509090909091,0.0145989199590391,0.0140187272727273,0.513215875880204,1,0.3,0.3,NA,0,0,0,1,7,0.221743475138119,0.253820570267821,0.0618155317941964,0.0831578947368422,-0.0114734477276198,-0.0119825341708608,0.833333333333333,0,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",50,0.142975021873036,0.139859262620365,0.074130986185873,0.0730769230769231,0.00400441777120078,0.00491917110432797,0.922943464321873,51,0.235216153985162,0.170199676589034,0.196297407274411,0.3,-0.0770565301736545,-0.061446879674431,3.01028244762039,40,0.212685831633473,0.180186767505863,0.116023820858159,0.223170571311139,-0.0177851233740248,-0.0414799021196834,2.66208109847677,4,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",4,0.242964384669485,0.225621390204308,0.223941648043474,0.429768853144199,-0.09388190155348,-0.0610409711307588,5.8347552459649,1,0.111766389922703,0.111766389922703,NA,0,0,0,1,3,0.0885417968371311,0.0859143633670448,0.00427235441317,0.00656733984314543,-0.00196834642441097,-0.00161965584735585,3.50321304921998,6,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",2,0.317166587273402,0.317166587273402,0.0235702260395515,0.0333333333333333,-0.0137174171089365,-0.0133986928104575,4.97701953074304,29,0.310224587561721,0.293958530590918,0.170135230350154,0.154251063829787,-0.00828404803794279,-0.00263616828015212,1.20882705300192,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",10,0.21601000070268,0.225395674253452,0.124128186089421,0.203095975232198,-0.0540917066941152,-0.0488958178839079,0.566666666666667,8,0.269478966800395,0.299333333333333,0.101961779528572,0.182692307692308,-0.00737529929684185,-0.0195748930476374,0.196,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",9,0.0385969952233695,0.0314027533912153,0.0500232867290124,0.0571461988304094,0.0273952577704355,0.0237107117618031,0.486019775032183,124,0.131350948491011,0.1,0.116153505667938,0.155714285714286,0.0034342787642452,0.0171730135908804,0.8,22,0.176234811269004,0.183906256773154,0.093112913197027,0.107142857142857,-0.0520184151434573,-0.0179358551376236,0.794106307055508,2,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",11,0.293701937388404,0.293714894955904,0.0386857760813688,0.030535714285714,-0.0363133125090093,-0.0293553962023812,NA,1,0.18,0.18,NA,0,0,0,1,2,0.285714285714286,0.285714285714286,0,0,0,0,1,4,"2010","Latin America and Caribbean","Barbados","High income"
