"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,0,125,2.11729130335939,1.6235730784205,1.40293162948185,2.13059089875854,0.0239204203555288,-0.0190344496624001,0.704907597751745,172,3.22769895448278,2.94022157575385,1.52015727790972,1.85495177895271,-0.132804806373517,-0.0741382294428256,0.709921167251214,120,3.12647596547989,3.49856041747461,1.47340249136927,2.19429635954512,-0.0255809553007958,-0.282864283966632,1.08452491023532,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",NA,NA,NA,NA,NA,NA,NA,NA,0,10,1.46823684302153,1.22391189990916,0.675469792556693,0.746975244227025,0.152499267102421,0.142920565953697,2,6,1.2738268896508,1.12891374260179,0.425619238048394,0.459132121287464,0.0383094427237181,0.0393579923658948,1.0225,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,314,2.34873614282178,2.16579998874971,1.26093142391556,1.6390535946471,0.0181282554777492,-0.00521873117830658,1.09221332677603,401,2.4553339179182,2.38224855788314,1.30255584076935,1.7982333273603,0.0281854690495312,0.048851194111508,1.07572771969226,353,3.27338087020295,3.32528493686908,1.19525336388652,1.64434212566286,0.251758008908134,0.0751805858224379,0.985820284081783,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,0,12,2.22285870305485,2.29111467827518,0.36247496637086,0.479892248428088,0.09657473254547,0.100925366278582,1.44880763014913,9,1.95654209259907,1.98179053184204,0.456633451629783,0.310608913912841,0.0845481141892228,0.0588561990590077,2.99068322209468,4,2.38206427658647,2.17913121560855,0.591148117605526,0.553343363340299,0.0638738442380309,0.0638738442380309,1.71359223300971,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",NA,NA,NA,NA,NA,NA,NA,NA,1,12,2.51218586083102,2.7883796102767,0.708278026377845,0.961595249518112,-0.0559502587788579,-0.0965361002243439,0.849139286174836,3,2.6558025606957,2.70231235853757,0.194801797234784,0.394734791579207,0.0116343229004529,0.0104426104394275,1.13274140261126,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",NA,NA,NA,NA,NA,NA,NA,NA,0,10,3.25899266244281,3.10934583056127,1.08289876059685,2.08525449915586,-0.0240608346913526,0.131750475207138,1.17675707342796,9,2.99590518974289,2.8182239209631,0.519782214057694,0.887080264867462,0.137240265726543,0.110315122454206,0.974827263404065,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,14,344,2.09301868149552,1.84807136942729,1.21330125627954,1.13414538994523,-0.0890572215807142,-0.0342646215363957,1.19205101137786,464,2.0955507753304,2.26094023419896,1.27159795850394,1.47236760966427,-0.00250884921390588,0.0229671014998089,0.978156035509733,211,2.46657667155862,2.33679647380401,1.28894919207539,1.2798136033025,0.175715467998909,0.376920844332963,1.32685050593043,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burundi","Burundi2014",NA,NA,NA,NA,NA,NA,NA,NA,0,3,3.63515991648589,3.57428430418451,0.276603537977888,0.511455312551192,-0.0160149385643504,-0.0161315570115422,0.8,12,3.66254744531389,3.65327802414117,0.610844260225391,0.55841185606522,0.0342481161845046,0.0378594915236812,0.952072981280501,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,0,2,2.30949405504872,2.30949405504872,0.223129628309035,0.315552946521905,-0.00508837561297255,-0.0050895636535791,0.967551905451306,6,2.14673249177231,2.37382973386156,0.817848414450778,1.53595424334307,-0.0532511784322843,-0.0157644582329871,0.887692743801187,10,3.53631625746047,3.61051681509538,1.34238700632412,1.85624039770797,-0.520240592431428,-0.540922339030073,0.220533375678888,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,178,3.47160856852602,2.78053572934708,2.1239264142066,3.01754652701043,-0.0563809751003072,-0.0629352957588659,0.885415984883722,234,4.18991958796271,3.76422396109452,2.50768225620733,4.61762207631091,0.192046395783576,0.247703240414752,1.05896596550033,146,4.57551731700865,3.13575739560151,2.81606557144889,5.21789028707068,-0.620851190391296,-0.430974872894785,1.5733433977482,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,2,172,2.12196211916018,1.97554779672172,1.90487133987732,2.19213480196829,-0.0281570825042153,-0.0696679338141169,1.16047903691085,539,2.55294838838427,2.24651118275853,2.00057659502923,2.0034543826842,-0.0779677584497967,0.0123141200708088,1.00885273676552,548,2.48314891132522,2.33389444345801,1.45551143692746,1.62883328583715,-0.0852327836735402,-0.237718595391938,1.20794192237493,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,123,196,1.82375075466859,1.74348158650464,1.48249862999487,1.78875217914939,0.295558961815264,0.112034835644744,1.4,192,3.28803746181903,3.15320181626077,1.66619258792796,2.67588884013541,0.0588272280498034,-0.0275619455510923,1.52,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,1,55,1.04080125340618,0.971839329070883,1.22673613329469,1.96348421051734,0.0267620021400538,-0.041664432527541,1.19220764326111,47,2.03704907455949,2.12520141440558,1.00412964131181,0.86116967175169,-0.019774236504123,-0.0429508981434708,0.706732220297055,24,1.98853376363272,2.21595034217153,1.37553862243847,1.28164520475867,0.50413415455464,0.531546856368563,1.35086433778845,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",NA,NA,NA,NA,NA,NA,NA,NA,6,38,2.63481020235135,2.52929545676946,0.815269491486041,0.826747385463962,0.119355503236976,-0.0546654162703148,0.705882352941177,9,1.97876722275555,2.00406581149929,0.130302777854763,0.121950997083428,-0.00575699760377446,-0.015243427854492,0.920765352114003,2,2.92592341910875,2.92592341910875,2.78624780212119,3.94034942989202,-0.41477362419916,-0.41477362419916,0.826086956521739,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",NA,NA,NA,NA,NA,NA,NA,NA,0,12,1.25978004356995,1.17743694194942,0.557760818343692,1.00759428289488,0.0527221822621216,0.0548000516592071,0.851783571521921,4,2.13299190568479,2.2066431774517,0.574790787535251,0.572468417605908,-0.00271861459261643,-0.0147791787261657,0.853148523120475,2,5.1467120593994,5.1467120593994,5.00023213841005,7.07139610515331,-0.621200204254401,-0.663323731034174,0.870309803029894,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,2.59261939288792,1.88656047790178,1.19417279533385,1.49828072525905,0.176683630103603,0.176683630103603,1.48484848484848,9,2.13284704873858,2.46503966208933,0.663783405676757,1.18540065839126,-0.102682468430818,-0.108868112965034,0.488372093023256,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",NA,NA,NA,NA,NA,NA,NA,NA,0,81,1.3638763426919,1.21378126872325,1.844341419436,2.62691562374692,0.0634220453969231,0.0532222280886222,1.13115156456371,8,1.25003085684575,0.683853216719735,1.92500029657921,1.59208943011117,-0.18593629952831,-0.166359563695244,0.502032260726934,5,2.11652118823362,1.63653213126113,3.16713962848496,4.62596824040787,2.38847962310053,2.3586327157884,0.394345603608071,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,5,2.26264592560722,2.27583501272427,0.161529463332932,0.205052668539665,0.033581220838536,0.0799836549280976,1.0422981352798,13,2.95498178774872,3.12433337064061,0.562189921410964,0.674335052832749,-0.175276592050792,-0.0835150461767803,1.82566708884388,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,7,568,2.21566555136399,2.07390588818474,1.08522066200577,1.2661801194352,0.0385986834564187,0.0686254406705842,1.01059874770262,546,2.51013273321636,2.30054203018365,1.01953478155322,1.21328127330974,-0.0222855125631672,0.00868397865887872,1.1,306,2.68532174667739,2.5593110835641,1.39733004000677,1.70076560162755,-0.126329504721387,-0.033766650549888,0.9,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",NA,NA,NA,NA,NA,NA,NA,NA,0,11,2.3665387865345,2.38751010409509,0.451100394775379,0.565052680440512,-0.0134935728448711,0.00560555232526961,0.707446795608529,11,1.41675765884623,1.23857618141609,0.610979803040356,0.739059250085108,0.0561527233204186,0.24691382014002,1.2,19,2.5868583297661,2.55153799004425,0.731335820077551,0.804135377796399,-0.198091571011635,-0.189261558897889,0.98595554408173,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Fyrom","Fyrom2013",NA,NA,NA,NA,NA,NA,NA,NA,0,15,2.38482966509219,2.66090707931349,0.87122356377852,1.50862313529601,0.116839983362188,0.180376768987736,1.3254411936514,5,1.72518855703355,1.6495144688171,0.569406324814462,0.37008862093392,-0.0177423593401882,-0.0252540118360476,1.00248862279393,2,3.00993692937474,3.00993692937474,0.900234727195335,1.27312416051889,-0.116438752454272,-0.127312416051889,0.767052571858692,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",NA,NA,NA,NA,NA,NA,NA,NA,0,8,2.01293651830051,2.11534573043329,0.897968561112464,0.967584865550638,0.265616422813544,0.229090381852516,1.88531841828088,8,2.40023813401192,2.51303266950121,0.40540213813211,0.815513947585117,0.0360823605506662,0.228690883877421,0.718234672831108,2,2.39108601413193,2.39108601413193,0.00160949681728156,0.00227617222759591,0.000348430845758915,0.000539682112931216,2.31815867166746,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,1,117,2.26269593041788,2.15616133822643,1.06066075677985,1.17929150252794,0.0781650335183736,0.0695599216046095,1.16666666666667,39,2.87838935374473,2.41069858100946,1.43080451157607,2.0853793764744,0.209699677201637,0.228897481772736,0.926170329668692,19,4.41437595684412,4.37476398581321,2.11385597006574,3.38663448616287,0.328491504485643,0.248204113437151,1.17530330071398,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
