"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",4,10456.8789461712,11113.7850946713,4157.49574946391,5844.32603737748,831.101441396035,-1141.42280967357,1.24208700679289,1,2283.90109618567,2283.90109618567,NA,0,0,0,1,1,8458.89294883582,8458.89294883582,NA,0,0,0,1,8,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",2,48017.1654975553,48017.1654975553,7200.91868316536,10183.6368632783,-1069.48822780613,-1113.83528192106,0.842134896601047,3,48776.2769929217,44759.2185782908,46640.8243101361,70606.5489187293,-7508.91860002658,-11716.4256840612,0.472477118958886,NA,NA,NA,NA,NA,NA,NA,NA,1,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",6,195138.61099245,117532.070289854,203450.731012682,443186.368968154,-27072.3954176774,-30220.7771873406,1.1700814798625,1,22697.6014876403,22697.6014876403,NA,0,0,0,1,8,67262.2459861924,42955.9612700338,65838.3768213147,74121.8548580752,54396.5063106315,71853.3955166502,1.02605458697807,1,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",4,14424.704810281,12925.6739421522,8748.12927388899,15961.7215312101,2234.41750614913,2445.40173019496,2.35005408103836,1,12992.0989207524,12992.0989207524,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,6,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",7,9707.84391523423,8824.99492019474,4630.4046443927,7462.74491186805,-107.825138773182,-203.923436745665,0.981241938498318,5,34322.9462576896,20563.2517212731,36431.516199412,75362.2902429709,-11003.163013543,-8337.06495430339,0.911822584555668,1,39689.1305934684,39689.1305934684,NA,0,0,0,1,6,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",27,4808.28880030675,4355.49012108877,2478.15960550963,2419.71673393821,-292.969250623904,-334.905385111756,0.624219694276492,10,7136.30851628139,6696.37644799656,5272.73423774902,7508.45435015977,215.563321113171,23.2376990574154,1.24896115627511,1,8057.03451113979,8057.03451113979,Inf,0,0,0,1,6,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",4,52958.3333333333,52916.6666666667,13884.693810892,9125,14.6396396396401,14.6396396396401,1.7,1,954545.454545455,954545.454545455,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"2010","Latin America and Caribbean","Barbados","High income"
"Bhutan","Bhutan2015",4,47961.9033836331,10324.977124554,77072.9044010939,131043.927431555,-84.1191928595715,5485.06997335521,0.954618937140355,6,20513.4322978905,15415.2952788952,20182.8064638958,38373.6752004936,-3402.7770097494,-3414.89619724179,0.666666666666667,2,74239.4297360407,74239.4297360407,10003.3223883279,14146.8341903638,-2075.1885918345,-2112.8388725868,0.781878941559652,1,"2015","South Asia","Bhutan","Lower middle income"
"Bolivia","Bolivia2010",1,11098.0056980057,11098.0056980057,NA,0,0,0,1,1,113960.113960114,113960.113960114,NA,0,0,0,1,3,238476.161909365,124369.603721679,311691.212489985,583672.781043976,256514.671550272,258385.372739092,1.16914996437149,10,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Brazil","Brazil2009",1,7674.62197418232,7674.62197418232,NA,0,0,0,1,6,33559.4994018239,37905.8266471734,34513.1052148637,61381.8021864319,-212.841891687809,-206.763722725989,1,4,77570.7834255952,80317.0790736392,14155.4882911818,17974.5477994067,1906.5383650267,-3788.18309103669,1.2629631349401,7,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",3,62217.5333230176,92611.9212679557,67461.7607244579,103545.939020345,-8586.33888576871,-3244.13058046712,0.854843649558204,4,47487.4264444448,46178.6607494504,36929.4506430799,70616.1668795163,6767.49972763232,5064.08179708504,1.09747992347705,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",7,54218.5276821231,35198.1093136933,35444.9433930862,50479.0743144522,1647.85124401846,-2144.26279221047,1.06191394435326,4,88783.5727830165,78566.3582601447,73320.632863072,110254.998452167,2313.52507343035,3230.1865480416,0.902425732536395,11,127800.109236461,107348.768270588,122003.756276424,160977.814299865,20986.9568194406,92151.9768479695,0.560727635055725,7,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",57,38140.3876811439,29959.5900571625,30162.293714941,27962.2840533516,-745.91709853484,486.048018354062,1.50843849486312,18,35330.9961784902,26862.3757644935,30014.9149219834,21970.3660419191,-3447.42343697845,-2850.3467021238,1.47898699197513,62,40040.2566112368,27295.7088692684,35468.4635307445,31207.9063095443,-7828.72670691147,-13104.2712919034,0.630162293330794,14,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,21387.6398697882,21387.6398697882,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,3,62171.1920200293,14921.0247894566,79734.7553086098,122601.240636873,-10051.7794058887,-6065.12078739969,0.694117647058824,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",12,54440.050770123,43744.8249170198,43709.2527605403,88841.3517507989,-1539.66634634564,-3360.74652733541,0.773086728606859,11,7658.72617014169,3635.42684123024,10643.3419720583,7849.45845651872,1053.67843509402,334.208035154309,1.06943255055425,5,53636.6461683138,59811.9354085389,25591.9074736267,16197.295227737,11240.8519795362,12340.8993554778,1.94135088972607,2,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",6,80506.9007769615,59488.1984727433,51562.2022541573,71853.5769201341,-3764.4819392497,-4044.269427155,0.974766756167596,3,100038.313830207,96223.1785756718,21029.3897133241,40106.4677088514,-2788.17992711985,-2631.61939878461,0.969650735552191,2,117515.696159649,117515.696159649,125261.573513235,177146.616106612,4234.79951111463,4598.61418786915,1.03799426129609,1,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",7,125566.165751306,55342.6301741657,241189.438040606,42738.2808084888,66138.408557376,70992.2384341153,0.830898025501336,2,37088.3862780921,37088.3862780921,2394.09379056126,3385.75990820495,166.217691640535,211.609994262809,1.20237898468964,1,25217.0800224912,25217.0800224912,NA,0,0,0,1,1,"2013","Europe and Central Asia","Czech Republic","High income"
"Dominicanrepublic","Dominicanrepublic2010",3,47633.1108533892,45159.1391043229,37516.63441377,54348.6504372853,4621.04620486053,-1805.12770465742,0.541241667980822,3,7976.39047795888,7282.71732059927,4567.62275675861,3615.09018037675,168.298369575905,-343.109309985695,NA,3,28425.2791451356,27087.9954812635,14522.890610791,19434.6501570085,-1684.62381508092,-941.143045144584,1.33004926108374,2,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",8,26211.7278445282,20296.1354354243,25889.0706005069,33943.2011980234,4022.69054720879,3053.44873736784,1.6134758772379,4,9737.27421039301,824.070970770895,16994.6783426547,32663.0837991519,4650.62825978868,4778.30941889448,1.30516125561753,NA,NA,NA,NA,NA,NA,NA,NA,2,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",1,28651.1818181818,28651.1818181818,NA,0,0,0,1,1,6777.77777777778,6777.77777777778,NA,0,0,0,1,1,102173.913043478,102173.913043478,NA,0,0,0,1,2,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",93,29773.6741227868,24731.592775542,24447.32721021,28035.8373645044,-1721.62574528252,-1876.08005890329,0.778855628809984,76,12947.676099097,8971.46795664142,12087.7799777362,12538.2494880145,531.746224285511,842.547125810828,1.22222222222222,37,70263.2364669467,31400.137848245,69053.8012347758,125974.36255784,-11783.8295017161,279.455086874276,1.12299557583022,39,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",3,21018.5367257636,21354.3918892327,1116.00992038581,2201.90909090909,177.562957347677,172.607100415924,1.34248647569849,NA,NA,NA,NA,NA,NA,NA,NA,2,27648.6842105263,27648.6842105263,1836.61682376611,2597.36842105263,403.039927404718,403.039927404718,1.45,5,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Ethiopia","Ethiopia2011",2,1400.0707540302,1400.0707540302,1259.99939458364,1781.90823240207,-254.558318914582,-254.558318914582,0.777777777777778,7,5959.79268372506,2649.90717784452,6439.19855660118,12335.3465200484,-380.67914097326,-380.67914097326,1.83333333333333,1,2316.45157645691,2316.45157645691,NA,0,0,0,1,4,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Georgia","Georgia2013",4,12055.3546853545,12894.4361210927,8810.83302035886,9717.66469452504,-2065.22843808291,-1343.8203002991,0.652011855049464,4,15411.9375863725,5227.4182669107,22642.6929958797,36048.1854245828,321.043067885593,4364.28947370774,1.02419945563759,4,50261.7965813744,48287.1954302964,39893.3296726846,82173.4358208412,23869.9919910511,23923.0944531945,1.42857142857143,4,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",1,88242.613148929,88242.613148929,NA,0,0,0,1,11,13849.0004365073,10000.309467178,12337.139979808,22943.0794187215,2962.95872885869,2924.09916460838,1.54929277780564,1,43175.345761508,43175.345761508,NA,0,0,0,1,8,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
