"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,12,3.12856976883007,3.1860313721725,0.970007425293628,0.855104228666821,0.379313628041322,0.351707482257996,2.2669448222371,70,2.50702035803031,2.48100343065056,0.452263124450044,0.543097919193995,0.205457115680254,0.22819981666204,0.779857710021111,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,2,23,2.65333207980781,2.57419616665455,0.468253352368421,0.605273564362852,0.131071496973024,0.120507675039295,1.2419114937135,114,2.32406555355438,2.13158304659309,0.740117933014453,0.714347398761129,0.0299650742163736,0.0562463885161778,1.44185885384285,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Drc","Drc2013",NA,NA,NA,NA,NA,NA,NA,NA,0,3,1.24403530917337,0.950956332553103,0.564214111550413,0.959232558606391,0.515517196526688,0.534517367088658,1.96562718517787,28,1.85288981593329,1.53540743186904,0.845774708870487,1.06899823776817,0.436801461681089,0.389213497623176,0.594611552806016,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,3,10,2.18438589495276,2.23330155751127,0.335527551938925,0.256012408332388,-0.0580532005214413,-0.283535442794822,0.812741892416393,86,2.38592202664144,2.3699959887587,0.665493459915933,0.744206287595235,0.128807691860106,-0.0652989876339664,0.850439726163435,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,0,3,2.55474943387353,2.21160081225561,1.2408910909807,2.18962433039806,0.337555405274433,0.358979826216983,1.15968670521156,12,2.29930721960964,1.9163315447239,1.08737795848757,1.17590973481059,0.80568182861773,0.983579208242717,1.4,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,1,6,3.25805632004135,3.54657126764452,0.634139223852111,0.678760593639993,0.126454334399861,0.10612149372483,2.23010493611308,31,2.42870055255004,2.23602735649439,0.441504615926321,0.279579818144668,0.137984327751973,0.0703552975114538,0.929310791455372,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,0,7,2.62540092863551,2.39299633994719,0.66328776705436,0.982410783548648,0.469974400758982,0.530880740576404,1.90571722130619,11,2.39285881056898,2.1534691401822,0.45336363984968,0.82167448495008,0.173675185894037,0.573284319026933,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,22,2.94673793603702,2.87041683155561,0.476280517106313,0.589490611085431,0.0597585814291556,0.0598072226235211,1.13174225090223,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,82,2.25552410802801,2.03899914309713,0.477338824663471,0.406131247265726,0.270838925888431,0.110024277418341,0.978999716908031,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,0,3,1.01102141888561,1.01251797423077,0.197162719682115,0.281587446330111,-0.0216196217404197,0.00731118725038043,0.857142857142857,23,1.2156196324578,1.18378431179098,0.462955474140474,0.381813439816836,0.126831673367813,0.0348198587451955,1.06419219131555,"2013","South Asia","Nepal","Low income"
