"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",62,1.50934022248958,1.09151814345241,1.32535562930067,1.59872991187144,-0.622203220230027,-0.495440904216396,1.74730881932035,11,1.52441625176693,1.10208793225843,1.078165948109,2.3815671598255,-0.396583240425267,-0.125477155277708,4.03641864173416,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",3,0.792384679442259,0.793271297476093,0.00591113680243793,0.00844305442938587,0.00186778790030403,0.00197438616736218,0.390909090909091,2,3.07153701426921,3.07153701426921,3.26527453811867,4.61779553667896,0.0744805731722413,0.0744805731722412,0.96875,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",101,1.62580635482703,1.18790076258595,1.39736594447089,1.55064285499068,-0.415640823619836,-0.236654211272309,2.52004994492077,1,3.25621251071123,3.25621251071122,Inf,0,0,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",5,0.268244956021581,0.156333550971479,0.288017489873218,0.36334473006627,-0.0728507503537875,-0.0195201091430254,2.74285693783688,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",4,0.562761122386515,0.426003262945423,0.409406927409927,0.630200117782417,-0.0315130983607826,-0.0669914492273287,1.90630915357459,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",82,0.756967149555259,0.533035452413971,0.646833667985892,1.00610335328204,0.00639576907427244,0.00950882856248343,1.73666314851181,1,0.658183413777973,0.658183413777973,NA,0,0,0,1,32,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",5,0.433473341850369,0.212780640830338,0.479964974782148,0.953907128044959,-0.0404123576752809,0.0336367990518121,1.99019867308454,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",51,1.13738338602028,0.560420349605032,1.31276557890222,1.46418400622586,-0.606868498479849,-0.414424956236129,1.15612022811019,16,0.819610414815318,0.823846634803682,0.437604445861624,0.502560626748179,-0.0201985079704033,-0.0526699768381098,0.415074087667619,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",108,0.985116204978051,0.58298748041661,1.12130083282831,0.965714285714286,-0.165980153790448,-0.196353887626953,1.77740315574041,2,0.448955763952801,0.448955763952801,0.0206126196117569,0.0291506462109842,0.00201506372696427,0.00201038939386098,0.86440525591723,6,1,0.3125,0.3125,NA,0,0,0,1,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",68,0.44664459064544,0.25559892158211,0.465170289391236,0.262825768219378,-0.168210646535521,-0.128333782186641,30.6290018305918,1,1.94327070035062,1.94327070035062,Inf,0,0,0,1,16,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
