"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",30,15092.380724463,14854.1808091986,10333.6242465533,8646.65128671655,433.284029573412,1662.46406842242,0.508846891361959,15,37674.6387605269,27463.9074336496,28775.5998175357,31238.6251010701,6049.47274983362,4375.97919316106,1.06167873096648,38,23646.3081030195,19690.6369155101,16010.5908261339,24515.5154396784,2857.8237440024,1432.49891209159,1.41069766747498,35,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",1,3663.97177409712,3663.97177409712,NA,0,0,0,1,1,3534.03279582956,3534.03279582956,NA,0,0,0,1,1,1880.94566464625,1880.94566464625,NA,0,0,0,1,6,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",12,1456.04119205906,880.77293681813,1339.15892474188,1762.69247253475,147.214200046346,52.9635241987566,1,8,1155.12273533373,922.080545414047,874.419300497249,590.68742213623,28.6611515087365,3.00566627643314,0.790336757437337,6,1498.61309006953,1333.53483167549,522.161035875983,181.769121053437,-94.9108932337863,-66.0757926536918,0.67907631460248,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",36,24480.294629851,22075.9103591486,18098.6752874446,23119.824525279,104.308553261912,2296.11110722353,1.08499955379484,26,53649.4060647665,57924.3029358422,29038.8769849235,23043.8519172714,-17503.9587869719,-21128.4766790484,0.476103408065119,64,34529.2847065594,25670.3841126388,33625.3651281911,30158.9548658128,-1268.89105916886,443.630539726623,0.714911444553935,35,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",5,10333.320848847,10528.877056225,7479.57806278331,7129.42977956078,-930.981111246262,-874.150708534679,1,1,12940.1529238108,12940.1529238108,NA,0,0,0,1,2,11778.580244738,11778.580244738,10026.3075778458,14179.3401571137,-866.156444253753,-870.661237717508,0.894265325290383,6,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",6,19681.0839829475,19577.7876310028,7636.48161644104,15578.0993772859,-914.244086189529,200.354284403908,0.571428571428571,4,35411.3256307778,38581.632158978,17511.990357226,29060.5064144466,5206.52728233772,4300.96969874157,0.917493527473915,6,33537.7752859691,38072.9711301703,9771.33079984964,14126.7340234157,-574.784262345058,-1247.04747938794,1.05998144925909,5,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",16,14809.6876182721,8314.91182837072,13909.0342103847,8332.51098464831,960.093247729191,1329.87269752651,0.730624954441685,45,34488.7257712705,25055.2084861236,31013.4189825076,39078.1998309243,40981.1854780802,64944.3211271067,1.40974573939508,52,21129.8286807618,18742.1579872205,18518.2755165798,18631.1200667979,607.381263878894,-46.4276619814211,1.2,40,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,11323.9583712657,11323.9583712657,NA,0,0,0,1,5,40001.2580714185,37702.3561441401,22123.0291381541,44477.2035390694,-7973.47179591303,-6573.14407718516,0.344931708310775,7,27498.5924382383,25241.0536714505,13622.6200960049,12179.7241476514,-2044.61932633273,-755.77057828629,0.523036672575892,11,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",8,25516.5440927412,22918.5150864851,11684.3292878329,19511.5110204894,1521.36875558628,1570.81230680173,1.18710835867932,1,12684.453902767,12684.453902767,NA,0,0,0,1,4,24029.201196638,25658.1013821101,9160.76567932323,21052.7621686332,1246.01357957349,1152.99795011782,1.43211877248893,6,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",3,27984.0929676232,37119.2990570284,22585.9289917954,35847.1121916993,-10235.72202294,-7467.16630467441,0.775276437654904,NA,NA,NA,NA,NA,NA,NA,NA,1,27502.6914549343,27502.6914549343,NA,0,0,0,1,4,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
