"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",62,0.471260014750579,0.430945063384069,0.286247047146604,0.355875141971673,-0.048326773637159,-0.00680740975194885,2.17459443405213,11,0.425981867368743,0.349871759167309,0.273683309691478,0.224472138605524,0.00659917579070371,0.0366579562442169,1.26123498341419,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",4,0.598907769798525,0.7262313860252,0.24439579547806,0.183141456216665,-0.07357510846786,-0.0345881730565981,1.28571428571429,2,0.140512648560039,0.140512648560039,0.0472352914819671,0.0668007898364442,0.0010774320941362,0.0010774320941362,0.96875,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",108,0.396261898213509,0.348818770032211,0.291407086198863,0.390081421169504,0.03850372503378,0.033376912963455,0.538106765930162,1,0.0154241645244216,0.0154241645244216,Inf,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",4,0.261624910715434,0.262188168652045,0.0767687328823213,0.113199105145414,0.0254701525585442,0.00960792224176782,0.705903055335284,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",5,0.207208788622877,0.185218236738545,0.0897685327116589,0.163264763903742,0.0506231682981577,0.0469599127511836,0.355787431869104,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",82,0.260564761121052,0.196486796646864,0.204685098913073,0.268053375196233,0.0176533508606353,0.014731536337849,0.315862344696388,1,0.0394910048266784,0.0394910048266784,NA,0,0,0,1,31,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",5,0.276694159620587,0.283455908283,0.203852178848783,0.367765066926548,-0.0874544641581361,-0.0897422500478492,1.8485826614455,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",51,0.325497164926307,0.282173230188769,0.204314513937717,0.387092786410408,-0.128646329302449,-0.114825949613261,1.34676369794078,16,0.320576425756884,0.373187452315287,0.175626499955058,0.347180276237503,-0.054611271033465,-0.0489455594888218,1.79930931993449,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",112,0.272717504771214,0.228152112332956,0.171014048811792,0.19064039408867,0.0480496575658871,0.0161387404264564,0.489804981825555,2,0.202608319660838,0.202608319660838,0.0247858381438262,0.0350524684577833,-0.00242303231354176,-0.00241741161777816,1.14101493781074,2,1,0.28125,0.28125,NA,0,0,0,1,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,0.379746835443038,0.379746835443038,NA,0,0,0,1,1,0.0883304863795739,0.0883304863795739,NA,0,0,0,1,83,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
