"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",7,12044.4086641396,10422.1255866067,9078.16956630808,14282.7966823145,1293.22711134094,1219.06929484209,1.54751208927707,6,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",5,26887.521797603,1855.16283623513,44715.9536108954,24987.521696341,-15033.0726245028,-15033.0726245028,0.14018691588785,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",7,20382.9123699735,13853.8749082971,11588.8026369768,23086.4197530864,1126.60704432792,1283.09550531773,1.10597572729099,0,1,10802.4691358025,10802.4691358025,NA,0,0,0,1,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Armenia","Armenia2013",5,16560.2598656457,13737.6372216873,12730.2713589688,25534.2609420388,4984.57799048827,4977.98619670659,1.03847298631152,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",79,2534.31916650883,1743.44724455068,2101.18703084172,1695.7374871439,1280.41560929415,1487.66069672497,0.823336900524776,8,1,4828.04656559906,4828.04656559906,NA,0,0,0,1,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",12,18414.7933534737,18113.8579591025,6192.78696511681,10296.6666666667,-407.462686222516,-730.508510022829,0.64994532344527,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",10,12229.2957719067,9980.5741239296,10894.3557368868,7632.33728007707,-4341.77765839643,-5128.66024406232,0.588235294117647,0,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",5,17361.8589764454,12590.8304484813,10278.2709887359,5548.43067810545,2190.07548179173,2486.72612840293,0.973456672196082,2,1,19090.8420535151,19090.8420535151,NA,0,0,0,1,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",5,12378.2791022496,10154.4395128164,12889.4361882037,8739.27022441265,6583.28536537344,9558.60179192061,4.38975671180337,2,1,22923.7876490716,22923.7876490716,NA,0,0,0,1,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",89,13210.54227404,9436.05150096723,12709.383799442,12960.2700325658,6263.84696782344,6438.52090110103,1.03803236288274,35,49,23555.4806537158,23516.1076839573,21663.4829702322,28549.1940240638,13437.2295113748,22550.0934469066,0.50146275639157,"2009","Latin America and Caribbean","Brazil","Upper middle income"
