"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",16,23797.0751884783,27779.7877044457,9520.81467561993,9515.52211735756,-4770.40601537989,520.697715841558,0.286505001425197,21,31962.1832404026,25450.3672627341,18281.5485066145,19743.861856496,7229.97911757946,6070.56353036287,0.619060693640276,4,21428.0162116172,14344.3646580706,27168.8182575267,33312.2962285014,7853.6650507841,-540.902443917766,1.73105187966191,11,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",9,3622.52726146563,3916.21572462018,2341.84052781924,3436.27430124756,83.0594116476551,109.406649525361,1.15662357026053,8,4305.17691304586,1926.73917592875,5578.38006913952,5293.34176232027,-2415.15048785623,-2802.66500916733,0.213010249911634,16,1941.99500643422,1148.73856605309,1816.26703616447,1081.05498390101,58.7877124371622,-62.7210494142271,0.721009828325073,8,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",NA,NA,NA,NA,NA,NA,NA,NA,3,15017.6084821439,15176.6615446958,4282.00115475318,5085.00820095328,-3715.28178136738,-6630.37468967502,0.490804385216552,1,28565.2861354875,28565.2861354875,NA,0,0,0,1,6,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",1,32936.0022815147,32936.0022815147,NA,0,0,0,1,4,62090.983165672,69732.5366300266,24324.5961866368,20939.7299100492,394.164140953159,1744.41908481563,1,3,20756.8835427203,17992.7548113517,16174.2445628419,23700.3098968764,-1927.32515106779,-1332.18086234738,0.928571428571428,2,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",4,10630.6524209758,23093.5839946703,40520.7875587099,60822.8191674423,9265.9186113553,2901.50539266446,3.53124211981772,2,28414.5073345773,28414.5073345773,26065.976075969,36862.856883128,-19425.9063056912,-15213.2425231957,0.322313013287597,3,25989.5495717566,25877.7600395305,13919.0547927349,19642.6924379094,-5703.03920341539,-3557.29083152046,0.37769679900936,28,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",1,26610.0986183776,26610.0986183776,NA,0,0,0,1,1,17262.154491663,17262.154491663,NA,0,0,0,1,1,8815.74215434698,8815.74215434698,NA,0,0,0,1,4,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",1,2476.62049856715,2476.62049856715,NA,0,0,0,1,2,389149.867544949,389149.867544949,522039.592549541,738275.471879286,-129648.375549533,-129648.375549533,0.740072202166065,1,13622.7436632171,13622.7436632171,NA,0,0,0,1,1,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",28,19528.810991493,18703.3758107566,13699.1688122011,15693.1646345611,1311.88662091927,1378.23171134193,1.03813707943578,35,53037.1648012529,42404.5513282032,34757.47262619,35838.808277127,12472.4203244768,12573.2030714141,4.50013216215401,9,44508.7030544854,20894.6359717772,56189.0623283096,67259.061601105,51215.1738948794,54533.0034879211,0.931026742779982,13,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",7,9568.20046049937,8475.17981370405,4794.89478811263,8012.11101651602,-1226.7349654952,-1472.09847506016,0.304981393088587,5,16806.80926779,11973.4742729893,11815.2015707965,20799.4136706723,-3439.8727893777,-6375.28726030928,0.370310932971612,109,21084.7168038206,18261.3740218392,12875.3500014972,19199.1039616316,5092.09848976443,6310.94392806824,0.442994145746084,25,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",8,15018.9785465965,15052.9950078736,2164.16842672041,393.930315664536,-891.113563161923,-954.846727748752,0.5789829959611,25,36265.5793642726,29798.7875797966,20182.9990031301,27593.9665359632,5892.51279697686,5122.69382429478,0.781910685394553,6,16959.9705745882,17538.7563239658,3198.50148549496,3905.2697212104,130.854237331548,875.833991283533,0.88321107265935,17,"2010","Latin America and Caribbean","Colombia","Upper middle income"
