"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",52,0.589092556930296,0.54399360829604,0.389689444272427,0.515068932614039,0.0294887657394951,0.0328809882329658,0.945467529707871,17,0.434117176915008,0.358141303485376,0.26439060576892,0.26785023594028,-0.0180440029564772,-0.00397369401821091,0.810025277891761,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",30,0.363126313219529,0.383547994676568,0.156590566567347,0.187328019127518,0.04297326238665,0.0367128753765276,0.640024421133118,142,0.347543875366669,0.332417548989093,0.282342140815298,0.385193714406435,-0.0309189073457161,-0.00652128785808619,0.595636279366103,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",4,0.532427364169055,0.59188324016265,0.227484948498638,0.33111954459203,0.0301567240880606,0.0548683765238741,0.838674973663411,5,0.518500575921999,0.520823236220266,0.0439267643174873,0.0528716305177903,0.0140156186966349,0.0371736918570804,0.378605547661199,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Brazil","Brazil2009",116,0.406660911287124,0.438055839141925,0.224441478251805,0.321907315204902,-0.0210452515999622,-0.223326116344733,1.2,21,0.392405018464318,0.31167980712315,0.333705394292868,0.367839806363893,-0.0547464955167386,-0.119182054388287,1.14549407890916,7,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",1,0.602150537634409,0.602150537634409,NA,0,0,0,1,8,0.571107243844825,0.557020075146182,0.221050948824306,0.289194181665703,0.00950776599998561,0.0651141296395916,2.71651990829535,5,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",6,0.402494041878564,0.42610039338172,0.166342310857681,0.264843500396789,-0.0210294582632065,-0.0445124409937145,0.98635063548196,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",31,0.396535975677974,0.317534449419492,0.250194127936741,0.246521723336239,-0.0005792882155891,-0.0496769225369451,0.298983969611881,5,0.423400768940211,0.418969274886756,0.210469710297928,0.392384440719001,0.0990179314778144,0.101475450778073,0.655249864623205,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",55,0.285878092818505,0.230780436291051,0.197851480139849,0.257076159906624,0.0255061758120329,0.0508607005073146,3.0023555296723,43,0.379052426334219,0.394024574901549,0.204987165565947,0.203938218929264,-0.0472476823759539,-0.0684612387598827,0.513269333432365,1,5,0.396982481501228,0.374761259080099,0.180075401679509,0,-0.0231521020155235,-0.0616195925131456,2.20456013619845,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",50,0.54275767710446,0.36990352490475,0.377492949167752,0.379829927060405,-0.0655419934083085,0.0177940172782109,2.16456646890366,43,0.407866439536818,0.410790279165246,0.223189608749286,0.344569637872178,0.0375528009424699,0.00951991566660324,1.41222211656169,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",4,0.491200120671173,0.490186125812182,0.173507920971634,0.295512858222429,-0.0645223443871795,-0.052890437463665,1.08542618211841,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
