"countryOnly","country","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",6,5478.52238225619,8705.9967170833,13800.7718231011,7042.02837990583,3722.56450155131,2275.31360646436,0.906622917718324,6,5478.52238225619,8705.9967170833,13800.7718231011,7042.02837990583,3722.56450155131,2275.31360646436,0.906622917718324,27,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",7,408592.258592193,4473.98562289855,850715.194205872,53455.7498123667,152316.321246823,52453.7136969218,2.6371811983032,7,408592.258592193,4473.98562289855,850715.194205872,53455.7498123667,152316.321246823,52453.7136969218,2.6371811983032,7,7,408592.258592193,4473.98562289855,850715.194205872,53455.7498123667,152316.321246823,52453.7136969218,2.6371811983032,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",18,1532708.73182326,19585.5956268277,4324591.00659976,178868.825490736,103691.899755502,-85283.357075962,0.437156848006657,18,1532708.73182326,19585.5956268277,4324591.00659976,178868.825490736,103691.899755502,-85283.357075962,0.437156848006657,-24,18,1532708.73182326,19585.5956268277,4324591.00659976,178868.825490736,103691.899755502,-85283.357075962,0.437156848006657,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",NA,NA,NA,NA,NA,NA,NA,NA,10,22794.7557990918,14900.7658364006,23484.287831454,18203.7037037037,22810.2915506821,23416.1734657075,0.990756309123777,-10,10,22794.7557990918,14900.7658364006,23484.287831454,18203.7037037037,22810.2915506821,23416.1734657075,0.990756309123777,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",106,29023.7245080957,20151.2082438608,26477.7786839988,16753.3360913761,14017.1073491016,12948.5790451339,1.37963523309612,106,29023.7245080957,20151.2082438608,26477.7786839988,16753.3360913761,14017.1073491016,12948.5790451339,1.37963523309612,-144,106,29023.7245080957,20151.2082438608,26477.7786839988,16753.3360913761,14017.1073491016,12948.5790451339,1.37963523309612,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",12,8403.43639896005,2428.96720812158,13204.5318974771,8542.17140737726,3756.72823921981,15794.953871977,0.377311493079983,12,8403.43639896005,2428.96720812158,13204.5318974771,8542.17140737726,3756.72823921981,15794.953871977,0.377311493079983,-13,12,8403.43639896005,2428.96720812158,13204.5318974771,8542.17140737726,3756.72823921981,15794.953871977,0.377311493079983,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",14,7823.9179655827,5744.82710148492,7571.08279047002,3618.714848228,644.166706211942,527.017317543198,1.13206702308289,14,7823.9179655827,5744.82710148492,7571.08279047002,3618.714848228,644.166706211942,527.017317543198,1.13206702308289,3,14,7823.9179655827,5744.82710148492,7571.08279047002,3618.714848228,644.166706211942,527.017317543198,1.13206702308289,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",15,19117.6533527818,17121.4285714286,12527.056249684,7166.66666666667,3958.04345211285,5622.12341235157,0.571428571428571,15,19117.6533527818,17121.4285714286,12527.056249684,7166.66666666667,3958.04345211285,5622.12341235157,0.571428571428571,-25,15,19117.6533527818,17121.4285714286,12527.056249684,7166.66666666667,3958.04345211285,5622.12341235157,0.571428571428571,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",133,2789.08227280768,1899.78934251256,2679.36209584778,2530.33235606109,691.269626150054,333.281987967685,1.00409482360758,133,2789.08227280768,1899.78934251256,2679.36209584778,2530.33235606109,691.269626150054,333.281987967685,1.00409482360758,-233,133,2789.08227280768,1899.78934251256,2679.36209584778,2530.33235606109,691.269626150054,333.281987967685,1.00409482360758,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",8,18175.9526486184,17643.7433158708,6274.19783179964,9040.71666666667,-1055.93016118007,-1686.19859765289,2.01676629044434,8,18175.9526486184,17643.7433158708,6274.19783179964,9040.71666666667,-1055.93016118007,-1686.19859765289,2.01676629044434,-5,8,18175.9526486184,17643.7433158708,6274.19783179964,9040.71666666667,-1055.93016118007,-1686.19859765289,2.01676629044434,"2010","Latin America and Caribbean","Barbados","High income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,25,22382.3535045965,21944.9523115679,9952.288265571,16293.3333333333,10644.6251630586,11771.3739460641,2.32970528955451,-24,25,22382.3535045965,21944.9523115679,9952.288265571,16293.3333333333,10644.6251630586,11771.3739460641,2.32970528955451,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",6,10144.0251621223,1848.98058618862,19744.2635135687,11092.319362243,14749.2138441257,11967.7848986509,1.81809635330557,6,10144.0251621223,1848.98058618862,19744.2635135687,11092.319362243,14749.2138441257,11967.7848986509,1.81809635330557,-10,6,10144.0251621223,1848.98058618862,19744.2635135687,11092.319362243,14749.2138441257,11967.7848986509,1.81809635330557,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",6,11434.2542013741,6539.43693738298,11141.7544508157,14989.1514457847,3003.8301912833,6182.22898773395,3.5098220039397,6,11434.2542013741,6539.43693738298,11141.7544508157,14989.1514457847,3003.8301912833,6182.22898773395,3.5098220039397,-4,6,11434.2542013741,6539.43693738298,11141.7544508157,14989.1514457847,3003.8301912833,6182.22898773395,3.5098220039397,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",NA,NA,NA,NA,NA,NA,NA,NA,7,3117.48388655501,2906.45614768257,2513.14870376486,0,-157.433122546882,-546.354266751447,1,43,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",NA,NA,NA,NA,NA,NA,NA,NA,7,31445.3242494481,15812.8962014545,49292.3838489836,13593.9615419435,31556.0484695083,32772.4675467101,1.96953848549176,-5,7,31445.3242494481,15812.8962014545,49292.3838489836,13593.9615419435,31556.0484695083,32772.4675467101,1.96953848549176,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",117,17513.5054921527,10409.5935394096,16687.0301228874,16664.3224012323,-6986.73575987193,-8832.81007601355,1.12264933846175,117,17513.5054921527,10409.5935394096,16687.0301228874,16664.3224012323,-6986.73575987193,-8832.81007601355,1.12264933846175,-185,117,17513.5054921527,10409.5935394096,16687.0301228874,16664.3224012323,-6986.73575987193,-8832.81007601355,1.12264933846175,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",NA,NA,NA,NA,NA,NA,NA,NA,6,70295.5439606257,22535.8288810067,84313.9277672016,155042.973948908,-44678.316602342,-20079.2325776416,1.4690291413867,0,6,70295.5439606257,22535.8288810067,84313.9277672016,155042.973948908,-44678.316602342,-20079.2325776416,1.4690291413867,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",9,30984.2462884047,11251.456217879,80259.1450018154,11722.4418269845,-2743.93885808565,-7269.75021683725,0.344425815946796,9,30984.2462884047,11251.456217879,80259.1450018154,11722.4418269845,-2743.93885808565,-7269.75021683725,0.344425815946796,-7,9,30984.2462884047,11251.456217879,80259.1450018154,11722.4418269845,-2743.93885808565,-7269.75021683725,0.344425815946796,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",19,4844.26197992453,3422.31535060244,5381.92583910881,1966.92112306511,-894.440160656138,-893.196298373635,1.13171957097466,19,4844.26197992453,3422.31535060244,5381.92583910881,1966.92112306511,-894.440160656138,-893.196298373635,1.13171957097466,-29,19,4844.26197992453,3422.31535060244,5381.92583910881,1966.92112306511,-894.440160656138,-893.196298373635,1.13171957097466,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,17,52140.8052115966,16630.8477339328,112523.513506548,23785.5722517837,62147.6829988972,38887.9242380198,0.811639288644169,-5,17,52140.8052115966,16630.8477339328,112523.513506548,23785.5722517837,62147.6829988972,38887.9242380198,0.811639288644169,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",138,23768.6891778827,14679.9855856163,21982.7378145608,24961.6706931098,6410.93674919294,7974.95285529153,1.14540236855419,138,23768.6891778827,14679.9855856163,21982.7378145608,24961.6706931098,6410.93674919294,7974.95285529153,1.14540236855419,-233,138,23768.6891778827,14679.9855856163,21982.7378145608,24961.6706931098,6410.93674919294,7974.95285529153,1.14540236855419,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",107,36295.4023830692,21874.3025370282,58707.6738018656,26746.5081796836,-1580.62835473768,792.747711116059,1.75561540011105,107,36295.4023830692,21874.3025370282,58707.6738018656,26746.5081796836,-1580.62835473768,792.747711116059,1.75561540011105,-179,107,36295.4023830692,21874.3025370282,58707.6738018656,26746.5081796836,-1580.62835473768,792.747711116059,1.75561540011105,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",98,13769.7254665078,13345.1148541858,9980.74793232007,10001.6760944245,15703.2304377227,24927.8938842265,5.05407342750382,98,13769.7254665078,13345.1148541858,9980.74793232007,10001.6760944245,15703.2304377227,24927.8938842265,5.05407342750382,-154,98,13769.7254665078,13345.1148541858,9980.74793232007,10001.6760944245,15703.2304377227,24927.8938842265,5.05407342750382,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",66,16009.5171891136,14083.0562718515,11790.992401294,14867.9402924862,6310.7940487817,5576.17315700849,1.83408569699947,66,16009.5171891136,14083.0562718515,11790.992401294,14867.9402924862,6310.7940487817,5576.17315700849,1.83408569699947,-90,66,16009.5171891136,14083.0562718515,11790.992401294,14867.9402924862,6310.7940487817,5576.17315700849,1.83408569699947,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",23,8822.42675476555,2577.64052333555,14044.472251738,6618.17573600986,603.934485224984,-1586.54530642765,0.399535608618708,23,8822.42675476555,2577.64052333555,14044.472251738,6618.17573600986,603.934485224984,-1586.54530642765,0.399535608618708,-36,23,8822.42675476555,2577.64052333555,14044.472251738,6618.17573600986,603.934485224984,-1586.54530642765,0.399535608618708,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",18,50790.96295197,28407.8895090286,57973.1207315342,45721.3731880907,109650.184995329,110907.078785039,0.44481360020173,18,50790.96295197,28407.8895090286,57973.1207315342,45721.3731880907,109650.184995329,110907.078785039,0.44481360020173,-27,18,50790.96295197,28407.8895090286,57973.1207315342,45721.3731880907,109650.184995329,110907.078785039,0.44481360020173,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",NA,NA,NA,NA,NA,NA,NA,NA,4,15148.4859300618,9045.03671811297,21406.7351990954,7480.54820337974,9284.40791975989,9987.31645701471,0.9176850265939,1,4,15148.4859300618,9045.03671811297,21406.7351990954,7480.54820337974,9284.40791975989,9987.31645701471,0.9176850265939,"2013","Europe and Central Asia","Czech Republic","High income"
"Dominica","Dominica2010",14,18202.7529761701,14527.7777777778,9743.40072599945,17779.8941798942,5192.93032286963,3981.8314099753,0.9,14,18202.7529761701,14527.7777777778,9743.40072599945,17779.8941798942,5192.93032286963,3981.8314099753,0.9,-25,14,18202.7529761701,14527.7777777778,9743.40072599945,17779.8941798942,5192.93032286963,3981.8314099753,0.9,"2010","Latin America and Caribbean","Dominica","Upper middle income"
"Dominicanrepublic","Dominicanrepublic2010",14,16502.9230400037,14995.9672879914,16653.4422750462,6331.39548507836,-1016.71874883442,-1532.67570037806,0.386034904253966,14,16502.9230400037,14995.9672879914,16653.4422750462,6331.39548507836,-1016.71874883442,-1532.67570037806,0.386034904253966,-18,14,16502.9230400037,14995.9672879914,16653.4422750462,6331.39548507836,-1016.71874883442,-1532.67570037806,0.386034904253966,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",28,21352.1998499302,6978.35581251643,51791.0054398359,13645.9496624932,1328.32105186012,2318.31241667056,2.95675738875771,28,21352.1998499302,6978.35581251643,51791.0054398359,13645.9496624932,1328.32105186012,2318.31241667056,2.95675738875771,-40,28,21352.1998499302,6978.35581251643,51791.0054398359,13645.9496624932,1328.32105186012,2318.31241667056,2.95675738875771,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",NA,NA,NA,NA,NA,NA,NA,NA,23,27587.9401968226,30124.8053915979,24308.7961090002,36115.9111111111,10112.9237700825,12711.0671628192,1.03952864780215,-13,23,27587.9401968226,30124.8053915979,24308.7961090002,36115.9111111111,10112.9237700825,12711.0671628192,1.03952864780215,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",158,10079.4699489975,5580.55396442244,11870.1388099976,11633.7510727748,-1082.75220455495,-1109.08021798442,1.56145217827483,158,10079.4699489975,5580.55396442244,11870.1388099976,11633.7510727748,-1082.75220455495,-1109.08021798442,1.56145217827483,-224,158,10079.4699489975,5580.55396442244,11870.1388099976,11633.7510727748,-1082.75220455495,-1109.08021798442,1.56145217827483,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",25,8568.16030928387,7046.50090176448,7212.90356266604,9856.28571428571,1678.89131152608,1900.26632130121,1.33333333333333,25,8568.16030928387,7046.50090176448,7212.90356266604,9856.28571428571,1678.89131152608,1900.26632130121,1.33333333333333,-33,25,8568.16030928387,7046.50090176448,7212.90356266604,9856.28571428571,1678.89131152608,1900.26632130121,1.33333333333333,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",9,24900.8610817573,24049.0527849313,15816.4080818977,19642.0739915253,2698.80575941559,-2318.47947943653,2.62657560482839,9,24900.8610817573,24049.0527849313,15816.4080818977,19642.0739915253,2698.80575941559,-2318.47947943653,2.62657560482839,-1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",23,16884.3871296571,5372.93609846095,25333.1488201645,29109.1415152557,9414.9201743191,12054.9750859467,0.813930654058313,23,16884.3871296571,5372.93609846095,25333.1488201645,29109.1415152557,9414.9201743191,12054.9750859467,0.813930654058313,-12,23,16884.3871296571,5372.93609846095,25333.1488201645,29109.1415152557,9414.9201743191,12054.9750859467,0.813930654058313,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",23,10916.6103006599,8480.74491731002,8070.44943188415,13536.3456817422,-3302.5757745535,-1526.58574312397,0.470089915128568,23,10916.6103006599,8480.74491731002,8070.44943188415,13536.3456817422,-3302.5757745535,-1526.58574312397,0.470089915128568,-37,23,10916.6103006599,8480.74491731002,8070.44943188415,13536.3456817422,-3302.5757745535,-1526.58574312397,0.470089915128568,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",23,5649.29296770445,2998.50905485927,7340.53897380587,3414.82472437762,3489.9196533727,3634.22852014313,1.30291204280496,23,5649.29296770445,2998.50905485927,7340.53897380587,3414.82472437762,3489.9196533727,3634.22852014313,1.30291204280496,-24,23,5649.29296770445,2998.50905485927,7340.53897380587,3414.82472437762,3489.9196533727,3634.22852014313,1.30291204280496,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",25,8146.94475875248,3776.12891016372,9044.86881568634,14012.3358692059,4509.71174632516,870.995676344988,0.727277307025191,25,8146.94475875248,3776.12891016372,9044.86881568634,14012.3358692059,4509.71174632516,870.995676344988,0.727277307025191,-18,25,8146.94475875248,3776.12891016372,9044.86881568634,14012.3358692059,4509.71174632516,870.995676344988,0.727277307025191,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Grenada","Grenada2010",NA,NA,NA,NA,NA,NA,NA,NA,7,9073.71739916295,9864.53380656472,6052.10032209501,4683.64197530864,-3901.63418645107,-4093.86706376865,0.187828293620531,-3,7,9073.71739916295,9864.53380656472,6052.10032209501,4683.64197530864,-3901.63418645107,-4093.86706376865,0.187828293620531,"2010","Latin America and Caribbean","Grenada","Upper middle income"
"Guatemala","Guatemala2010",63,8293.33117374795,6424.09434244484,7808.45530278679,7734.43256552455,6168.25016992461,5579.22009255091,1.04328982878627,63,8293.33117374795,6424.09434244484,7808.45530278679,7734.43256552455,6168.25016992461,5579.22009255091,1.04328982878627,-80,63,8293.33117374795,6424.09434244484,7808.45530278679,7734.43256552455,6168.25016992461,5579.22009255091,1.04328982878627,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",17,18812.6867420845,13989.1431612466,14476.2203613826,15948.3408105305,3943.59301302098,3259.9785220074,0.719019103910241,17,18812.6867420845,13989.1431612466,14476.2203613826,15948.3408105305,3943.59301302098,3259.9785220074,0.719019103910241,-26,17,18812.6867420845,13989.1431612466,14476.2203613826,15948.3408105305,3943.59301302098,3259.9785220074,0.719019103910241,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",26,10555.4538021784,9186.34110212499,16171.7554439159,19761.7371699541,4846.36141422693,-939.580727922795,1,26,10555.4538021784,9186.34110212499,16171.7554439159,19761.7371699541,4846.36141422693,-939.580727922795,1,-23,26,10555.4538021784,9186.34110212499,16171.7554439159,19761.7371699541,4846.36141422693,-939.580727922795,1,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"Hungary","Hungary2013",9,47073.8620263567,23413.9602956472,57516.2414617922,43862.5312307028,19537.087048171,8755.10871106491,1.72649588519129,9,47073.8620263567,23413.9602956472,57516.2414617922,43862.5312307028,19537.087048171,8755.10871106491,1.72649588519129,-7,9,47073.8620263567,23413.9602956472,57516.2414617922,43862.5312307028,19537.087048171,8755.10871106491,1.72649588519129,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",392,11689.23354993,7500.0511917356,12360.9862064883,12953.7382995179,-1077.39246281515,878.483427590368,0.8,392,11689.23354993,7500.0511917356,12360.9862064883,12953.7382995179,-1077.39246281515,878.483427590368,0.8,-634,392,11689.23354993,7500.0511917356,12360.9862064883,12953.7382995179,-1077.39246281515,878.483427590368,0.8,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",84,981.207882203682,842.865654966693,784.141099035017,818.189130142656,-20.2060788058184,-397.819547049475,1,84,981.207882203682,842.865654966693,784.141099035017,818.189130142656,-20.2060788058184,-397.819547049475,1,-71,84,981.207882203682,842.865654966693,784.141099035017,818.189130142656,-20.2060788058184,-397.819547049475,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",158,19010.8669239187,13176.2337527153,18243.4407832056,22464.3778021936,-3431.30921458312,-2784.79507827181,0.640647999962571,158,19010.8669239187,13176.2337527153,18243.4407832056,22464.3778021936,-3431.30921458312,-2784.79507827181,0.640647999962571,-309,158,19010.8669239187,13176.2337527153,18243.4407832056,22464.3778021936,-3431.30921458312,-2784.79507827181,0.640647999962571,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",71,102510.693343461,86972.890764964,68309.8395960153,84446.7213794694,2742.300464141,9723.51942026354,1.2103763508654,71,102510.693343461,86972.890764964,68309.8395960153,84446.7213794694,2742.300464141,9723.51942026354,1.2103763508654,-111,71,102510.693343461,86972.890764964,68309.8395960153,84446.7213794694,2742.300464141,9723.51942026354,1.2103763508654,"2013","Middle East and North Africa","Israel","High income"
"Jamaica","Jamaica2010",NA,NA,NA,NA,NA,NA,NA,NA,29,21639.2392446078,14736.6972374599,18586.616685164,20765.5150378494,13933.8238975419,14999.3646785534,2.24222170095372,-20,29,21639.2392446078,14736.6972374599,18586.616685164,20765.5150378494,13933.8238975419,14999.3646785534,2.24222170095372,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",67,32149.7652719606,18271.9050160921,40945.0196525797,40442.7056887825,12801.3414549262,1088.65606566563,1.51785563347366,67,32149.7652719606,18271.9050160921,40945.0196525797,40442.7056887825,12801.3414549262,1088.65606566563,1.51785563347366,-113,67,32149.7652719606,18271.9050160921,40945.0196525797,40442.7056887825,12801.3414549262,1088.65606566563,1.51785563347366,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",15,15737.9241811301,13684.6355255105,11960.3141795609,19738.4081462666,-2055.33933985952,-34.176753958155,0.262202475834379,15,15737.9241811301,13684.6355255105,11960.3141795609,19738.4081462666,-2055.33933985952,-34.176753958155,0.262202475834379,-8,15,15737.9241811301,13684.6355255105,11960.3141795609,19738.4081462666,-2055.33933985952,-34.176753958155,0.262202475834379,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
