"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",4,47921.7564838012,5718.33255094939,74943.0744810572,131582.779204113,-18150.9389645184,-13427.1103842264,0.997290542592203,2,4863.8634455806,4863.8634455806,897.201084817932,1268.83394232537,519.068430951289,519.068430951289,5.5,4,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Argentina","Argentina2010",63,83899.6501262396,61140.0495795463,72908.0498610687,43470.9992594212,-8895.66881176596,7982.81675655986,1.07989836395204,14,33927.5053923766,31274.8784184895,25223.0748782029,29384.3720196281,14894.1017870582,17420.7871009087,2.15544611362504,11,30,51165.5432813862,47210.9949431772,33905.4513406805,34352.374800534,15727.3051015135,13792.9707517691,2.97108530004294,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",4,4797.63870068851,4158.62453442489,1506.59954657836,2502.48111384223,-567.004142161967,-498.36218926856,0.894449062436132,1,4365.52712675771,4365.52712675771,NA,0,0,0,1,2,2,21038.3397077323,21038.3397077323,25631.042785662,36247.7683252482,-5273.65137538876,-5178.25261789261,0.757087780899389,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",NA,NA,NA,NA,NA,NA,NA,NA,5,12834.6389021047,12233.2945922278,8241.16868247851,15251.1320942254,-4407.50636350105,-4904.9387930828,0.237465945273519,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",4,16101.9296828812,7085.31636279035,17645.7856674279,34180.2272359728,-194.577079488917,-557.975266206907,1,13,2647.99370582765,2643.50837025897,1887.70350731247,1963.42729268129,288.750464250272,-325.277377967362,1.36999366934867,2,8,6420.49252516394,7060.87579900919,4602.45900633791,6951.18625385885,-26.4219817725543,-383.739417058401,1,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",4,58053.5217956119,60303.1452237236,28958.6852510352,29185.4775330652,-13077.2419686433,-8583.43815035737,0.236569076834637,NA,NA,NA,NA,NA,NA,NA,NA,1,1,13897.8464443167,13897.8464443167,NA,0,0,0,1,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Brazil","Brazil2009",44,110860.448080528,81656.5210955526,90934.4847629069,98017.4676654579,-46224.9159454049,-55927.9548661955,0.386458278751726,67,41908.0053092255,39781.8245323788,41758.8260270601,34237.3413626023,-10088.9193298988,2780.72036960827,0.665518781106472,24,26,45407.2437242705,35175.3507150023,24419.8127568736,23450.2338100016,3882.70150819519,7084.45655076354,1.33511195694138,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",5,36625.6428632864,27413.5945062,19496.9937154975,41004.7855865085,2598.42840623982,3723.86078955808,1.46587173339902,7,15435.4110079218,16884.8502469904,5626.93614927115,8279.2601094022,10861.976033617,11542.3940613054,0.530386468744761,1,1,10753.0032132452,10753.0032132452,NA,0,0,0,1,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",11,162765.83339369,71196.1235221854,167529.211229061,340153.955095303,-47178.7048684373,23523.227184322,0.554352229129703,2,25942.7064816379,25942.7064816379,11606.1894919734,16413.6305870209,-2230.96979742073,-2238.22235277558,0.788165391184243,3,5,32006.3229895296,39735.4656806455,12219.478800716,12817.0603906196,-5974.31924493995,-5106.0341544694,0.311673107372557,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",12,115990.164214647,62144.1842479312,89435.2069964297,154791.215295339,27153.6959787671,85504.5961351803,0.551670197418828,121,57122.5648909758,54275.1108354405,45438.246528549,53499.2679592187,46418.1571583454,95784.8304855659,1.88745640724834,9,11,18717.0222377181,15678.2580039876,11191.383951713,0,4345.25953140051,1172.1954540115,0.417519329237417,"2012","East Asia and Pacific","China","Upper middle income"
