"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",6,38404.7933273833,35989.6840127204,35200.9521830119,64920.1943824072,7503.24818412837,7625.77935313558,0.633176597981031,6,38404.7933273833,35989.6840127204,35200.9521830119,64920.1943824072,7503.24818412837,7625.77935313558,0.633176597981031,6,38404.7933273833,35989.6840127204,35200.9521830119,64920.1943824072,7503.24818412837,7625.77935313558,0.633176597981031,-11,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",7,184082.834167384,116912.885766722,165780.886306119,286752.14561614,146871.507399467,115475.415253065,9.13733226678712,7,184082.834167384,116912.885766722,165780.886306119,286752.14561614,146871.507399467,115475.415253065,9.13733226678712,7,184082.834167384,116912.885766722,165780.886306119,286752.14561614,146871.507399467,115475.415253065,9.13733226678712,-11,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",36,12723.4678706284,11393.2930947474,9760.90948979657,10136.4133727156,7842.95390236103,6432.00779418059,1.17503313854979,36,12723.4678706284,11393.2930947474,9760.90948979657,10136.4133727156,7842.95390236103,6432.00779418059,1.17503313854979,36,12723.4678706284,11393.2930947474,9760.90948979657,10136.4133727156,7842.95390236103,6432.00779418059,1.17503313854979,-68,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",4,107306.887910577,108440.115392477,40673.111859797,0,20176.3848738881,31831.3286399567,1,4,107306.887910577,108440.115392477,40673.111859797,0,20176.3848738881,31831.3286399567,1,4,107306.887910577,108440.115392477,40673.111859797,0,20176.3848738881,31831.3286399567,1,2,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",8,48667.261922029,46341.4559770708,37537.866663136,66721.1711860679,14692.5789622341,25977.1690504433,1.38261358403493,8,48667.261922029,46341.4559770708,37537.866663136,66721.1711860679,14692.5789622341,25977.1690504433,1.38261358403493,8,48667.261922029,46341.4559770708,37537.866663136,66721.1711860679,14692.5789622341,25977.1690504433,1.38261358403493,-14,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",12,198290.715718606,59958.6334667009,366508.903851824,76701.2988357604,203198.473575699,96324.1607551944,1.52008849212297,12,198290.715718606,59958.6334667009,366508.903851824,76701.2988357604,203198.473575699,96324.1607551944,1.52008849212297,12,198290.715718606,59958.6334667009,366508.903851824,76701.2988357604,203198.473575699,96324.1607551944,1.52008849212297,-16,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",76,57974.3303289604,47019.2996176566,39105.5941578417,42505.1683935993,-7139.82779806467,-2970.09582457793,0.800330421354832,76,57974.3303289604,47019.2996176566,39105.5941578417,42505.1683935993,-7139.82779806467,-2970.09582457793,0.800330421354832,76,57974.3303289604,47019.2996176566,39105.5941578417,42505.1683935993,-7139.82779806467,-2970.09582457793,0.800330421354832,-147,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",12,58906.4933588802,27112.3711850603,95301.5033070878,2428.91565412796,95122.6389714813,78387.4157126969,1.03732334157089,12,58906.4933588802,27112.3711850603,95301.5033070878,2428.91565412796,95122.6389714813,78387.4157126969,1.03732334157089,12,58906.4933588802,27112.3711850603,95301.5033070878,2428.91565412796,95122.6389714813,78387.4157126969,1.03732334157089,-21,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",7,23079.4958937063,20524.4856725071,11792.8749339156,21300.8808542282,7697.07830152241,7339.42812615591,0.317349211991028,7,23079.4958937063,20524.4856725071,11792.8749339156,21300.8808542282,7697.07830152241,7339.42812615591,0.317349211991028,7,23079.4958937063,20524.4856725071,11792.8749339156,21300.8808542282,7697.07830152241,7339.42812615591,0.317349211991028,-14,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",5,10866.5337927145,11431.8291948249,10233.5721230589,11146.4012395956,4819.05088507279,5599.66866287508,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Djibouti","Djibouti2013",5,148904.820599406,115123.249788362,151566.150197654,304537.815317965,-39316.8811015657,-27897.0033976286,1.14631151016161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Middle East and North Africa","Djibouti","Lower middle income"
"Egypt","Egypt2013",66,40991.374559615,18805.6465802247,64676.7220285509,25928.9017080205,-11877.580318612,-6026.10610084966,2.28158272224226,66,40991.374559615,18805.6465802247,64676.7220285509,25928.9017080205,-11877.580318612,-6026.10610084966,2.28158272224226,66,40991.374559615,18805.6465802247,64676.7220285509,25928.9017080205,-11877.580318612,-6026.10610084966,2.28158272224226,-108,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",21,12277.6522578014,5749.04053373651,15361.5823608333,11322.5092577062,7864.52503751508,7701.08243329088,0.51063829787234,21,12277.6522578014,5749.04053373651,15361.5823608333,11322.5092577062,7864.52503751508,7701.08243329088,0.51063829787234,21,12277.6522578014,5749.04053373651,15361.5823608333,11322.5092577062,7864.52503751508,7701.08243329088,0.51063829787234,-39,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Ghana","Ghana2013",8,135256.369816894,77081.6939156485,141993.284710936,266022.064439638,123064.055675567,113282.66314114,2.125,8,135256.369816894,77081.6939156485,141993.284710936,266022.064439638,123064.055675567,113282.66314114,2.125,8,135256.369816894,77081.6939156485,141993.284710936,266022.064439638,123064.055675567,113282.66314114,2.125,-14,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",8,5899.5721022969,5789.187552848,4198.73089925919,4901.02657617397,3945.99180155522,3036.34739084104,0.965596709146869,8,5899.5721022969,5789.187552848,4198.73089925919,4901.02657617397,3945.99180155522,3036.34739084104,0.965596709146869,8,5899.5721022969,5789.187552848,4198.73089925919,4901.02657617397,3945.99180155522,3036.34739084104,0.965596709146869,-14,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Hungary","Hungary2013",5,408493.805654566,421998.870639399,259231.040433466,190561.036250411,-171338.324344136,-112393.905807135,0.176242852923714,5,408493.805654566,421998.870639399,259231.040433466,190561.036250411,-171338.324344136,-112393.905807135,0.176242852923714,5,408493.805654566,421998.870639399,259231.040433466,190561.036250411,-171338.324344136,-112393.905807135,0.176242852923714,-9,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",589,31992.5691330308,19985.0498317521,34109.3390004751,30377.2757442632,7851.55188463467,9791.99200007792,0.853380904908311,589,31992.5691330308,19985.0498317521,34109.3390004751,30377.2757442632,7851.55188463467,9791.99200007792,0.853380904908311,589,31992.5691330308,19985.0498317521,34109.3390004751,30377.2757442632,7851.55188463467,9791.99200007792,0.853380904908311,-1093,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",9,6589.95038681351,2584.56264338407,10141.7691471802,9095.16251683207,10383.2614130619,11160.2829618899,0.461547197545947,9,6589.95038681351,2584.56264338407,10141.7691471802,9095.16251683207,10383.2614130619,11160.2829618899,0.461547197545947,9,6589.95038681351,2584.56264338407,10141.7691471802,9095.16251683207,10383.2614130619,11160.2829618899,0.461547197545947,-14,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Jordan","Jordan2013",7,43806.594361223,10955.5691035659,82434.2132392418,57392.6760011105,45839.09095507,45846.550932391,0.404327510546979,7,43806.594361223,10955.5691035659,82434.2132392418,57392.6760011105,45839.09095507,45846.550932391,0.404327510546979,7,43806.594361223,10955.5691035659,82434.2132392418,57392.6760011105,45839.09095507,45846.550932391,0.404327510546979,-13,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kenya","Kenya2013",9,391386.292081958,115209.165521007,620204.122294279,291122.604217969,370417.917016711,256485.70172936,2.24012609302398,9,391386.292081958,115209.165521007,620204.122294279,291122.604217969,370417.917016711,256485.70172936,2.24012609302398,9,391386.292081958,115209.165521007,620204.122294279,291122.604217969,370417.917016711,256485.70172936,2.24012609302398,-16,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",4,8724.68527274609,8610.30515495407,81711.4767030069,0,102348.994375911,20939.0643249255,1,4,8724.68527274609,8610.30515495407,81711.4767030069,0,102348.994375911,20939.0643249255,1,4,8724.68527274609,8610.30515495407,81711.4767030069,0,102348.994375911,20939.0643249255,1,2,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",5,10081.1120886845,7343.93966254033,13674.69839365,1272.1012297977,4723.66304773281,7093.63315458708,0.707657154862205,5,10081.1120886845,7343.93966254033,13674.69839365,1272.1012297977,4723.66304773281,7093.63315458708,0.707657154862205,NA,NA,NA,NA,NA,NA,NA,NA,4,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Namibia","Namibia2014",6,26564.8249252002,14258.3091417369,33491.4462408273,71273.4773483793,26662.3835957084,24435.9388566416,2.33209201280555,6,26564.8249252002,14258.3091417369,33491.4462408273,71273.4773483793,26662.3835957084,24435.9388566416,2.33209201280555,NA,NA,NA,NA,NA,NA,NA,NA,-5,"2014","Sub-Saharan Africa","Namibia","Upper middle income"
"Nepal","Nepal2013",17,27190.5127419569,4568.22028273745,63588.6454468691,7700.48530109191,46284.0371481399,8027.20760884874,0.684449134938209,17,27190.5127419569,4568.22028273745,63588.6454468691,7700.48530109191,46284.0371481399,8027.20760884874,0.684449134938209,17,27190.5127419569,4568.22028273745,63588.6454468691,7700.48530109191,46284.0371481399,8027.20760884874,0.684449134938209,-31,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",20,854.190937449919,264.687492570886,1384.92072870541,559.814046787425,-8.61522854214925,755.714102920379,0.396132909897255,20,854.190937449919,264.687492570886,1384.92072870541,559.814046787425,-8.61522854214925,755.714102920379,0.396132909897255,20,854.190937449919,264.687492570886,1384.92072870541,559.814046787425,-8.61522854214925,755.714102920379,0.396132909897255,-18,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
