"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,1,180,1.97778846345382,1.91578219495335,0.761166593486034,1.03316064915492,0.23016370421059,0.185417312742757,1.37142896119224,232,1.84595847421021,1.68840515338586,0.69010983652276,0.860520997042814,0.260088108577746,0.403776964491059,2.54367339467393,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",NA,NA,NA,NA,NA,NA,NA,NA,0,11,2.02452547390769,2.08437671289739,0.262446758169603,0.387967861806029,0.086774157742941,0.095028104096306,2.1,5,2.206459851248,1.9453472935921,0.658424507958132,0.575125194399263,-0.0282237982897816,-0.0220435574267486,0.4,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,734,1.82161512232091,1.95884000247949,1.13394615436323,1.58526447247395,-0.0065921056562875,0.164488694653613,1.29411764705882,297,2.77615286856402,2.86665876816092,1.12403906750576,1.11265349476089,0.175952464156652,-0.14690109329017,0.889016253071434,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,0,18,2.30244459501332,2.26797674116609,0.227231087462624,0.257486588204292,0.0549269260284393,0.0523735547600846,0.733420396268788,7,2.57004415995132,2.60385340490354,0.190660179744765,0.24233964569035,0.126987711720388,0.120257125144748,1.48303871824305,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",NA,NA,NA,NA,NA,NA,NA,NA,0,14,2.21329431545096,2.22953141322143,0.527024402973721,0.853163709184624,0.0291392521951915,0.0318875188317514,1.36179685728128,2,2.13096297799063,2.13096297799063,0.128652373904442,0.181941932007156,0.0124450949981791,0.0129958522862254,1.19142126946603,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",NA,NA,NA,NA,NA,NA,NA,NA,1,6,3.31186451220606,3.36376708955405,0.709381819390083,0,-0.110158897844976,0.123563246180628,1,9,2.16845031318237,2.09878170540929,0.325490149773028,0.467466011747828,0.0287500741047894,-0.0221726524917,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,23,739,2.12081936796691,2.20290443270854,0.987173052050971,0.96038357997562,-0.0555828574507673,0.36980100199222,1,260,2.14332820546176,2.22101531452114,1.12299504478404,1.39181363797145,0.572140677910761,0.515383815789697,1.24057458427133,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burundi","Burundi2014",NA,NA,NA,NA,NA,NA,NA,NA,0,12,2.4162259228626,2.24036001112023,0.512060530114213,0.722951571141781,-0.0684849232839288,-0.0793018270817282,1.13842701492317,3,3.03279236210937,3.25212732584827,0.505301094614647,0.888949743291104,0.0337621814117137,0.027527625404144,1.03803782061513,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,0,7,4.01380637586165,3.91118066991232,1.49966160159025,3.23347521717025,-0.323028213556653,-0.422181231621643,0.943292916413257,8,4.06028317387595,3.61079135432499,1.50557525135315,1.86080747679224,-0.313546223681856,-0.34525528537343,18.0386937234681,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,368,2.40045617826639,2.38432238955781,0.930517494524871,1.36271360014757,0.510238362589139,0.525476690151328,1.18936642102461,186,2.32785506505325,2.23528022903759,0.884443322067398,1.33408851685419,0.417080181935282,0.321854403754989,1.71039942003739,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",9,2.13401533219624,2.55093153204267,0.856481248432213,0.871825225970046,-0.247080353180301,-0.407120463070071,0.744522561615305,0,798,1.88357554562917,1.84107763533059,1.25585500398086,1.63999331363463,-0.175796109184229,-0.405416745527075,1.01732218414664,381,1.74009353310944,1.54371767368929,1.35903268131176,2.52253293344488,0.541269121527326,0.430400676067949,1.99818157671595,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,81,275,2.45280382832302,2.48756120259958,0.914274204632259,1.27274229051504,0.298594217538341,0.242869807258786,1.33333333333333,138,2.8897641594469,2.96808476648531,0.495039205075455,0.00992084265579862,0.133085172077214,0.677412974296002,8.71058476169062,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,1,76,2.16276835780914,2.30325952271481,0.651985772321321,0.924693303520161,0.237439974706434,0.139848931459326,1.71544740389126,32,2.5496898141471,2.62998258753161,0.739931098156056,0.648602173695302,0.438454818468553,0.464640165786134,1.66849003052973,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",NA,NA,NA,NA,NA,NA,NA,NA,1,25,3.19229441964273,2.99149093962786,0.632192615083336,1.16889677848888,0.0870676087902429,0.0157330846111153,5.33138674078537,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",NA,NA,NA,NA,NA,NA,NA,NA,2,13,2.28683302608635,2.29718907431402,0.444525461104943,0.448043456564141,0.0747965266304024,0.0648480871070432,1.63636363636364,3,2.96605822780083,3.01011778024617,0.132986309387696,0.234668723418338,0.0552385250988693,0.0452956907074332,0.997452427854412,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",NA,NA,NA,NA,NA,NA,NA,NA,8,3,2.48379736653693,2.48184827270677,0.0292211111214232,0,-0.0136297011872222,-0.0264010831589467,0.221891736706741,6,2.6033354772998,2.57307677014939,0.268686303692612,0.15123343386221,-0.0228649696250458,-0.0433268565193352,0.701277805414557,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",NA,NA,NA,NA,NA,NA,NA,NA,0,84,3.13460545643693,2.36917476492384,2.38019503319443,3.55434015024815,0.388025592452258,0.399494304389488,1.3144436184968,5,1.22224494389506,0.950956332553103,1.19632498727151,0.959232558606391,-0.858555476373447,-0.916546531258783,0.0629000699256919,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",NA,NA,NA,NA,NA,NA,NA,NA,0,14,3.14746765505311,2.58031312235804,1.20141468605313,2.09658452836678,-0.456145947761783,0.0944696097988418,0.872582041103846,10,2.95309797494655,2.86798138804472,0.565868828082902,0.459919360428387,0.141960633452242,0.155167102815304,11.1607573609716,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,9,1080,2.08830341594775,2.07699891393627,1.0043260760384,1.13155886701771,0.0273594196518582,0.0587075013773839,0.808647914637008,288,2.33149059586354,2.33610065921852,0.954012091436065,1.64967368938684,0.0216699925929237,-0.143574870045033,0.583333333333333,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",NA,NA,NA,NA,NA,NA,NA,NA,0,11,2.02902057025831,2.05072477317163,0.393151943239033,0.736790526682229,0.216201430398144,0.138033440907043,0.908119360369595,15,2.42713832112934,2.57550149149643,0.54483878029115,1.08422832656051,0.266309806267313,0.131961094270074,0.860743063565802,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Fyrom","Fyrom2013",NA,NA,NA,NA,NA,NA,NA,NA,1,16,2.48858529061921,2.42344220433267,0.409604184132393,0.488874512919464,-0.0105937614761395,0.103232893651197,1.40882008145993,3,2.67174517321844,2.66122804495047,0.178031148233721,0.251304350838478,0.0876961628638605,0.141798869724715,30.5513385064453,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",NA,NA,NA,NA,NA,NA,NA,NA,0,13,1.99216977452748,2.15188758836978,0.398390409645327,0.389370665085458,0.220465761863098,0.370163582615982,3.49742165775819,2,2.4697636178043,2.4697636178043,0.102580926636028,0.145071337689471,0.0641315775208234,0.0536646005274059,2.53111690867031,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,0,128,2.19926571993576,1.90838060417778,1.23612089190483,1.50552146513161,0.997209702364795,0.443690393447419,0.921713218007552,41,2.86445320634169,2.68501207520091,1.4123155248386,1.60678426003679,1.0775525012429,1.19392608936652,0.624675616590544,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",NA,NA,NA,NA,NA,NA,NA,NA,1,73,2.18819772519865,2.24719477636655,0.554077759030962,0.519668464903015,0.0332202649790299,0.129220125066895,1,50,1.86159117042015,1.66977809981141,0.93080833065249,1.4289184956653,0.69121849079996,0.627077419652498,0.767082052656442,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",NA,NA,NA,NA,NA,NA,NA,NA,1,7,2.68762433443426,2.71572720754074,0.355142799938887,0.512740885292924,0.0683920311789347,0.0721561717978172,0.651773785071972,13,3.05470562734411,3.09332512486937,0.454811122902919,0.763739485935883,0.027119818387738,0.0137867057753156,1.18916525131426,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,6,3.77014138227393,3.50240448057319,1.23287512579584,2.17767760732191,0.310484908475445,0.309485436238368,1.26883184449297,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,2350,2.09749778126533,2.1486453555988,1.11191451074502,1.39794733107022,-0.124189011253419,-0.0809541943771121,0.833333333333333,499,2.27775808420629,2.32681381729499,1.23767310435953,1.65588881723496,0.0587068457358558,0.163448864524496,0.99688470444673,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,13,424,2.35945502067349,2.40162552924795,1.0736494388999,1.00630598483328,0.0943377696681637,0.539845088744432,0.876573629045369,104,2.6803835714276,2.66433205686849,1.32632406609463,1.70341289403216,0.731497984485047,-0.0242852170264203,0.911245522174754,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,2,402,3.14415561470101,2.98090159307358,0.819573023735793,1.11131053080183,-0.0340600429276828,-0.0306388649364132,1.25,14,3.25695115514936,3.07201129491041,0.826675619248659,0.79245814040055,0.0153025548678659,-0.014445029383365,1.12066085151287,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",NA,NA,NA,NA,NA,NA,NA,NA,0,44,2.73482044109236,2.55715343141224,0.634440261246838,0.634811973818131,-0.0924810339697214,-0.0565907189489575,1.12930261145886,16,2.74898331393509,2.59169627029467,0.438279421802485,0.589833243638665,0.0017822617151454,-0.0158492808732375,0.961472758872494,"2013","Middle East and North Africa","Israel","High income"
"Jamaica","Jamaica2010",NA,NA,NA,NA,NA,NA,NA,NA,0,32,1.26002376970785,2.18096587680032,1.43924110836127,2.76263715618448,0.861688325532551,1.03635873988855,0.469463678817567,17,1.92287389447245,2.70165991130131,1.57765678952737,3.25905506447342,0.252240781489735,0.252682929536402,0.288843488914895,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",NA,NA,NA,NA,NA,NA,NA,NA,2,62,2.58902299706967,2.57199686923157,0.665670134862593,1.06313890063471,-0.00131708660191474,0.00878575748512795,2.40032327586207,77,2.55159806589931,2.53919727256044,0.645425197926967,0.842845927165861,0.375072392764473,0.193096906776877,3.55276102827225,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,1,65,2.94010980619382,3.04441330596645,1.34350907606184,1.74342435524975,0.116493378863858,0.296984133027256,0.822842989837257,78,3.21846559554146,3.16361482459062,1.35507065349924,1.84344097446454,0.0435344628041247,0.244588689395995,0.361548440713651,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",NA,NA,NA,NA,NA,NA,NA,NA,1,22,3.14351105063067,2.97146021158235,0.558695696362948,0.674981443125475,0.0510812472037521,0.043134108099226,4.0023305678858,20,3.27225752349498,3.27893256903194,0.569643386161621,0.672335097728187,0.00035466850534633,0.0422802188541968,1.13975877624962,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Madagascar","Madagascar2013",NA,NA,NA,NA,NA,NA,NA,NA,0,56,1.67934323969287,2.10289038399808,1.21575254932811,1.93626340293308,0.844381970039886,0.545858759342881,1.81248073982444,38,0.392625977144041,-0.0204821756960501,1.2395434331906,2.30291557354614,-0.413502685709174,-0.359256370614844,0.44634316586304,"2013","Sub-Saharan Africa","Madagascar","Low income"
