"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",5,42827.2331172145,50994.0490066858,36232.1600424699,64920.1943824072,4552.05389122307,4197.07686345107,1,1,10336.8076492377,10336.8076492377,NA,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,8,181961.609933645,115457.331445251,165633.881646877,286752.14561614,148947.259367168,138226.145539756,9.13333019112306,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",11,10222.9115768007,11240.4187581863,4189.38641859391,6194.47483888181,30.4078543386602,324.670990434778,0.963039188285645,20,12255.7291383716,5909.98663357721,12160.640174692,16615.3703655318,3803.74820386042,2312.51244166173,1.75448891404024,7,2,12562.231465373,12562.231465373,938.604678099166,1327.38746547467,-160.799515961754,-174.656245457194,0.702551325091427,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",1,21105.2104290014,21105.2104290014,NA,0,0,0,1,1,105526.052145007,105526.052145007,NA,0,0,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",5,46169.3716040942,42833.0871069776,40850.5924338426,48192.8185804501,22745.5092208623,31613.8721941419,0.814617189880867,1,15345.7784348493,15345.7784348493,NA,0,0,0,1,3,1,78774.9959655599,78774.9959655599,NA,0,0,0,1,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",1,49527.124391091,49527.124391091,NA,7.27595761418343e-12,0,0,1,12,210897.082392603,86989.7967891006,217335.957755847,320209.613172558,114146.984993692,119689.832646051,2.40743924651516,7,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",53,49078.4212100426,37924.7045007334,31462.0478808697,23052.2401273167,-7514.85912120638,-1044.17429320093,1.41610257964391,17,86679.248677129,89878.7701714874,52014.3928505672,39946.1200762166,7164.29007454361,-2410.49280939738,0.285300582453483,6,5,69509.4378733575,68611.0427582235,22770.1959071441,14979.7950285812,-11331.3219378956,-8302.83748768943,0.384615384615385,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",7,27388.6797324779,24880.3885324574,12674.7595222868,17590.1291164783,8359.41386487431,7934.90384259623,2.38437657581271,7,102882.984720138,44449.0629689672,130056.469880136,162631.317034135,79609.4447089875,65257.0219512469,5.80887613051701,0,1,27027.9966580946,27027.9966580946,Inf,0,0,0,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",2,27567.1210435386,27567.1210435386,12516.9633999139,17701.6593998858,-5023.67096970444,-6084.94541871076,0.68268238623083,4,24080.3195425077,24162.4341880505,11757.2501313227,21300.8808542282,11945.3978904164,11315.7826406853,3.57293245844303,0,1,7209.87295265423,7209.87295265423,NA,0,0,0,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",2,5816.13500578897,5816.13500578897,7538.13479890865,10660.5324676132,2870.14335666509,2870.14335666509,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,14696.2039076301,13718.6476795022,11875.5896966888,26008.2695590563,4186.87842322159,5179.13592950905,2,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Djibouti","Djibouti2013",3,25549.6252716086,16461.5035307008,24694.0414189004,46812.4006654305,4172.5338810457,4172.5338810457,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,281990.391810231,281990.391810231,79443.2782899541,112349.761597033,-18901.7709523408,-18724.9602661722,0.673604850085705,"2013","Middle East and North Africa","Djibouti","Lower middle income"
"Egypt","Egypt2013",27,108706.572861567,41554.7590600619,128378.690362772,204100.896013592,-6303.6219724164,-22178.8818349439,1.22692540257499,6,19617.8805473329,19727.8818196206,1441.95928035251,1857.8414893545,-133.106824626972,76.2238982858984,0.830028349491063,40,17,17696.0083637751,11741.4080289667,13818.4584178282,19055.5738510427,-2797.45170920041,919.285866533604,0.890439310464116,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
