"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",3,33812.9495298037,30548.8230940349,30761.8962314491,46786.936849293,-3392.20448939172,-3760.8588935884,0.768837468118595,3,15100.9594552092,15387.4834970634,3921.28957901515,0,-205.523518269865,110.804579693967,0.854677452825885,1,28296.9814937426,28296.9814937426,NA,0,0,0,1,3,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",1,782.361876508764,782.361876508764,NA,0,0,0,1,6,1325368.52932467,621941.241136312,1643268.48016331,2432537.62324857,-332113.569157634,-332113.569157634,2.08333333333333,1,10886881.6704831,10886881.6704831,NA,0,0,0,1,1,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",12,12981.4994866364,8879.60171527449,11726.5157394253,17034.805806925,-2368.23689968753,-1177.94112087831,2.24766107348199,5,8505.47104883045,6147.02280213732,7934.67446969192,17034.805806925,-2646.26945358398,-2144.10755256285,0.992992893659337,2,11803.4488018303,11803.4488018303,8337.22715963085,11790.6197217353,-1674.52180854935,-1733.91466496107,0.687429436677352,0,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",5,9778.93145569163,9705.84092037993,2859.64572217248,3730.38393897611,-1685.45048413433,-1229.38473583596,4.41409615250588,3,5971.41955834925,6399.56349614546,7132.4277515988,9094.57138610998,-1800.42257195162,-1928.84923138072,0.81356616383181,3,4462.28034540588,4397.42750772913,3977.74349764421,5183.89672373015,-1469.74020955208,-1155.83756261901,0.667085477233039,3,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",9,8229.57382466295,7925.86837227685,3686.80531643766,6412.89014373622,-760.898327472172,-761.670536530755,NA,4,7875.10272172521,7189.11338104425,6644.0857962568,11222.5577515385,4262.17060001217,3908.67233547201,1.92941638615489,1,9457.21158837512,9457.21158837512,NA,0,0,0,1,2,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",5,153707.826219378,46925.8199923583,213505.15419234,405671.046378062,-7015.84136106165,-18288.2120254949,2.75968746302673,16,47029.1482232201,42060.5607910621,34508.6380067521,49880.0961421774,-10990.8013142587,462.266373095814,NA,1,47019.9823097205,47019.9823097206,Inf,0,0,0,1,3,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",1,34064.4377409083,34064.4377409083,NA,0,0,0,1,4,8081.44484997327,9980.03623572328,4717.18353814001,5035.61253561254,2751.18140871793,3890.42194189253,4.28571428571429,NA,NA,NA,NA,NA,NA,NA,NA,1,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Brazil","Brazil2009",7,17343.032913622,18127.3176684311,8945.49134836755,9813.92284948565,3796.52765035402,4048.86808347004,1.49604882468382,8,14356.3061473912,2234.5604592521,27629.9126415831,25867.7677823879,-2825.72525220272,-2618.2783875551,0.880067063708057,NA,NA,NA,NA,NA,NA,NA,NA,2,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",3,24265.1511387232,21940.8495320294,13981.5527934377,28578.2618345294,15003.942582091,15212.0032578892,4.66060820136883,1,14251.6576880572,14251.6576880572,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",7,4724.15824948049,3280.01271531714,3116.23319551428,3938.749798278,-547.968023064407,-616.347171933638,0.763585246360654,4,22592.6097618715,20801.3131499252,13965.0297388162,21904.2718373623,-2499.81067505663,-1046.51329329592,0.777712411123573,NA,NA,NA,NA,NA,NA,NA,NA,1,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",12,33760.191371205,34716.5818090547,20468.8396767865,16938.2765417531,13829.3180752587,17920.2303052686,1.10672713956957,1,17257.1861981732,17257.1861981732,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,7,"2010","Latin America and Caribbean","Chile","High income"
"Costarica","Costarica2010",9,15953.9371091428,16479.4906134173,11247.9407903856,16454.7906903318,10019.3109530249,12138.4472511618,0.915359758070151,3,25095.3279394329,11612.8432904078,26040.8682463928,46806.0300555376,21235.4255495368,20631.1436826507,0.914694738117761,NA,NA,NA,NA,NA,NA,NA,NA,3,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",7,13860.4439427727,3844.23831423996,20951.0310807801,23150.21795916,23905.7021078726,18942.750952929,0.93111882775514,2,2143.53869992222,2143.53869992222,0,0,0,0,NA,3,1579.27944074826,857.415479968889,1149.3790237665,1800.57250793467,226.43737987425,213.054755628633,1,10,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
