"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",11,0.542294898254736,0.57964570350971,0.232110829645982,0.251423181556795,-0.0965960011692193,-0.284308356238008,1.17022091067959,11,0.542294898254736,0.57964570350971,0.232110829645982,0.251423181556795,-0.0965960011692193,-0.284308356238008,1.17022091067959,-11,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",11,0.63114503932228,0.666666666666667,0.199123281526611,0.225,0.110832490263734,0.0814787657496,0.575131266226351,11,0.63114503932228,0.666666666666667,0.199123281526611,0.225,0.110832490263734,0.0814787657496,0.575131266226351,-21,11,0.63114503932228,0.666666666666667,0.199123281526611,0.225,0.110832490263734,0.0814787657496,0.575131266226351,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",3,0.321414603606245,0.308533309323897,0.0920989552866793,0,0.00299051962315992,-5.26946582275999e-05,0.896905037458435,3,0.321414603606245,0.308533309323897,0.0920989552866793,0,0.00299051962315992,-5.26946582275999e-05,0.896905037458435,2,3,0.321414603606245,0.308533309323897,0.0920989552866793,0,0.00299051962315992,-5.26946582275999e-05,0.896905037458435,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,3,0.588467831042357,0.588823895696117,0.0310743641368224,0.0380952380952381,-0.0256613015729454,-0.0126620687561308,4.65738013344576,-1,3,0.588467831042357,0.588823895696117,0.0310743641368224,0.0380952380952381,-0.0256613015729454,-0.0126620687561308,4.65738013344576,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",97,0.366798798819748,0.394781668848984,0.194974354127931,0.3,-0.123525950745902,-0.126517728299764,0.389273995891688,97,0.366798798819748,0.394781668848984,0.194974354127931,0.3,-0.123525950745902,-0.126517728299764,0.389273995891688,-192,97,0.366798798819748,0.394781668848984,0.194974354127931,0.3,-0.123525950745902,-0.126517728299764,0.389273995891688,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",31,0.388953704454075,0.416780906985017,0.227678776376378,0.345,0.192267529072407,-0.0154254380081069,0.847738652420838,31,0.388953704454075,0.416780906985017,0.227678776376378,0.345,0.192267529072407,-0.0154254380081069,0.847738652420838,-53,31,0.388953704454075,0.416780906985017,0.227678776376378,0.345,0.192267529072407,-0.0154254380081069,0.847738652420838,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",5,0.303958298481292,0.282840880649807,0.12891445810063,0.175,-0.0604640449656711,-0.0588367346938775,3.08384092775099,5,0.303958298481292,0.282840880649807,0.12891445810063,0.175,-0.0604640449656711,-0.0588367346938775,3.08384092775099,-10,5,0.303958298481292,0.282840880649807,0.12891445810063,0.175,-0.0604640449656711,-0.0588367346938775,3.08384092775099,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",515,0.544760412580631,0.596625409669008,0.196617717901794,0.252457757296467,0.0298924507337938,0.00535450622078658,0.571428571428571,515,0.544760412580631,0.596625409669008,0.196617717901794,0.252457757296467,0.0298924507337938,0.00535450622078658,0.571428571428571,-1028,515,0.544760412580631,0.596625409669008,0.196617717901794,0.252457757296467,0.0298924507337938,0.00535450622078658,0.571428571428571,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,4,0.646341718682097,0.651220913959937,0.0743092775685758,0,-0.0294168561671962,-0.0207440736574595,0.483326486223046,-3,4,0.646341718682097,0.651220913959937,0.0743092775685758,0,-0.0294168561671962,-0.0207440736574595,0.483326486223046,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",4,0.145427012731155,0.120160830472903,0.299703643698677,0.276602564102564,0.0618852693153784,0.0400928932178932,0.552645419407282,4,0.145427012731155,0.120160830472903,0.299703643698677,0.276602564102564,0.0618852693153784,0.0400928932178932,0.552645419407282,-2,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
