"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",5,0.52214924630919,0.657898979723851,0.289467546539272,0.435409013188438,0.112087878825721,0.0217589834786602,1.54431854688446,1,0.865384615384615,0.865384615384615,NA,0,0,0,1,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",1,0.116279069767442,0.116279069767442,NA,0,0,0,1,20,0.399770118791215,0.2,0.349033922595731,0.607142857142857,0.394006757346982,0.326590897757358,0.0377023466461367,0,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",30,0.332904093289075,0.285043545219204,0.149130819676057,0.139354838709677,-0.0584819930227816,-0.108358342177612,0.682644055429576,14,0.419287922189926,0.420905519203963,0.0301184671445202,0,-0.00833318553755192,-0.0184524373886671,1,38,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,4,0.610033786935119,0.642790951549216,0.101986924285934,0.0267070335001448,0.0279109304917751,0.0422984441175577,0.489056977186457,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",38,0.534809369886522,0.648145239950565,0.234390062700016,0.325,-0.0404622674245458,-0.0236055471406427,0.885008789683144,75,0.351980896268335,0.333333333333333,0.186520337735182,0.266666666666667,-0.0397571329897707,-0.0203189230930977,2.37364699221597,0,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",3,0.445948908084536,0.432987468393221,0.146689229190204,0.277777777777778,0.00930796250994731,0.0120051085568327,1,2,0.527450889575978,0.527450889575978,0.0239118235183856,0,-0.00274220353437444,-0.00603864734299516,1.92343902504326,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",1,0.833333333333333,0.833333333333333,NA,0,0,0,1,7,0.575798937383684,0.546480836325545,0.159189485577068,0.221835075493612,0.0979571024829911,0.117825173217743,0.0860372680384045,1,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",92,0.538773132750184,0.61,0.209119550807815,0.25,0.0515896530481687,0.00341244801827068,0.833147010267669,423,0.539487631134374,0.58,0.187890173843163,0.2125,0.034263304678771,0.01190533410277,0.772566381371974,4,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",1,0.257142857142857,0.257142857142857,NA,0,0,0,1,3,0.600948967548693,0.573021411193349,0.0862513770150952,0.133333333333333,0.0250487926321098,0.0258666666666667,0.700440876291066,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",4,0.279467621189783,0.187851169401236,0.31293420934253,0.625161603821085,-0.0845840775747382,-0.093927078354997,0.756512997322662,8,0.245082313993297,0.159598948054969,0.232436857831014,0.281333333333333,-0.14713097528565,-0.161330941267246,1.40730120676401,0,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Pakistan","Pakistan2013",1,0.0631372549019608,0.0631372549019608,NA,0,0,0,1,4,0.249924993338705,0.268048078132972,0.160814934867766,0.15,0.051206121210546,0.0724577114427861,0.118641092857117,0,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",2,0.313888888888889,0.313888888888889,0.0196418550329597,0.0277777777777778,0.00277777777777778,0.00277777777777778,0.833333333333333,4,0.565436285530862,0.494461542747693,0.16682277418764,0.312717279693487,-0.0311858441586158,-0.0224272649286233,0.999716864933143,0,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",5,0.282207154020417,0.23110315439445,0.191612942297206,0,0.0999275279040597,0.158506286645004,0.429703296002842,1,1,1,NA,0,0,0,1,5,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,3,0.0991810912968681,0.0968490243371184,0.0204720184272765,0.0159388888888889,-0.00209465442414314,-0.00259141414141414,1.62277612425719,4,"2012","Europe and Central Asia","Russian Federation","High income"
