"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",6,7085.54146644375,6301.32925300986,4955.1581970947,5168.38019428878,-1235.06916078653,-2659.68271846766,0.628108421619202,1,518555.735302066,518555.735302066,NA,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",14,68618.2256632268,53468.7030830229,63305.6439947968,59896.4483701618,7684.54666662412,31522.4585805798,0.514285714285714,1,57757.2894997989,57757.2894997989,NA,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",14,16727.6882425521,19200.6968148797,8925.7381941515,18560.1413153607,976.392308970627,589.192278304128,0.409650357319101,1,18560.1413153606,18560.1413153606,NA,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",5,21087.6314583741,11607.1268095837,17577.6914643334,36975.0944572974,-1856.52461888594,-1233.02650324711,2.58803063694888,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",53,4309.68924996695,2773.46356425371,4145.48443499147,3429.08428580957,-632.504169239008,-50.4214606920038,0.838488648260877,1,10099.6872373073,10099.6872373073,NA,0,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",3,60844.159054376,60920.0100674849,5828.54962245961,7291.66666666666,-888.943245381039,-1574.33712121212,0.474098659459803,4,76263.6507130655,76706.2196127811,55120.5228690443,95000,30136.5675709106,30612.2377622378,1.27653818378864,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",7,18296.3479935336,18816.4329230311,7866.53401023393,7998.98273128453,848.026125120827,655.794118290632,0.943518688232178,1,26869.1697923457,26869.1697923457,NA,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",6,37738.6549338348,31480.3715689664,20957.9363215908,35416.6666666667,23.5708757845321,-97.2222222222224,1,1,44444.4444444444,44444.4444444444,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",12,4523.18731887541,2998.32724775022,3764.34327304397,4753.86789778243,886.646366438163,2033.2879882687,1.02339999948968,2,1820.26940665253,1820.26940665253,382.968834719336,541.599720026305,51.2324059484342,51.2324059484342,1.23333333333333,2,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bolivia","Bolivia2010",4,24189.8952288116,24045.1847482416,1845.56239153176,2477.50620884949,33.1722692515119,161.256186200328,0.832741199902131,1,36764.084183439,36764.084183439,NA,0,0,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
