"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","outliersOut","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",7,12044.4086641396,10422.1255866067,9078.16956630808,14282.7966823145,1293.22711134094,1219.06929484209,1.54751208927707,7,12044.4086641396,10422.1255866067,9078.16956630808,14282.7966823145,1293.22711134094,1219.06929484209,1.54751208927707,-1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",5,26887.521797603,1855.16283623513,44715.9536108954,24987.521696341,-15033.0726245028,-15033.0726245028,0.14018691588785,NA,NA,NA,NA,NA,NA,NA,NA,-4,5,26887.521797603,1855.16283623513,44715.9536108954,24987.521696341,-15033.0726245028,-15033.0726245028,0.14018691588785,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",8,19171.3579222085,13475.0870295093,11247.5285585773,11567.9012345679,1546.5249823646,1707.15916415381,1.05042017173543,8,19171.3579222085,13475.0870295093,11247.5285585773,11567.9012345679,1546.5249823646,1707.15916415381,1.05042017173543,-8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Armenia","Armenia2013",5,16560.2598656457,13737.6372216873,12730.2713589688,25534.2609420388,4984.57799048827,4977.98619670659,1.03847298631152,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",81,2728.63922101786,1871.47184929532,2108.73532261394,3034.90551637466,1263.13714315566,1429.52311350865,0.898404502244591,81,2728.63922101786,1871.47184929532,2108.73532261394,3034.90551637466,1263.13714315566,1429.52311350865,0.898404502244591,-155,81,2728.63922101786,1871.47184929532,2108.73532261394,3034.90551637466,1263.13714315566,1429.52311350865,0.898404502244591,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",12,18414.7933534737,18113.8579591025,6192.78696511681,10296.6666666667,-407.462686222516,-730.508510022829,0.64994532344527,12,18414.7933534737,18113.8579591025,6192.78696511681,10296.6666666667,-407.462686222516,-730.508510022829,0.64994532344527,-12,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",10,12229.2957719067,9980.5741239296,10894.3557368868,7632.33728007707,-4341.77765839643,-5128.66024406232,0.588235294117647,10,12229.2957719067,9980.5741239296,10894.3557368868,7632.33728007707,-4341.77765839643,-5128.66024406232,0.588235294117647,-20,10,12229.2957719067,9980.5741239296,10894.3557368868,7632.33728007707,-4341.77765839643,-5128.66024406232,0.588235294117647,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",6,17397.3295978464,12605.1191149784,10080.1067616525,6844.50359479423,2147.50315708446,2083.32039717058,0.959361396923246,6,17397.3295978464,12605.1191149784,10080.1067616525,6844.50359479423,2147.50315708446,2083.32039717058,0.959361396923246,-10,6,17397.3295978464,12605.1191149784,10080.1067616525,6844.50359479423,2147.50315708446,2083.32039717058,0.959361396923246,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",6,13849.9209104506,11088.47088987,12324.722378862,19613.2294171512,5166.38247281677,7907.11822047304,3.54148806199282,6,13849.9209104506,11088.47088987,12324.722378862,19613.2294171512,5166.38247281677,7907.11822047304,3.54148806199282,-10,6,13849.9209104506,11088.47088987,12324.722378862,19613.2294171512,5166.38247281677,7907.11822047304,3.54148806199282,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",140,16394.9830391079,12035.8417690022,16604.6718275867,19698.1964004013,13435.5124059485,19934.0017319987,1.38563045330397,140,16394.9830391079,12035.8417690022,16604.6718275867,19698.1964004013,13435.5124059485,19934.0017319987,1.38563045330397,-247,140,16394.9830391079,12035.8417690022,16604.6718275867,19698.1964004013,13435.5124059485,19934.0017319987,1.38563045330397,"2009","Latin America and Caribbean","Brazil","Upper middle income"
