"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",4,202301.242744158,14310.4784583193,299341.45495433,513138.353032087,123420.800509944,136414.710525178,1.21471684421116,3,29409.0026616089,8804.23373235921,40247.503036108,72151.0671763265,7394.57754244311,7394.5775424431,1.6,1,2877.98433092647,2877.98433092647,NA,0,0,0,1,0,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",15,71582.5741613272,59132.8341398305,30690.5575841093,35937.8690220971,12533.1822088912,19742.9721342134,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24600.3270091736,24600.3270091736,7563.06871634488,10695.7943518146,-1715.36324510234,-1715.36324510234,0.757142857142857,3,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",6,16959.9215337395,18025.3132962546,7350.75095807971,8169.43180136914,1368.39930651331,1214.45746155456,0.66071597135997,NA,NA,NA,NA,NA,NA,NA,NA,9,16776.4800898156,20333.8151989326,9953.40026875241,19488.1483811287,-216.476244554589,237.023982679636,0.653832059577495,2,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",1,11142.6703537812,11142.6703537812,NA,0,0,0,1,2,27475.9679806989,27475.9679806989,26145.3400257681,36975.0944572974,8403.43055847668,8403.43055847668,1.83333333333333,2,18018.1349537961,18018.1349537961,12268.8185239667,17350.7295508879,-1944.5024592768,-1927.85883898755,0.809198514593867,4,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",22,3355.35781599925,1818.17136959274,2881.02644041218,2780.47450154354,-174.399528874541,407.118256139336,1.86626639309487,8,5516.59716020775,2857.21309076298,5224.2037022293,7936.67088731732,-1589.06460177643,-1623.44802669009,0.843141006925379,24,4553.06248089085,2866.4941284683,4489.45830102602,3332.29561645204,271.198119282726,343.584851377957,0.569565319151481,3,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",1,65625,65625,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,67813.4495548881,60550.3599091242,44435.5551986899,95000,2144.34132650687,1565.65656565656,1.53232554440964,2,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",4,19062.3771537812,17751.7264370609,10795.6192114365,15411.1675015868,3120.64481579593,3964.20824905104,1.33677012670231,1,19456.9850220434,19456.9850220434,NA,0,0,0,1,1,27688.7863775234,27688.7863775234,NA,0,0,0,NA,4,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",4,29767.2652460577,31480.3715689664,14375.7863586907,31944.4444444444,2728.49941665643,2668.94353369763,1.12798092462717,NA,NA,NA,NA,NA,NA,NA,NA,3,49305.5555555556,60416.6666666667,21074.987368741,37500,-1869.65811965812,-1869.65811965812,0.8,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",6,9267.75070328135,9410.53026659562,6429.50573574307,12105.2308331201,6187.5260204009,6251.24895610402,1.75,9,3126.14514925578,2262.458006791,2334.95049070687,1743.39282266287,75.2982400672914,-323.763696304062,1.10219163469797,NA,NA,NA,NA,NA,NA,NA,NA,1,"2015","South Asia","Bhutan","Lower middle income"
"Bolivia","Bolivia2010",5,24849.2806310485,23039.4194560364,13630.9798178305,25169.3051467995,-2907.38832519137,-2449.5035737526,0.574128928439085,NA,NA,NA,NA,NA,NA,NA,NA,2,24444.5406285101,24444.5406285101,2026.6486289494,0,-95.8909531932651,-139.810437913419,0.858228196467185,10,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
