"countryOnly","country","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",1,0.571717492947329,0.571717492947329,NA,0,0,0,NA,2,0.622749047274831,0.622749047274831,0.002353985923926,0.00332903881925151,0.00130024768472285,0.00130024768472285,0.561433447098976,2,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",1,0.186318871439979,0.186318871439979,NA,0,0,0,1,20,0.408571857906496,0.3871809833966,0.229470048218634,0.412957972068063,-0.133431379036757,-0.0963647668525469,1,0,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",27,0.275642807981308,0.223418768251949,0.203300863491617,0.103982828202878,0.0438331526280414,0.0811479049738706,4.58780889697858,1,0.559701492537314,0.559701492537314,NA,0,0,0,1,52,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",1,0.14367816091954,0.14367816091954,NA,0,0,0,1,92,0.358031057900999,0.312353728254266,0.238970298440898,0.381663113006397,-0.063532087214536,-0.0556859400293173,2.40859748426611,7,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,5,0.580894175829512,0.602606164413819,0.247580475522415,0.191534498434185,-0.0183566125415339,0.0400706330816569,1.01221403279038,0,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",1,0.205128205128205,0.205128205128205,NA,0,0,0,NA,8,0.233776841254445,0.201757023953729,0.173496489236779,0.177237851662404,0.0392262541853932,0.0459399443539861,0.489172860177213,0,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",1,0.526546731022378,0.526546731022378,NA,0,0,0,1,414,0.31170407830452,0.259656745619254,0.235231586137273,0.307825334286836,0.0323569000635702,0.0488856888508314,0.809788196963272,4,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",1,0.107743140353398,0.107743140353398,NA,0,0,0,1,4,0.125269324430399,0.086537050327096,0.139470430202487,0.16959616959617,-0.0236787530276947,-0.0414826735767522,1.27069230737515,0,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,12,0.28116316487341,0.294066164494874,0.194502890227009,0.157180102738842,-0.0186359021554626,-0.0234176273299426,1.56634282825021,0,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Peru","Peru2010",1,0.457365574292078,0.457365574292078,NA,0,0,0,1,4,0.591470767538278,0.279937830567907,0.66882368263534,1.26098560961963,-0.244870360442857,-0.250395562902214,1.3448582066707,0,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",2,0.211408268815767,0.211408268815767,0.291840579903674,0.412724906150604,0.0665255125024927,0.0651670904448323,0.704115962558661,7,-0.303748854445721,-0.190649097943461,0.60628519587942,0.829613069647463,0.0143022294685759,-0.0348503152261051,1.10043289854638,2,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,6,0.310924546818872,0.147794741184523,0.319974123376619,0.427123186576295,0.265744086756579,0.235889149222859,0.144958572279733,0,"2012","Europe and Central Asia","Russian Federation","High income"
