"countryOnly","country","N_0-25%","mean_0-25%","median_0-25%","sd_0-25%","iqr_0-25%","OPcov_0-25%","OPcovNoWeights_0-25%","indAlloc_0-25%","N_+75%","mean_+75%","median_+75%","sd_+75%","iqr_+75%","OPcov_+75%","OPcovNoWeights_+75%","indAlloc_+75%","outliersOut","N_51-75%","mean_51-75%","median_51-75%","sd_51-75%","iqr_51-75%","OPcov_51-75%","OPcovNoWeights_51-75%","indAlloc_51-75%","N_26-50%","mean_26-50%","median_26-50%","sd_26-50%","iqr_26-50%","OPcov_26-50%","OPcovNoWeights_26-50%","indAlloc_26-50%","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",32,0.21508519376622,0.0885458906710684,0.25428260966717,0.407983193277311,0.00866491191354197,-0.0191823092778213,0.888218061730418,2,0.141875,0.141875,0.0645234937832724,0.09125,0.0118287037037037,0.0118287037037037,0.794117647058823,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",79,0.248829431165664,0.156976267695628,0.239845199907784,0.29977306238174,-0.0808549064315393,-0.0373192375824043,1.74041745415042,17,0.578935275182271,0.429660660658884,0.681850288692433,0.899378372093023,-0.0776466599238457,-0.0738727001663373,1.27436403066254,9,2,0.713545261399158,0.713545261399158,1.53339250200098,2.16854447277101,-0.330282845648475,-0.455708621089559,2.01063611952156,4,0.121693776737428,0.0877875534748567,0.135580020838926,0.159727484058439,-0.020980977259886,-0.020980977259886,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",120,0.0424378195712796,0.00978267451637257,0.0632803983527857,0.0627709069493522,0.00886101794735579,0.0128373824969738,1.18899952530943,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",28,0.20025281668201,0.221827060179404,0.0723151390330429,0.123372948500283,-0.0109876961462094,-0.0114768761980762,1.05263157894737,2,0.3,0.3,0.0707106781186548,0.1,-0.0111111111111111,-0.0111111111111111,1.28571428571429,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",544,0.228514715549557,0.2,0.14927773192637,0.193631844116109,-0.0388149207636162,-0.0525209522072579,1.92307692307692,21,0.138076865361633,0.150326927942698,0.06843962779118,0.045,-0.00332540518151826,0.00753726328080237,0.223421044760522,15,25,0.203261913155845,0.234339438096612,0.0723797899220158,0.0772916666666666,-0.0353012016003513,-0.0241712908727023,1.17623218114427,73,0.20336161204301,0.198070186760592,0.108872100456521,0.135679411283472,-0.0131892997197962,-0.0319989293763126,0.793903919150122,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",63,0.16247030608453,0.131753557481032,0.14491126554626,0.21551724137931,-0.00580356085985752,-0.017901065075946,2.84247142250692,4,0.364695870505922,0.3948099594081,0.157244162735972,0.0905086265190345,0.0526722121550195,0.0608198978590333,0.638201753661285,3,3,0.227991017817393,0.226549893748924,0.0520254423675788,0.0695833312430556,-0.00132846194891918,-0.000883397884205427,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",84,0.351104007896649,0.351852283834463,0.167618204026412,0.211538461538462,0.0485720784680741,0.0941232116846776,0.793001562487981,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.085,0.085,NA,1.38777878078145e-17,0,0,1,3,0.364596018041904,0.229504085426505,0.356176020702307,0.622941176470588,0.18226749414512,0.179167664258686,0.35,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",28,0.228748782167289,0.201111111111111,0.116381751176865,0.176530612244898,-0.026045237267406,-0.00871083446992492,0.451612903225807,4,0.1359938485198,0.0763025210084034,0.149928298997227,0.303267973856209,-0.0433982714761973,-0.0286362966239127,7.6,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0.205442176870748,0.204591836734694,0.149945984999019,0.330612244897959,-0.0437437534255408,-0.0391199884209003,1.44642857142857,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",836,0.207844773857848,0.166666666666667,0.165752691331515,0.225,-0.0351021515942963,-0.00579133933637564,0.924929169445608,279,0.133661367429855,0.118335414986456,0.105637559814105,0.115438721804511,-0.00966747134308332,0.0154292713629778,0.979664589797819,9,3,0.0453198789938914,0.0443083028365714,0.0142435684002953,0.0277777777777778,0.00543108865759668,0.00378804547121379,0.829018622318095,11,0.149975582220812,0.106984100036765,0.102197748028626,0.17175,0.047351782469304,0.0412828139623805,0.243140185439583,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",49,0.260816451666455,0.285714285714286,0.105236595486277,0.095454545454545,0.0038003466307958,-0.000404710008071635,1.53869289280689,9,0.608170114131332,0.388267623229778,0.52758224689322,1.09295925183701,-0.33230819933291,-0.147528959726036,5.03673497438431,0,2,0.170668322634735,0.170668322634735,0.104946760634205,0.148417132216015,-0.0622486328760983,-0.0562680336423353,3.64848481968196,8,0.210790314126081,0.217937469077543,0.0731220938517594,0.072727272727273,0.0411932598466393,0.0273490147340296,0.209713754682116,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",57,0.246820623323678,0.177913528868658,0.18428087886291,0.269628378378378,0.062269247355605,0.0184525330697564,0.335731836152821,8,0.209926348241093,0.201115736414307,0.109252469870213,0.1675,-0.0122672810695726,0.0492656954676297,1.08286619294998,2,4,0.0884225696926267,0.106156798001687,0.0627053510892393,0.0884717607973422,0.021554182058584,-0.000805440837275151,0.616093807918172,11,0.231144906341321,0.183595767882609,0.17055584898173,0.34484157635468,-0.121029213573309,-0.0757906762368072,1.68337296387659,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
