"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,0,13,0.680661734889754,0.750612404218177,0.683625932592191,0.951839476791633,0.109177783867925,0.11638665379008,1.22102576213954,9,0.52755726212021,0.681706904895351,0.892297125812265,1.12677255964565,0.189701495363668,0.225892070598962,1.11534919644474,8,0.436720668827194,-0.0150354779045389,0.85878113861124,1.35465630051494,0.0231276233560515,0.081938585931526,1.3961865531098,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,2,62,-4.10217299417419,-4.36375881519774,0.72138473868353,1.03447977870952,0.0306099910159369,0.0769559869704864,0.926615912938375,53,-4.00114383190645,-4.06455509699191,0.689180831054041,1.19337641461967,-0.18250429230668,-0.0199393638541483,0.391354755823827,30,-4.12567719144787,-4.13513534865504,0.406722982382297,0.480006262235479,0.0115158973914869,0.00296475405103422,1.34719654284281,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,4,49,-0.072998851173588,-0.173947325450892,0.820522919685391,1.01768900871172,-0.046290366035768,-0.0327857658097842,1.03784096414405,19,0.194973840438026,0.206449902496713,0.575855251048906,0.932241484810868,-0.217585757475393,-0.177001053556533,0.316085585071939,49,0.459998614812394,0.455423965698836,0.928306998472341,1.17786799232477,-0.0256269698684789,-0.10563737468692,0.928124490669244,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,25,-4.04502243086564,-4.13956689783721,0.705095087770585,0.940982511403876,0.0518099824250282,0.0919711787445085,1.25749395816097,5,-3.94194563244522,-3.83063115227442,0.672089250716864,0.833643681486578,-0.291261148620303,-0.401326516774463,0.278383439972942,21,-4.13089847242153,-4.39142621722341,1.09061837338356,1.14679436513314,0.110485737873557,0.111419667120954,1.73818354420962,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,2,51,-1.10975851392111,-1.04490540434518,0.542135080410054,0.589063317117336,0.00298871903501607,0.0477748551478219,0.822430939673309,57,-0.875002723892319,-1.04039083618676,0.701413203522624,0.788476118761961,0.186337294383428,0.150505043815824,1.11111111111111,18,-0.764351990308068,-0.672039081658209,0.526854079986304,0.583063803812708,0.0762517344482667,-0.0223185488194443,2.34017738404698,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,0,14,-7.21504074769543,-7.03772513918257,0.368526454190217,0.315739509125473,-0.0602901486046922,-0.0196736117371005,0.332632672373764,11,-7.29970121043339,-7.30395345030323,0.562820134703485,0.593288959471861,0.24189711426114,0.218150846926023,0.946562614311103,18,-7.27086972896555,-7.36908235028573,0.775825073853525,0.666765044875365,0.0581970221211673,0.0800629917880589,1.34765737506605,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,4,50,-0.980265087496783,-0.898439560912079,0.646970989536724,0.749731486141881,-0.0309168556487576,-0.0349842265954469,0.740021983586867,50,-1.25872680854337,-1.45297133459334,0.861427096094786,0.869786930201693,0.030632551893895,-0.0924051795530153,1.72709088496999,45,-1.03054078821153,-1.24422644332049,0.942938210843762,1.14058368656318,-0.020516869777266,-0.0219774638802464,0.889864134225423,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",NA,NA,NA,NA,NA,NA,NA,NA,0,12,-1.64030645286759,-1.65214686395646,0.687830474939843,1.27356638635484,0.100313034836661,0.0837551026469814,1.16672366273208,9,-1.96512249023433,-1.82046260723629,0.546499610982743,0.671238949288764,-0.0974996305084067,-0.0796239852861037,1.0222093745627,14,-1.5149461889514,-1.83946065508145,0.843665272506849,0.920899851433983,0.118391537939015,0.133610363279255,2.06974398051791,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,98,-2.90815046387716,-3.06957612844312,0.937037192822621,1.53244950707794,0.0443581597719464,0.0133709815939239,1.39193573719211,64,-3.18810684881606,-3.43960487214972,0.811891183817815,1.21775387814772,-0.119317368189004,-0.19994734906157,0.925864952909627,41,-3.18264991627397,-3.2355126409975,0.8200963068099,0.946654501868684,0.0405220979612058,0.0282587025410415,0.976589404273357,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,1,25,-8.51908455663248,-8.66599402086037,0.771574393251379,1.03064864400532,0.0947037772330497,-0.000318418420857749,0.879285694204322,17,-8.6083394517433,-8.70998731374267,0.962352654001059,1.5340157401845,0.243724778484688,0.10848519692827,1.58225823209733,45,-8.79441129505946,-8.89456093873956,0.414886074665683,0.48003004358373,0.00440316393844017,0.00554562307532036,0.668459652460023,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,4,9,-3.10333515950014,-3.009788749807,1.15514090090915,1.89779904042981,0.161993958995357,0.216314808370451,1.05471292995762,6,-2.94193842988066,-2.89157861939093,0.403296720772571,0.292224368809626,0.0274371926962594,0.0583527539154726,1.00509736740685,5,-3.57711441334202,-3.98942331449103,1.0684072282895,0.735198844523783,-0.0540247129984657,-0.0820097323842279,1.01774625267301,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
