"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",2,21283.0299485843,21283.0299485843,5436.06515310789,7687.75706546896,1684.03754113696,2783.49824784221,4.79709115042877,8,44176.798468705,45199.3717646374,15252.3287080218,16692.7317758888,6234.76295744446,1395.39152903688,31.3226225941287,3,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",42,5322.07346367651,4724.99582343832,4483.44880079112,5342.73454853557,2145.8834320881,3455.54720082275,0.982957818320026,66,35650.5804767996,23229.2806458068,30615.9426486587,45402.6848986223,-13826.1658661932,-15517.1722977752,0.360415203508404,5,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",85,17219.0023498813,10742.6304122599,15611.8101689197,19346.4428932512,630.267787603856,-213.929788083055,1.19855407606686,35,28425.4144196002,26520.8319684405,19863.0511442522,29134.5833831745,8097.30960438821,2468.89731190641,2.5788485914223,11,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",9,30532.3399240543,31085.6821637621,15316.9426948963,25218.4368385553,16790.1558826916,17203.5301256706,1.25,2,44598.9893219804,44598.9893219805,8970.63348106313,12686.3915319976,-961.090267575579,-961.090267575579,0.868421052631579,0,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",15,48397.3238491192,34507.430530609,39194.4554431164,51853.1366373966,-17939.8271700144,-17363.1895933034,0.844534488951604,4,23716.2641791023,20152.7221403635,12633.1898084339,19679.3385669597,-1640.34983137591,-2753.20580171261,1.9840813895071,0,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,30889.1390378224,30889.1390378224,Inf,0,0,0,1,7,32448.2968150005,24833.1573702354,20830.7305164336,36166.0336234503,-5163.39797156851,-7433.92847454516,0.886225575883734,2,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Cotedivoire","Cotedivoire2009",10,2112.60925843919,1944.99437594778,1758.44975923647,2535.50006219372,263.730831622177,383.990834473485,2.47583614494018,NA,NA,NA,NA,NA,NA,NA,NA,2,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",70,7679.23896366416,4121.49864657783,8204.31443662854,8866.9707446465,1045.72224742028,396.10690872619,0.71331678389654,20,43550.7638469105,10253.2935776082,75553.9049583865,102424.259171656,-14408.0477163896,-18270.6236323648,0.191113473745752,21,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",10,6212.10800190202,5167.15547955913,7084.22430309948,6058.36980237612,-2951.82666118576,-3075.80292473125,0.384825192164642,10,9221.36355587797,6819.04839194936,7520.7391966672,11883.8510173037,-5310.47730266531,-5398.64324738404,0.0998947368421053,7,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",1,8222.38954346147,8222.38954346147,NA,0,0,0,1,8,14137.3312622168,7799.64386684569,13270.6310892784,24210.8454564927,-8058.58351461661,-3087.42529591883,0.86649699356532,0,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
