"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",1,0.0726175,0.0726175,NA,0,0,0,1,1,0.5,0.5,NA,0,0,0,1,4,1.38815000738313,1.45762565878378,0.764640596853555,0.776116182432432,0.0224816866360992,0.0600031390103339,1.19131409352051,0,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",14,0.309534641883432,0.353910297844743,0.140358941907473,0.144033303959095,0.0128302570554497,0.00205871402079768,1.04902681493723,13,0.20815371315785,0.196320379104789,0.111038479109816,0.182333333333333,-0.0251730398042471,-0.0166539987555521,1.10178296745063,22,0.25384680218389,0.230696514086362,0.188823000104086,0.325578116187254,0.000616527299163831,-0.00306195469496512,1.30467303905008,1,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",33,0.28888252098718,0.289377000196515,0.127001930335893,0.207692307692308,-0.00988732203997447,-0.00563998998425903,1.66666666666667,48,0.136585487948285,0.142460666778623,0.0600195680360092,0.05,-0.00821708331883025,0.00284670347184709,1.25679364141943,72,0.29000291380039,0.249080596000459,0.206538145881034,0.32,0.00082030436465815,-0.00261404681545155,0.898614057601351,7,"2013","South Asia","Bangladesh","Lower middle income"
"Bolivia","Bolivia2010",2,0.407651138438345,0.407651138438345,0.0589255650988789,0.0833333333333333,0.0114115458735834,0.0113636363636364,0.782205854825774,6,0.0935455003855149,0.0990691007809303,0.0406536987550546,0.0572591343283582,0.0056081502661637,0.00529027148660368,0.575285738143607,1,0.0298914427157001,0.0298914427157001,NA,0,0,0,1,1,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",3,0.368126210809997,0.32,0.0871701636273772,0.15312136757001,0.0269593285610814,0.0269593285610814,0.578947368421053,2,0.111973107783257,0.111973107783257,0.0371254049237576,0.0525032511517709,0.0178819212100362,0.0164195560718085,0.547306167928888,5,0.216081070247632,0.169247376085691,0.180590410225654,0.155020920502092,-0.0167413608607758,-0.0176701917550221,1.23783310987037,0,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",50,0.185195536437566,0.168389480607427,0.141107674060152,0.168113654301499,0.00141448393759414,0.0155584112745571,1.11111111111111,22,0.144477345179846,0.136246467632437,0.0677348835899992,0.063681321507014,0.00489247015238179,-0.00711484552082355,0.357042580587655,5,0.2,0.2,1.55605276372735e-16,0,-4.67416812667208e-20,-1.8503717077086e-18,1,57,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",4,0.33119360397695,0.4,0.205566968601908,0.413276666666667,0.0100851575466819,0.00161573232323231,1.01780489189655,5,0.475117296818135,0.201375791115755,0.573122115291108,1.11414781297134,0.152018713529859,0.140396453007064,0.56631518079288,1,0.471910112359551,0.471910112359551,NA,0,0,0,1,0,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",21,0.240866418414386,0.192872991931967,0.17490020577389,0.339166666666667,0.00449804443422503,4.76215225351374e-06,0.880086350005534,6,0.210576742975305,0.217327486399967,0.0552895438354022,0.0759343075132549,0.0170147832741305,0.0233857778413554,0.632791272761997,29,0.262934384202178,0.25,0.1597225082667,0.184346141649241,-0.0138325607193931,-0.0212376766135308,1.31367109069294,0,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",15,0.0990248518283972,0.1,0.0295211459094576,0.046212121212121,0.00142731220834298,-0.00136015439384445,0.859593157674398,65,0.229601075622198,0.2,0.154473631295584,0.218181818181818,-0.0302042342195781,-0.0152493246500594,0.384615384615385,69,0.185234336131296,0.160564899798181,0.0906839325322734,0.10672268907563,-0.00230448859546161,-0.00920068731012855,0.75,5,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",20,0.27284145937149,0.297206646659383,0.107474970133556,0.090277777777778,-0.0278690677334521,0.00891647599665079,1.09608949279163,12,0.159450859394206,0.175367590767781,0.069279309851813,0.0800574077381114,-0.0176480396772764,-0.0151236271256482,1.54193022359488,16,0.30075297261109,0.22378885401127,0.165925972662237,0.143244757719645,0.00397891998526475,-0.00738099257097841,0.334735477351199,2,"2010","Latin America and Caribbean","Colombia","Upper middle income"
