"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",6,20307.7424948218,12527.6450549084,27264.26735318,7274.91405672718,4858.29559245191,2037.41369915636,1.0345652501015,6,20307.7424948218,12527.6450549084,27264.26735318,7274.91405672718,4858.29559245191,2037.41369915636,1.0345652501015,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",12,13508.1519926987,8852.73111424677,13962.8165919239,28107.4295814262,4734.61472115406,-1481.62429257862,34.579978557024,12,13508.1519926987,8852.73111424677,13962.8165919239,28107.4295814262,4734.61472115406,-1481.62429257862,34.579978557024,-22,12,13508.1519926987,8852.73111424677,13962.8165919239,28107.4295814262,4734.61472115406,-1481.62429257862,34.579978557024,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",3,38665.4453335961,40766.5992205945,21353.8161810507,0,-907.959713001424,-485.021088124759,0.896905037458435,3,38665.4453335961,40766.5992205945,21353.8161810507,0,-907.959713001424,-485.021088124759,0.896905037458435,12,3,38665.4453335961,40766.5992205945,21353.8161810507,0,-907.959713001424,-485.021088124759,0.896905037458435,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,5,90537.4255499511,92040.6818465327,43210.2581892084,51303.7235761784,-34899.8414930524,-10305.7446054709,0.176097676842094,-5,5,90537.4255499511,92040.6818465327,43210.2581892084,51303.7235761784,-34899.8414930524,-10305.7446054709,0.176097676842094,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",86,22569.0817141325,19640.0130062463,12487.4163975896,18571.2008866836,588.948066220331,2180.09214046417,1.25174858957463,86,22569.0817141325,19640.0130062463,12487.4163975896,18571.2008866836,588.948066220331,2180.09214046417,1.25174858957463,-154,86,22569.0817141325,19640.0130062463,12487.4163975896,18571.2008866836,588.948066220331,2180.09214046417,1.25174858957463,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",26,11841.3965863159,10448.3995150844,15545.325583262,13546.9166145285,-8372.16783565793,-1414.18340211997,0.0578147732443691,26,11841.3965863159,10448.3995150844,15545.325583262,13546.9166145285,-8372.16783565793,-1414.18340211997,0.0578147732443691,-26,26,11841.3965863159,10448.3995150844,15545.325583262,13546.9166145285,-8372.16783565793,-1414.18340211997,0.0578147732443691,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",349,10186.028005568,7609.9419768741,8662.03845136749,10170.8296271369,692.852633256904,854.11749452212,1.19129322565692,349,10186.028005568,7609.9419768741,8662.03845136749,10170.8296271369,692.852633256904,854.11749452212,1.19129322565692,-496,349,10186.028005568,7609.9419768741,8662.03845136749,10170.8296271369,692.852633256904,854.11749452212,1.19129322565692,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,2,10886.0874025223,10886.0874025223,5508.55200956353,0,-3165.06751152197,-2782.23891462939,0.344989381807521,3,2,10886.0874025223,10886.0874025223,5508.55200956353,0,-3165.06751152197,-2782.23891462939,0.344989381807521,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",4,12241.0062490388,12416.1788564214,1895.3489573227,0,-336.900349087553,-452.558342842081,0.617498403774701,4,12241.0062490388,12416.1788564214,1895.3489573227,0,-336.900349087553,-452.558342842081,0.617498403774701,-1,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Kenya","Kenya2013",7,647845.696913847,117804.720605214,2605022.59442897,113084.518623128,-306722.643770466,-839823.048819077,6.12259243369911,7,647845.696913847,117804.720605214,2605022.59442897,113084.518623128,-306722.643770466,-839823.048819077,6.12259243369911,-11,7,647845.696913847,117804.720605214,2605022.59442897,113084.518623128,-306722.643770466,-839823.048819077,6.12259243369911,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",10,32532.2323589135,33912.0904756466,23069.6869607895,28996.2276079987,9865.34887105804,18474.0894883366,22.2189508130851,10,32532.2323589135,33912.0904756466,23069.6869607895,28996.2276079987,9865.34887105804,18474.0894883366,22.2189508130851,-11,10,32532.2323589135,33912.0904756466,23069.6869607895,28996.2276079987,9865.34887105804,18474.0894883366,22.2189508130851,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,8,32371.1866663748,2987.33606098584,48405.1756847153,76614.2486840521,-1048.01509465768,-4163.68510489817,1.20604204493648,-8,8,32371.1866663748,2987.33606098584,48405.1756847153,76614.2486840521,-1048.01509465768,-4163.68510489817,1.20604204493648,"2013","South Asia","Nepal","Low income"
"Pakistan","Pakistan2013",4,85822.7767980617,-14457.933873201,368882.887987469,27397.3931724338,9793.21533463319,55016.6023625671,0.980210094389876,NA,NA,NA,NA,NA,NA,NA,NA,10,4,85822.7767980617,-14457.933873201,368882.887987469,27397.3931724338,9793.21533463319,55016.6023625671,0.980210094389876,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",9,16040.2683561319,9780.45452797544,16876.5832515291,13258.662108491,16255.9781597458,29871.8548703043,0.888168390780543,9,16040.2683561319,9780.45452797544,16876.5832515291,13258.662108491,16255.9781597458,29871.8548703043,0.888168390780543,-4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",71,12884.7846506404,11625.1994183063,17814.4690070438,15503.8890859745,5358.67757632796,5143.7858192142,0.742344589728815,71,12884.7846506404,11625.1994183063,17814.4690070438,15503.8890859745,5358.67757632796,5143.7858192142,0.742344589728815,-108,71,12884.7846506404,11625.1994183063,17814.4690070438,15503.8890859745,5358.67757632796,5143.7858192142,0.742344589728815,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",41,16642.5460638372,10391.7952794664,13287.5257398881,13308.295139993,2335.08331701592,1742.78569858981,0.312662090037388,41,16642.5460638372,10391.7952794664,13287.5257398881,13308.295139993,2335.08331701592,1742.78569858981,0.312662090037388,-17,41,16642.5460638372,10391.7952794664,13287.5257398881,13308.295139993,2335.08331701592,1742.78569858981,0.312662090037388,"2012","Europe and Central Asia","Russian Federation","High income"
"Serbia","Serbia2013",NA,NA,NA,NA,NA,NA,NA,NA,6,65399.6260054125,78191.9532979258,46439.8322095276,62126.1938900804,15675.0569874823,4934.196974378,11.9774731612921,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Sweden","Sweden2014",9,119383.165542096,119928.366926161,30994.9008350509,50254.3774187657,3326.04926954736,5853.08827412694,1.7764811116394,9,119383.165542096,119928.366926161,30994.9008350509,50254.3774187657,3326.04926954736,5853.08827412694,1.7764811116394,-6,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Europe and Central Asia","Sweden","High income"
"Tunisia","Tunisia2013",9,25871.2399706282,10260.3912654122,33028.4254635748,47123.5948096294,5377.23139000009,8476.84520087587,1,9,25871.2399706282,10260.3912654122,33028.4254635748,47123.5948096294,5377.23139000009,8476.84520087587,1,-14,9,25871.2399706282,10260.3912654122,33028.4254635748,47123.5948096294,5377.23139000009,8476.84520087587,1,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Vietnam","Vietnam2009",11,15801.5139943158,12231.0980950991,14912.0256692206,25722.2444048319,8217.55280058306,1076.88836244444,3.64996958098223,11,15801.5139943158,12231.0980950991,14912.0256692206,25722.2444048319,8217.55280058306,1076.88836244444,3.64996958098223,-15,11,15801.5139943158,12231.0980950991,14912.0256692206,25722.2444048319,8217.55280058306,1076.88836244444,3.64996958098223,"2009","East Asia and Pacific","Vietnam","Lower middle income"
