"countryOnly","country","N","mean","median","sd","iqr","OPcov","OPcovNoWeights","indAlloc","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",74,3.86151148859422,3.75865089395875,0.599978252239178,0.678458205975561,0.182436810653009,0.153361598941837,3.63130814929557,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",110,3.5173777772636,3.42452885689346,0.863092067957984,1.13347677334633,-0.251060439205506,-0.214178975107337,0.678045952732981,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",111,3.79466177700364,3.93411509510378,1.19097755626655,1.88570866015471,-0.176823079875433,0.413681433557882,0.645345712891352,0,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",65,4.81379136940888,4.70381595848144,0.714849640495193,0.865148392277693,0.390653841779838,0.329752925344771,2.4648812351739,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",116,3.50780633002066,3.40483103112843,0.823809971431151,1.2474166066351,0.225993995926386,0.363056607695259,1.02370888544563,0,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",42,3.65615716911423,3.67534220551098,0.24559163448796,0,0.0253287372821015,0.190220087986596,21.4694703941227,41,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",115,3.21602454174048,2.95360996389952,1.17941819223917,1.32704468849801,0.250927567135622,0.505071782684142,1.28747877365834,2,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",16,3.8767310013949,3.22818368304249,2.03400732762603,1.8061353460236,1.93305760845078,1.00158499649413,1.34735596090529,0,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",220,3.7195995034398,3.43827428788746,0.962099528072114,1.34098990646513,0.0593771825601695,0.10221097226895,1.2,0,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",67,3.51489393956539,3.22124205699746,0.756016599358208,0.87693689261287,0.0616950581087764,0.0118760266299317,0.971386257020969,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",34,3.21702177444132,3.22091881904353,0.361441340633058,0.433307799209523,-0.0342937875920308,-0.0490395869996423,0.590909090909091,0,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Jordan","Jordan2013",32,3.22196744827038,3.28518895041483,0.971847739626832,1.60880160316433,-0.197538658783997,0.0038750125458189,0.236413084215512,0,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kenya","Kenya2013",22,3.88063477678614,3.78185212989289,1.36721513707094,1.74676899650778,0.986383260840141,1.00396312916389,1.88651644399359,0,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",128,3.34528158368341,3.38207044283553,0.823650726034448,1.19806665374371,0.429260380702824,0.351027004583164,2.9976107640471,0,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Pakistan","Pakistan2013",15,3.49505304359186,3.75574477579633,1.62415195371172,1.51902676262105,-0.166927756654218,-0.183208890511241,1.26510909010971,0,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",78,3.21666819955933,3.18011900732065,0.717260071414508,0.92600844980203,0.512546847933528,0.455284081710492,1.76120006303344,0,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",54,4.25826460365084,4.26872042440061,1.17456835334737,2.01962877172651,0.0861090058730839,0.176401552490964,1.21257747758205,0,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",35,3.89015756078985,3.57316155545126,0.91710250391124,1.07002981032726,0.305005897615273,0.173789143130784,0.986317370263742,0,"2012","Europe and Central Asia","Russian Federation","High income"
"Turkey","Turkey2013",35,3.20154256942983,3.10077800222726,0.751347216237126,0.92126235352885,0.0446427950160109,0.385891628872979,0.277777777777778,0,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Uruguay","Uruguay2010",9,4.51368226742059,4.54573117561097,0.19328436805744,0,-0.0532924977807198,0.0207199369732295,0.436894123415828,8,"2010","Latin America and Caribbean","Uruguay","High income"
"Vietnam","Vietnam2009",18,4.41107940641561,4.61831963475622,0.810219400655566,1.31655482560673,0.166740773056424,0.187442640796499,2.96296690521035,0,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"Zambia","Zambia2013",14,3.43570355037454,3.45023586682511,0.74027256969449,1.07053894369467,-0.195052385009001,-0.180823966398578,0.435739949183275,1,"2013","Sub-Saharan Africa","Zambia","Lower middle income"
