"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",3,4254747.00523548,2058255.33758582,6154996.44175004,10884484.7220952,-2936548.04793527,-2644438.59911026,1,4,1676102.56130126,1304353.79194863,1990579.71906219,2847301.67300812,-76500.8785586176,-76500.8785586176,1.91666666666667,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",13,7340.4049466226,4155.85245622743,7400.86934939473,10618.596925515,-1654.04908980137,-653.238235839267,1.37942849187698,1,3568.01750719592,3568.01750719592,Inf,0,0,0,1,2,3,4945.77263888363,3312.06151550721,4633.97972946867,7581.1080315655,324.81892229755,297.702997600895,1.06037363102346,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",5,3453.30273525752,3518.16824797396,2188.99455368977,3223.74446122371,-509.183898539148,623.918834595381,0.848541190416444,1,4499.42778634755,4499.42778634755,NA,0,0,0,1,7,1,8512.430947144,8512.430947144,NA,0,0,0,1,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",14,3379.75956600729,2059.86492954678,3420.04674479082,3593.49541676807,139.291215402978,-19.9634782134906,0.714059939238377,1,2602.62462912083,2602.62462912083,NA,0,0,0,1,0,1,7263.13849987209,7263.13849987209,NA,0,0,0,1,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",9,13795.3346307692,16763.2869384555,7266.31221302639,12278.6219123471,1265.7050189701,923.685355145471,1.92908220446067,1,19778.8003257138,19778.8003257138,NA,0,0,0,1,10,5,12557.5704181702,11545.8030953978,5821.74973058371,6793.06264962665,-316.337968471351,-814.338009695828,1.02210230094275,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",6,3731.88177936068,896.826350415291,6449.61621421308,9479.75701769313,1295.15219401911,2007.96315606195,1.22713818706343,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",3,3005.14415630308,2481.6111296088,2615.87477583003,1454.49671815744,124.68699732363,-498.875156859528,0.975335726110108,4,1630465.87849719,11372.6499458235,2546608.00717494,4384803.55443347,-511941.294898303,-619691.580904065,4.05489758120382,4,1,6201.96793633615,6201.96793633615,NA,0,0,0,1,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",7,12187.0019415099,12227.8918139368,4660.39486828981,3972.39054877526,-1318.5332814829,-4695.87119474774,1.79024327450323,1,17187.8932486842,17187.8932486842,NA,0,0,0,1,11,1,29931.7176257558,29931.7176257558,NA,0,0,0,1,"2010","Latin America and Caribbean","Chile","High income"
"Costarica","Costarica2010",4,6094.71143822557,5715.84798532329,4736.40156384265,4422.70562496324,3104.00131246518,2020.7341273908,1.48601333372921,4,8283.57090778747,7087.2457116903,5468.90264396694,7371.63824730048,1241.06009441071,1126.54851743745,NA,5,2,15938.676165634,15938.676165634,4861.62325603848,6875.37354383807,419.230094136468,419.230094136468,1.13888888888889,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",8,1438.1739377434,1583.46336750375,833.451437447519,937.726729925976,401.522203150144,893.690406759448,1.10113840170095,2,54293.95933242,54293.95933242,75373.8317478873,106594.69510589,51292.3925166828,45097.7556217227,5.54137185145508,12,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
