"countryOnly","country","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",4,0.309748372422372,0.354361405326848,0.169781619396401,0.167916666666667,0.0443105010686255,0.0572595538377966,0.634563236877926,8,0.504279194876381,0.164103265763351,0.78389273724312,0.733369297119807,-0.00729613333729262,-0.0600781790456103,0.876489762888788,0,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",1,0.266666666666667,0.266666666666667,NA,0,0,0,1,80,0.246193260351343,0.225121594854874,0.163135526521257,0.168772934392163,-0.0138370541345401,-0.00354101425314306,1.69740624296945,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",6,0.246244690077094,0.0940177942455256,0.34912399033725,0.74,-0.00184173335459303,0.0201685891323322,0.936311179541304,173,0.140238975658439,0.108909943272712,0.104279162745112,0.116080489938758,-0.0167579310166096,-0.00707846690806272,1.40700912055799,7,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",NA,NA,NA,NA,NA,NA,NA,NA,5,0.270211352499238,0.285714285714286,0.0235366688751449,0.042857142857143,0.00914980140064628,0.00658602711157455,0.35702711130395,0,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",1,0.5,0.5,NA,0,0,0,1,8,0.340097383218728,0.332797563658985,0.0729356790672354,0.0899110841423948,-0.00444511035903958,-0.080554142435166,0.827800751541456,1,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",NA,NA,NA,NA,NA,NA,NA,NA,5,0.566270201832547,0.618157913075339,0.238792405289027,0.423469387755102,0.0276948755104046,0.155912017404364,0.988597476455569,0,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",37,0.259722827339398,0.176613489757333,0.229197922114969,0.28,0.0519010628885811,0.0134953940126266,0.599146260431886,106,0.267507366759482,0.279188691116133,0.156533835366183,0.2,-0.0395847948091555,-0.0947807035617766,1.01534177050774,2,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",1,0.452751817237799,0.452751817237799,NA,0,0,0,1,14,0.41723233765112,0.457082842588737,0.162529636047165,0.189095744680851,0.0703463798980553,0.0605768878119695,0.409405538314805,0,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",NA,NA,NA,NA,NA,NA,NA,NA,5,0.204415335834689,0.18923296205787,0.089317120964776,0.166666666666667,0.00054382308296336,-0.0042764705882353,0.454545454545455,0,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,14,0.297232221365682,0.317443643909317,0.124754444634623,0.130555555555556,-0.032182113528385,-0.034523305159655,1,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",1,0.285714285714286,0.285714285714286,NA,0,0,0,1,38,0.294556333112907,0.235793687037582,0.199287669100397,0.188235294117647,0.0176163822050137,-0.0127351015074138,0.292970622153503,0,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",5,0.155497996527068,0.154556905455211,0.0178204232378157,0.0243550051599587,0.00274315722474055,-0.000776390473086737,1.00617008149299,113,0.158837266182858,0.125460389435967,0.0996205616087462,0.098412698412698,0.0210693567406923,-0.0135326152233843,0.412720246093178,7,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",2,0.0530742535300137,0.0530742535300137,0.0495583457840558,0.0700860847365872,-0.0273768968615626,-0.0276426483277844,NA,95,0.282497945300285,0.247224883888841,0.156382114383553,0.16968,-0.02428307287621,-0.0111469910450411,3.21828857681235,2,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,5,0.388038012802696,0.503282926656515,0.200526524138709,0.366666666666667,-0.0541682460930857,-0.0460567906669602,0.990076079314344,0,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",14,0.257928037524475,0.267544015414258,0.151243364775977,0.251282051282051,-0.0624815379176025,-0.070699089670771,1.01471052700603,23,0.353652453749139,0.426759680848126,0.210654297217235,0.313918629550321,0.073924343507969,0.0680441620851008,0.295190834623202,0,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",NA,NA,NA,NA,NA,NA,NA,NA,5,0.438540968776973,0.348405257295275,0.174352942890614,0.293877551020408,0.0487862423782922,0.0479758792703923,0.986021332620157,0,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",4,0.271886904958645,0.267182274887126,0.0699550902812593,0.0560371517027864,-0.0248387436582426,-0.0362525438846296,5.98291052213534,5,0.22654111090647,0.184932262748386,0.0909801113583138,0.112591448275862,-0.000651539910591541,-0.030936687887959,0.541395785126953,0,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
