"countryOnly","country","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",10,0.284066336168625,0.210492416593655,0.286752720407962,0.436253283086809,0.0973336490059618,-0.166338398866039,0.366400553156077,10,0.284066336168625,0.210492416593655,0.286752720407962,0.436253283086809,0.0973336490059618,-0.166338398866039,0.366400553156077,10,0.284066336168625,0.210492416593655,0.286752720407962,0.436253283086809,0.0973336490059618,-0.166338398866039,0.366400553156077,-19,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",11,0.271426854864519,0.281741852987453,0.152088117927143,0.136111111111111,0.0400724973094087,0.0294123914630255,0.69766066521113,11,0.271426854864519,0.281741852987453,0.152088117927143,0.136111111111111,0.0400724973094087,0.0294123914630255,0.69766066521113,11,0.271426854864519,0.281741852987453,0.152088117927143,0.136111111111111,0.0400724973094087,0.0294123914630255,0.69766066521113,-20,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",41,0.495575371909749,0.530696992449814,0.164432472871075,0.25,-0.129627290196923,-0.120499035944325,1.63201113599144,41,0.495575371909749,0.530696992449814,0.164432472871075,0.25,-0.129627290196923,-0.120499035944325,1.63201113599144,41,0.495575371909749,0.530696992449814,0.164432472871075,0.25,-0.129627290196923,-0.120499035944325,1.63201113599144,-81,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",NA,NA,NA,NA,NA,NA,NA,NA,5,0.520700308031538,0.417638925348056,0.324033720651653,0.517619047619048,-0.120735527259362,-0.0379727081308714,2.14603219917805,5,0.520700308031538,0.417638925348056,0.324033720651653,0.517619047619048,-0.120735527259362,-0.0379727081308714,2.14603219917805,-5,"2010","Latin America and Caribbean","Barbados","High income"
"Bhutan","Bhutan2015",9,0.347987832980741,0.294535157268412,0.212092290790592,0.191564352714557,-0.0398310532473992,-0.0571559702634217,6.12505027575546,9,0.347987832980741,0.294535157268412,0.212092290790592,0.191564352714557,-0.0398310532473992,-0.0571559702634217,6.12505027575546,9,0.347987832980741,0.294535157268412,0.212092290790592,0.191564352714557,-0.0398310532473992,-0.0571559702634217,6.12505027575546,-16,"2015","South Asia","Bhutan","Lower middle income"
"Bulgaria","Bulgaria2013",NA,NA,NA,NA,NA,NA,NA,NA,5,0.459966746958906,0.629645238225019,0.34582522948903,0.655293575869215,0.0298219033982223,0.0321165221435696,0.338546469327103,5,0.459966746958906,0.629645238225019,0.34582522948903,0.655293575869215,0.0298219033982223,0.0321165221435696,0.338546469327103,-4,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",18,0.291027153404699,0.310584309401694,0.230612614882857,0.312292837190652,-0.0472035378866853,-0.0986099887427452,12.168775124482,18,0.291027153404699,0.310584309401694,0.230612614882857,0.312292837190652,-0.0472035378866853,-0.0986099887427452,12.168775124482,18,0.291027153404699,0.310584309401694,0.230612614882857,0.312292837190652,-0.0472035378866853,-0.0986099887427452,12.168775124482,-35,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",133,0.349483781088779,0.33580824136133,0.191599482095597,0.3,0.0501054014054127,0.0308371439082799,0.944432756111717,133,0.349483781088779,0.33580824136133,0.191599482095597,0.3,0.0501054014054127,0.0308371439082799,0.944432756111717,133,0.349483781088779,0.33580824136133,0.191599482095597,0.3,0.0501054014054127,0.0308371439082799,0.944432756111717,-265,"2012","East Asia and Pacific","China","Upper middle income"
"Costarica","Costarica2010",20,0.469091257337452,0.502824765478787,0.18253234450998,0.128571428571428,-0.174692744727835,-0.157018492094888,0.217939663145402,20,0.469091257337452,0.502824765478787,0.18253234450998,0.128571428571428,-0.174692744727835,-0.157018492094888,0.217939663145402,20,0.469091257337452,0.502824765478787,0.18253234450998,0.128571428571428,-0.174692744727835,-0.157018492094888,0.217939663145402,-38,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",10,0.392983529554132,0.369150882237269,0.161478422482425,0.297727673202614,-0.0827931438046159,-0.0874469632386831,1.05153943099485,10,0.392983529554132,0.369150882237269,0.161478422482425,0.297727673202614,-0.0827931438046159,-0.0874469632386831,1.05153943099485,10,0.392983529554132,0.369150882237269,0.161478422482425,0.297727673202614,-0.0827931438046159,-0.0874469632386831,1.05153943099485,-20,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",NA,NA,NA,NA,NA,NA,NA,NA,5,0.406581776579143,0.450628699643951,0.262344616769043,0.410420817961213,-0.066776795768742,-0.072497620059481,1.12317398119391,5,0.406581776579143,0.450628699643951,0.262344616769043,0.410420817961213,-0.066776795768742,-0.072497620059481,1.12317398119391,-5,"2013","Europe and Central Asia","Czech Republic","High income"
"Dominicanrepublic","Dominicanrepublic2010",8,0.36940982516838,0.35100165902435,0.111093165073258,0.0779220779220779,0.0913441315481096,0.0678895706988778,0.0880920062775048,8,0.36940982516838,0.35100165902435,0.111093165073258,0.0779220779220779,0.0913441315481096,0.0678895706988778,0.0880920062775048,8,0.36940982516838,0.35100165902435,0.111093165073258,0.0779220779220779,0.0913441315481096,0.0678895706988778,0.0880920062775048,-15,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",NA,NA,NA,NA,NA,NA,NA,NA,12,0.0831052716085845,0.0285142964250998,0.127865239788994,0.0861149023489323,-0.0165878288120262,-0.016148609896672,0.795975500452207,12,0.0831052716085845,0.0285142964250998,0.127865239788994,0.0861149023489323,-0.0165878288120262,-0.016148609896672,0.795975500452207,-12,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",198,0.370082370741111,0.371818418315959,0.214456185155967,0.359649122807017,-0.0467749448396473,-0.0339907729299749,1.58323785549347,198,0.370082370741111,0.371818418315959,0.214456185155967,0.359649122807017,-0.0467749448396473,-0.0339907729299749,1.58323785549347,198,0.370082370741111,0.371818418315959,0.214456185155967,0.359649122807017,-0.0467749448396473,-0.0339907729299749,1.58323785549347,-392,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",6,0.562031098875295,0.56442277918165,0.149712393606543,0.0635608621700879,-0.0020624040507036,-0.0116054142640943,1.46103260177694,NA,NA,NA,NA,NA,NA,NA,NA,6,0.562031098875295,0.56442277918165,0.149712393606543,0.0635608621700879,-0.0020624040507036,-0.0116054142640943,1.46103260177694,-6,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Ethiopia","Ethiopia2011",5,5.66837988505727,0.327337972375464,12.0738674125788,0.555892271132737,-1.39472201762484,-1.20877539347567,0.225388888888889,5,5.66837988505727,0.327337972375464,12.0738674125788,0.555892271132737,-1.39472201762484,-1.20877539347567,0.225388888888889,5,5.66837988505727,0.327337972375464,12.0738674125788,0.555892271132737,-1.39472201762484,-1.20877539347567,0.225388888888889,-10,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Georgia","Georgia2013",6,0.677238060539455,0.704691528259981,0.195132144498589,0.0377203424601051,-0.372416620758015,-0.365982732091557,1.05691924366799,6,0.677238060539455,0.704691528259981,0.195132144498589,0.0377203424601051,-0.372416620758015,-0.365982732091557,1.05691924366799,6,0.677238060539455,0.704691528259981,0.195132144498589,0.0377203424601051,-0.372416620758015,-0.365982732091557,1.05691924366799,-12,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",10,0.197198110637982,0.0721654617919586,0.205261134632277,0.29,-0.14460692369898,-0.166376158546262,0.895097535749815,10,0.197198110637982,0.0721654617919586,0.205261134632277,0.29,-0.14460692369898,-0.166376158546262,0.895097535749815,NA,NA,NA,NA,NA,NA,NA,NA,-10,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",12,0.370214783492871,0.314601778059174,0.306839175982074,0.330400782013685,-0.180548247190325,-0.165370588184134,1.62863249831358,12,0.370214783492871,0.314601778059174,0.306839175982074,0.330400782013685,-0.180548247190325,-0.165370588184134,1.62863249831358,12,0.370214783492871,0.314601778059174,0.306839175982074,0.330400782013685,-0.180548247190325,-0.165370588184134,1.62863249831358,-24,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",NA,NA,NA,NA,NA,NA,NA,NA,3,0.580449762552729,0.580416580714184,0.0586938926369993,0,-0.0158993053161253,-0.0220797720797721,NA,3,0.580449762552729,0.580416580714184,0.0586938926369993,0,-0.0158993053161253,-0.0220797720797721,NA,1,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",524,0.470895115202093,0.5,0.201185877430654,0.27,0.00566074994174809,0.0511768050673832,0.821855226290659,524,0.470895115202093,0.5,0.201185877430654,0.27,0.00566074994174809,0.0511768050673832,0.821855226290659,524,0.470895115202093,0.5,0.201185877430654,0.27,0.00566074994174809,0.0511768050673832,0.821855226290659,-1043,"2014","South Asia","India","Lower middle income"
