"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",15,1.02471473115573,0.619353382033619,1.04643970547928,0.573737373737374,-0.173613299230326,-0.376979273084945,0.621894692326873,68,1.43480251500058,0.832493173182926,1.47416053066772,2.54636292440208,-0.153427319939226,-0.151964718650112,1.08390701441631,1,0.415454626572678,0.415454626572678,NA,0,0,0,1,4,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",1,0.147051254714831,0.147051254714831,NA,0,0,0,1,4,0.730431184616083,0.720161634579112,0.147130687766426,0.191334379764547,0.043034253448815,0.0493470429918395,0.767433070315061,NA,NA,NA,NA,NA,NA,NA,NA,1,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",5,2.54971965716272,0.559940057155908,3.14062822607328,3.60417822148272,1.00441430026043,0.836169446497307,0.530246787399479,20,2.26094716429579,1.69339309100528,2.16417146332657,2.16353478923311,0.711389098138885,0.724003700549969,0.652763505950216,1,4.11522633744856,4.11522633744856,NA,0,0,0,1,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",38,0.67603305538107,0.606886803601158,0.692455014087797,0.697018259518259,-0.31622289579651,-0.103156071868843,1.14477718167531,93,0.66903582694196,0.588059858696968,0.524646479569499,0.567046770670584,-0.206920099797857,-0.249057403456994,1.69769658820833,1,1.6260162601626,1.6260162601626,NA,0,0,0,1,5,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",2,0.291642606368426,0.291642606368426,0.39060063486381,0.552392715295941,0.125983225521923,0.127475241991371,0.691902825903218,6,0.76470578864263,0.644930590020659,0.708912806248831,0.624491901891446,0.908118136146856,0.812682503501029,0.0671031525245215,NA,NA,NA,NA,NA,NA,NA,NA,1,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",4,0.401483060842105,0.321048219663579,0.402628974962326,0.618134390295895,-0.198767199299766,-0.125210344335555,0.753353555388944,11,0.700084496306815,0.421770042105853,0.584142034169218,0.876254675112508,0.763859786436367,0.789592268061749,0.0533979705072224,NA,NA,NA,NA,NA,NA,NA,NA,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",75,0.527494943293353,0.50862593749807,0.410584197983675,0.513982914018971,0.00694429940646014,0.0255407892316775,1.67141009285711,23,0.976264897459379,1.02131769347031,0.549359121909021,0.176232665639445,0.0520310484386974,0.202301996327988,0.647171804203084,22,1.2015935200831,0.735812684617689,1.06307060637199,1.09968115663606,-0.537052233595333,-0.752371179872518,0.849712567507815,5,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,0.340971085651937,0.340971085651937,NA,0,0,0,1,18,1.50111758046733,1.33651332337791,1.19653619970198,1.84590971440432,-0.0250708177179371,0.265083336346729,3.77653885884107,NA,NA,NA,NA,NA,NA,NA,NA,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",5,1.07403273585788,0.807136813888439,0.690681315906358,1.32608024050109,0.575722248099203,0.572140902727584,0.197474853762361,8,0.734981727449182,0.403726001067258,0.693943245162788,0.632175732789867,0.0758926100750887,0.0379930775518622,0.420237791499134,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",3,0.29818526227274,0.308386991120355,0.201807203478843,0.215141768613712,-0.0137906153222876,-0.0258892844515673,1,3,0.781927062811052,0.878114156311211,0.405971835399402,0.663026678994932,-0.191500175562073,-0.144194321377826,5.81457328241178,NA,NA,NA,NA,NA,NA,NA,NA,0,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
