"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",8,33525.5855590461,31934.9249914279,16242.7154100019,26438.1057478814,10469.894490122,11246.9596108931,4.45094285789059,2,54187.4556232845,54187.4556232845,11078.7497499428,15667.7181505066,-3759.15008644607,-3654.78779359538,0.551366771574192,3,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",105,18719.6124773349,7743.56278569772,21808.7318096323,20183.5412357152,6084.20319120453,2011.4835281868,1.3975499459274,4,34917.0226875809,26241.8480397172,38263.0250923498,61740.982769118,-26224.231168111,-16086.8105627634,0.0204018974407669,4,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",80,20189.8584144994,12017.4056343114,18712.8407783802,23706.7207422984,14468.3591201069,11083.7189215992,1.25383112664328,42,23473.4254024491,18236.2769136586,20770.6348552132,20892.0264852741,-632.093058849502,740.189208272773,1.29274358198841,9,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",11,33028.0002147322,34895.0339588803,14969.5497766563,25218.4368385553,14041.6824789584,14133.8510170462,1.39917891114661,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",19,45952.5102745254,34363.8473301211,37787.4351855906,44873.1478968418,-17753.493963034,-14706.7325479251,0.181355747433773,NA,NA,NA,NA,NA,NA,NA,NA,0,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",9,32441.5700927023,25123.8707288612,20189.8853746392,36166.0336234504,-4905.45877720553,-6897.08342608568,0.778260741692589,NA,NA,NA,NA,NA,NA,NA,NA,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Cotedivoire","Cotedivoire2009",8,1571.84762221188,1509.99826774685,1061.74699104104,1379.00989694996,316.695298097649,310.10444817238,3.38340323582099,2,18639.2385729446,18639.2385729446,26259.7908884031,37136.9524194611,18616.5291007411,16267.9570333038,6.83890666615654,2,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",81,7607.94963956012,3925.01723103062,8118.03541579475,9175.36495565604,517.464403190878,395.432891675363,0.722988136995721,4,59956.8921238204,60484.4942378724,23991.8565112015,30885.5244779543,-3030.91082308658,7384.89026449837,0.812018247011623,26,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",17,7570.99774858273,5269.36185483023,7670.91588189425,8010.02786501048,-4003.05608687704,-4137.52951341549,0.178704881805397,4,1174225.6759418,10227.7895992466,2331381.88386386,1173284.71929867,-420976.791545002,-420976.791545002,0.575,6,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",9,13619.4959566948,8061.36595246578,12491.5607753449,24210.8454564927,-7491.4153385078,-2735.24276871859,0.770496494903267,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Guatemala","Guatemala2010",6,20623.3060884897,18773.5230693701,11615.8028938677,14703.0797285219,10445.1315226004,9919.21849322319,7.40972150730604,NA,NA,NA,NA,NA,NA,NA,NA,1,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",92,36045.0429290866,24718.3826540005,34936.3075800828,39867.6122284695,4679.02697786863,4606.43684612033,0.840440751810889,NA,NA,NA,NA,NA,NA,NA,NA,9,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",12,3037.49011556737,1779.18686241,3455.95524748901,1745.79615665852,38.0965125027889,-614.424371175049,1.10075807882224,NA,NA,NA,NA,NA,NA,NA,NA,2,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",5,17846.7619247216,17098.5839265575,7180.83471825377,4905.22731991505,275.355762200622,498.241432477253,1.07331638199145,NA,NA,NA,NA,NA,NA,NA,NA,3,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",7,83935.8108710826,49408.0896174095,94269.9818179074,126143.327684033,-36469.1852406313,-11860.8679643278,1.11638674565778,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",24,11562.5766057572,12745.9237715547,8331.29052160189,7400.02109006011,6363.24406453453,5495.81976313851,0.691006542542937,1,17939.4450668124,17939.4450668124,NA,0,0,0,1,4,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",6,15264.1650559699,5308.67577421516,19142.6118112176,25724.0849550969,-1457.82445222051,-5061.31166922114,0.820487307634579,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","South Asia","Nepal","Low income"
"Nicaragua","Nicaragua2010",5,5108.37232805566,3839.39032814679,4341.98153399231,6725.83504697983,703.377302760736,797.525206621855,1.27960896089921,1,1638.84869565785,1638.84869565785,NA,0,0,0,1,2,"2010","Latin America and Caribbean","Nicaragua","Lower middle income"
"Nigeria","Nigeria2014",11,1111.07039892192,940.567209711681,1260.55176649072,1621.21089199668,-992.622952682845,-1620.83634650828,0.186980199121909,3,611.812034042545,587.197775897855,473.806669597766,0,-48.7303420907004,-134.234371232378,0.424961547981031,14,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",13,4552.67161924432,2756.8875624865,4324.77942248172,6759.82019957229,-1044.02904907557,-2015.50834048272,0.934042851519984,NA,NA,NA,NA,NA,NA,NA,NA,30,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",20,22669.1459734239,17052.2743458107,13340.2631336799,19923.5709680365,1399.99332454349,-192.265882286162,0.815562697569633,2,17397.2281112095,17397.2281112095,528.405202467729,747.277803758363,289.466175221549,341.839846400102,13.5057891784743,1,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",6,14999.8798205413,9059.9924431764,17711.4027677216,20511.7991284252,803.071216721562,-805.590820967829,2.44293649869854,NA,NA,NA,NA,NA,NA,NA,NA,0,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Senegal","Senegal2014",5,1757.94179496367,1367.24787356521,1899.77739061322,1137.80011845559,374.559270670921,369.676053812389,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,1,"2014","Sub-Saharan Africa","Senegal","Lower middle income"
"Tunisia","Tunisia2013",10,22024.5522646113,11469.8202128988,25187.1049391327,32720.4425941761,1927.42254939366,-2593.81683277639,0.970296622220319,2,8760.51537276062,8760.51537276062,3689.59683855422,5217.87788877227,1812.75556622574,1845.34705822434,3.4759984026391,1,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Turkey","Turkey2013",7,30434.9481963577,25561.5457532671,13405.9823731646,20179.7473283436,-3908.68306075555,-8941.70680427044,1.6984733176637,NA,NA,NA,NA,NA,NA,NA,NA,3,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Uganda","Uganda2013",4,6826.63211632665,5218.37288848686,6501.13346116851,5242.49877903802,5721.5541712918,5242.54955144892,4.62127653469821,1,170833.149868653,170833.149868653,NA,0,0,0,1,0,"2013","Sub-Saharan Africa","Uganda","Low income"
"Ukraine","Ukraine2013",4,8411.57294254542,8168.81997461804,2233.76780502627,3904.77128744962,860.964373872568,1236.51090769238,1.43312920045851,NA,NA,NA,NA,NA,NA,NA,NA,4,"2013","Europe and Central Asia","Ukraine","Lower middle income"
"Vietnam","Vietnam2009",5,3921.01556997427,4307.8345395877,1319.51556833885,2344.18635260998,-950.257561998114,-1234.56747862156,0.18496811442468,1,11617.8906046934,11617.8906046934,NA,0,0,0,1,4,"2009","East Asia and Pacific","Vietnam","Lower middle income"
