"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",3,35757.4333602871,33180.3647887496,29514.76070468,43649.4290190514,3849.24537241488,-1327.24191892298,0.503802322265329,2,34391.2936644007,34391.2936644007,29990.0961175308,42412.4006662848,-14326.5567187396,-15422.6911513763,0.61790702898032,1,15004.875571497,15004.875571497,NA,0,0,0,1,4,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",NA,NA,NA,NA,NA,NA,NA,NA,4,1677082.17341886,1304903.78575075,1991514.16475499,2848225.67226017,-76622.479615269,-76622.4796152691,2.5,4,3224756.386372,679969.89129911,5345412.48322288,10508703.2597043,-1951220.24530682,-1801237.64613565,0.640549009422447,1,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",3,13056.7572401834,12030.7903870091,15645.1109436598,17034.805806925,342.926906749754,-255.652772227058,1.06037363102346,1,6968.78419374204,6968.78419374204,NA,0,0,0,1,14,11192.9345449448,8920.86138212638,9583.11717194483,17034.805806925,-4068.38778068728,-1771.68090128372,1.37942849187698,1,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",1,13619.8895154304,13619.8895154304,NA,0,0,0,1,3,2991.33309965994,2951.20877059953,4375.29284950426,5884.16885747282,-1278.69764748943,-2294.70638169935,0.780236289385378,5,5784.81420561281,5113.92172467756,5670.51955706771,8394.29925236731,-1643.84357434629,109.93509972032,0.848541190416444,5,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",1,15131.5385414002,15131.5385414002,NA,0,0,0,1,1,12105.2308331201,12105.2308331201,NA,0,0,0,1,14,8066.73266705941,8594.94005510306,4830.38865700721,5980.56047112483,1201.31917776563,1588.26952873656,0.863887775529246,0,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",7,42284.3658545152,46010.140472289,20115.1786293559,21042.7871512218,-7082.66818631352,-5787.34879171774,1.03823294704863,2,43901.8316328987,43901.8316328987,2763.97704230177,0,865.917877414067,912.065891172575,1.40491903995385,12,200546.153410132,55541.1717388845,225127.769079615,402804.553577235,43853.5481155388,35117.5828854821,NA,4,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",1,19943.0199430199,19943.0199430199,NA,0,0,0,1,2,7553.4188034188,7553.4188034188,3560.71577135961,5035.61253561254,1899.39771080122,1899.39771080122,4.07142857142857,2,19881.2169771665,19881.2169771665,17036.2726043793,24092.9277693984,11481.7694373902,10092.983254748,5.25022258420504,1,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15875.3183901112,12442.7211077447,18911.0244064622,17147.9834735636,860.742255704205,1010.41980691827,0.918778014923152,2,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",1,39895.2003274026,39895.2003274026,NA,0,0,0,1,1,11316.9384928732,11316.9384928732,NA,0,0,0,1,3,18109.8499943406,19956.3017372479,4628.57140441189,6776.43748451129,-326.087734209086,512.908922623506,0.865666765546445,1,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",1,9503.01538632151,9503.01538632151,NA,0,0,0,1,5,1423744.43885969,16118.4527292278,2368676.02586091,4400195.13178805,-423932.883187357,-459863.210686946,4.67857416084222,2,2883.29634876224,2883.29634876224,132.624604369501,187.559514203714,44.3792214056018,42.0392014594532,1.60563927404791,4,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",1,62404.1767327746,62404.1767327746,Inf,7.27595761418343e-12,0,0,1,1,35659.5295615855,35659.5295615855,NA,0,0,0,1,2,17989.2196090028,17989.2196090028,1035.25157770545,1464.06682165919,-341.615591720477,-341.615591720477,0.681818181818182,16,"2010","Latin America and Caribbean","Chile","High income"
"Costarica","Costarica2010",2,48032.1129384399,48032.1129384399,14300.5611677848,20224.0475530273,-1233.17363128215,-1233.17363128215,0.891304347826087,5,19534.9387815838,22965.7376093561,7969.53799525466,11628.8273429907,-1801.86249356466,-1410.15505197695,0.412234925206896,5,9824.55670348629,8549.29785569125,10643.137697399,8228.19128388742,7611.05997310723,7576.95522462307,0.736345832466934,3,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",1,100317.61115636,100317.61115636,NA,0,0,0,1,2,56967.8401902856,56967.8401902856,74808.7461500273,105795.543389495,50907.8480186943,44759.6529724785,5.54137185145508,12,2091.65981463353,2143.53869992222,1151.78380829386,600.19083597822,180.847217800998,470.829976659107,0.961069144046425,7,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",7,62520.8269702473,65967.4792283345,28307.451598146,19018.2282361328,-4220.75800836576,-4845.9315502121,1.26479167607674,NA,NA,NA,NA,NA,NA,NA,NA,4,60082.3893178674,54596.1853332759,29075.3485500994,58468.7384368995,10098.3216642837,10241.9059180459,4.66490708322084,1,"2013","Europe and Central Asia","Croatia","High income"
"Drc","Drc2013",1,368535.045226191,368535.045226191,NA,0,0,0,1,3,1066.24002681852,1014.66178699101,701.094180421852,1353.73188321916,-133.215391149194,-81.2523596622314,0.981159690462044,7,3683.34859267479,2916.6768756631,2856.01762337269,5261.93121676591,-329.44493758475,-324.414125078885,0.882363650554195,2,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",6,40903.496165901,19923.0136660908,47475.4366591533,86228.0408832649,10711.7576858884,-4530.40941472023,3.45605425401099,23,6657.18876015233,5235.54565091596,3516.18544957305,4822.16402669476,161.695377733982,1442.3457963023,0.880259065471803,34,8895.53168112963,5887.52584654593,8204.28481199571,12958.7870484821,5105.44554326449,4113.38207629674,1.1968450313974,15,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Estonia","Estonia2013",2,103082.569331875,103082.569331875,70297.7475186353,99416.0279451337,35194.8965332784,32914.7660088618,2.73017127799737,5,25472.0024361901,17800.0674266595,18427.5894357844,26917.5783135491,4348.02245255428,6615.84849938238,1.33754660117334,1,35880.784733719,35880.784733719,NA,0,0,0,1,2,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",1,5798.56501246542,5798.56501246542,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4584.27712575297,4584.27712575297,NA,0,0,0,1,12,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",1,27354.0472783473,27354.0472783473,NA,0,0,0,1,3,16803.7202190972,15604.6874224404,7980.66284844415,15963.107139208,522.289922911325,532.103571306932,1.11111111111111,2,31661.422659566,31661.422659566,30557.3081445147,43214.5596075865,-8959.75477474338,-9003.03325158053,0.709201651098436,2,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Ghana","Ghana2013",1,57238.4517722782,57238.4517722782,NA,0,0,0,1,5,8823.73210493385,6162.23259463687,7215.70932803381,13362.4528482664,-2940.5804009681,-3017.33356068771,0.894004771838656,9,3198.43836134103,2152.53504193745,3174.80014855568,6565.25041828031,2346.58297319672,2741.49688648338,1,6,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",3,49650.0986576191,40841.8881347831,22991.2655334685,43377.8681527576,1074.81197042054,1074.81197042054,2.07547169811321,4,6697.66394807111,6567.46029484394,4340.21184746142,5105.23601684789,1454.86074443368,2956.3957661201,2.34074184389863,4,11036.0036252964,9880.49225502834,7910.75424619583,7351.53986426096,2579.83279877702,2280.33875419206,1,3,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",5,19574.2095664026,13226.4421512016,13857.6654502275,25060.6085369508,-2973.11410919308,-3390.35245336991,NA,1,7354.74380975729,7354.74380975729,NA,0,0,0,1,4,22985.2843981352,15523.3471572235,24744.3129442948,16875.2395194901,-2381.46508159296,-2287.0127618425,0.666666666666667,1,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",3,13554.3434726959,15004.3932055335,10614.2705660979,19657.5496535942,4701.5462700251,4453.41549935006,5.26371865788568,1,13482.2784743134,13482.2784743134,NA,0,0,0,1,8,17504.8633091888,23429.7246476292,12740.3523944329,23462.8730905543,-1745.2626129671,-764.82282156785,0.472744030397306,7,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",13,66503.8179164682,53998.8035652989,50756.1861971432,88660.9483445002,-2079.41307970502,-5500.83033744319,0.410778026210688,101,12002.0546416325,11639.6489700087,7180.17902030778,7339.96375638895,-1439.51024638091,-1096.86294425234,0.47716501023776,16,11335.1958052724,7337.99876919909,12220.8260724387,12572.8169052645,-4911.82316217312,-2607.34495651347,0.711895930934779,14,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",2,68719.1690005634,68719.1690005634,75054.5897256798,106143.218708405,5546.76880443942,5896.84548380026,1.14961706428052,1,4156.65751585361,4156.65751585361,NA,0,0,0,1,36,2967.38695287121,1684.76650557322,3037.83966088655,4934.29885944456,1218.13529685985,1909.99100317612,1.2,9,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,7,21649.4486051792,17570.7298466232,18076.7293611893,10933.9665212689,-1669.74300797725,-2398.21283139783,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"2011","Middle East and North Africa","Iraq","Upper middle income"
