"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",47,0.499308095339935,0.539473053942695,0.227186225017934,0.325,0.0943281177051428,0.125006754460773,0.314741925978017,47,0.499308095339935,0.539473053942695,0.227186225017934,0.325,0.0943281177051428,0.125006754460773,0.314741925978017,47,0.499308095339935,0.539473053942695,0.227186225017934,0.325,0.0943281177051428,0.125006754460773,0.314741925978017,-92,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",155,0.444977509634012,0.439752626047946,0.20318553473156,0.3,0.162296233609758,0.125938391165695,0.0364505240592008,155,0.444977509634012,0.439752626047946,0.20318553473156,0.3,0.162296233609758,0.125938391165695,0.0364505240592008,155,0.444977509634012,0.439752626047946,0.20318553473156,0.3,0.162296233609758,0.125938391165695,0.0364505240592008,-306,"2013","South Asia","Bangladesh","Lower middle income"
"Bolivia","Bolivia2010",9,0.256670405731505,0.239552561123922,0.276420302591947,0.329414132484677,0.0506449575325649,-0.0736757009591688,0.414065192701729,9,0.256670405731505,0.239552561123922,0.276420302591947,0.329414132484677,0.0506449575325649,-0.0736757009591688,0.414065192701729,9,0.256670405731505,0.239552561123922,0.276420302591947,0.329414132484677,0.0506449575325649,-0.0736757009591688,0.414065192701729,-18,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",11,0.370792882201066,0.357536637575548,0.254669564792946,0.505,-0.094847661642806,-0.110433678122282,0.391830302292632,11,0.370792882201066,0.357536637575548,0.254669564792946,0.505,-0.094847661642806,-0.110433678122282,0.391830302292632,11,0.370792882201066,0.357536637575548,0.254669564792946,0.505,-0.094847661642806,-0.110433678122282,0.391830302292632,-22,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",127,0.328733553045249,0.297517269331138,0.201216295584704,0.328235294117647,0.0269246380037208,-0.0165078128952028,0.380393779637365,127,0.328733553045249,0.297517269331138,0.201216295584704,0.328235294117647,0.0269246380037208,-0.0165078128952028,0.380393779637365,127,0.328733553045249,0.297517269331138,0.201216295584704,0.328235294117647,0.0269246380037208,-0.0165078128952028,0.380393779637365,-250,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",6,0.587243642945022,0.569764377187456,0.227306415758348,0.352564102564103,0.112638558295786,0.147548832122548,0.954027406463353,6,0.587243642945022,0.569764377187456,0.227306415758348,0.352564102564103,0.112638558295786,0.147548832122548,0.954027406463353,6,0.587243642945022,0.569764377187456,0.227306415758348,0.352564102564103,0.112638558295786,0.147548832122548,0.954027406463353,-9,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",55,0.365123349459758,0.330011496104536,0.189484173530104,0.271812080536913,-0.0187339785695473,-0.0161360989159981,1.36231524543764,55,0.365123349459758,0.330011496104536,0.189484173530104,0.271812080536913,-0.0187339785695473,-0.0161360989159981,1.36231524543764,55,0.365123349459758,0.330011496104536,0.189484173530104,0.271812080536913,-0.0187339785695473,-0.0161360989159981,1.36231524543764,-109,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",143,0.350295346500149,0.372868061056362,0.160621234818712,0.191346153846154,-0.0646894919152542,-0.0658513676024784,0.865217815524713,143,0.350295346500149,0.372868061056362,0.160621234818712,0.191346153846154,-0.0646894919152542,-0.0658513676024784,0.865217815524713,143,0.350295346500149,0.372868061056362,0.160621234818712,0.191346153846154,-0.0646894919152542,-0.0658513676024784,0.865217815524713,-281,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",35,0.488767348028385,0.622102059214891,0.21782767509896,0.267857142857143,-0.154706933172234,-0.0512344955867968,0.761739159606696,35,0.488767348028385,0.622102059214891,0.21782767509896,0.267857142857143,-0.154706933172234,-0.0512344955867968,0.761739159606696,35,0.488767348028385,0.622102059214891,0.21782767509896,0.267857142857143,-0.154706933172234,-0.0512344955867968,0.761739159606696,-54,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",5,0.415592410133912,0.471242766484515,0.205523636095442,0.27860863538203,-0.0478953938064346,0.0460770045031956,3.33996837112485,5,0.415592410133912,0.471242766484515,0.205523636095442,0.27860863538203,-0.0478953938064346,0.0460770045031956,3.33996837112485,5,0.415592410133912,0.471242766484515,0.205523636095442,0.27860863538203,-0.0478953938064346,0.0460770045031956,3.33996837112485,-10,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",5,0.233400420950874,0.182465569133198,0.1877058379678,0.275921238785369,0.245817758547265,0.210281813890559,0.231984019849545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",9,0.361524887274934,0.329855420651716,0.133128241943444,0.1900000305537,-0.0202706152972554,-0.0215821673490771,3.93950522246662,9,0.361524887274934,0.329855420651716,0.133128241943444,0.1900000305537,-0.0202706152972554,-0.0215821673490771,3.93950522246662,9,0.361524887274934,0.329855420651716,0.133128241943444,0.1900000305537,-0.0202706152972554,-0.0215821673490771,3.93950522246662,-17,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Ecuador","Ecuador2010",7,0.542946082585084,0.557253334029308,0.0451330310296919,0.0496024667453282,-0.00588914819644208,-0.0186099062118043,2.86586389513704,7,0.542946082585084,0.557253334029308,0.0451330310296919,0.0496024667453282,-0.00588914819644208,-0.0186099062118043,2.86586389513704,NA,NA,NA,NA,NA,NA,NA,NA,-4,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",136,0.389305837388731,0.370445383798081,0.159918073726329,0.133333333333334,0.0256581983826747,0.00525162547452053,0.755868415267516,136,0.389305837388731,0.370445383798081,0.159918073726329,0.133333333333334,0.0256581983826747,0.00525162547452053,0.755868415267516,136,0.389305837388731,0.370445383798081,0.159918073726329,0.133333333333334,0.0256581983826747,0.00525162547452053,0.755868415267516,-232,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",7,0.461735105697963,0.471240513057758,0.202961345171375,0.402787418655098,0.0805581739189934,0.0708457083845266,0.795282416660537,7,0.461735105697963,0.471240513057758,0.202961345171375,0.402787418655098,0.0805581739189934,0.0708457083845266,0.795282416660537,7,0.461735105697963,0.471240513057758,0.202961345171375,0.402787418655098,0.0805581739189934,0.0708457083845266,0.795282416660537,-14,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",5,0.168504448600256,0.149597936408691,0.113457077327271,0.102941176470588,0.0347962078408617,0.198685716909062,0.778999769282824,5,0.168504448600256,0.149597936408691,0.113457077327271,0.102941176470588,0.0347962078408617,0.198685716909062,0.778999769282824,NA,NA,NA,NA,NA,NA,NA,NA,-5,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",9,0.272186013448632,0.243700159489633,0.18275792189533,0.294396130674228,-0.0603262132957134,-0.0696951761555529,5.68083333333334,9,0.272186013448632,0.243700159489633,0.18275792189533,0.294396130674228,-0.0603262132957134,-0.0696951761555529,5.68083333333334,9,0.272186013448632,0.243700159489633,0.18275792189533,0.294396130674228,-0.0603262132957134,-0.0696951761555529,5.68083333333334,-18,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",4,0.537751064133746,0.546802234084378,0.0890542173074101,0.0100574712643678,0.017166639279791,0.0757307022381894,0.577559570445353,NA,NA,NA,NA,NA,NA,NA,NA,4,0.537751064133746,0.546802234084378,0.0890542173074101,0.0100574712643678,0.017166639279791,0.0757307022381894,0.577559570445353,-3,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Guatemala","Guatemala2010",40,0.390197690564851,0.39613156946462,0.184780355826,0.25,0.00589109842577776,0.00477183976113724,1.39752574685042,40,0.390197690564851,0.39613156946462,0.184780355826,0.25,0.00589109842577776,0.00477183976113724,1.39752574685042,40,0.390197690564851,0.39613156946462,0.184780355826,0.25,0.00589109842577776,0.00477183976113724,1.39752574685042,-80,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",4,0.115772517899912,0.0991827701734222,0.163426201258748,0.131818181818182,0.182453696980642,0.151283943329398,0.0526315789473684,4,0.115772517899912,0.0991827701734222,0.163426201258748,0.131818181818182,0.182453696980642,0.151283943329398,0.0526315789473684,4,0.115772517899912,0.0991827701734222,0.163426201258748,0.131818181818182,0.182453696980642,0.151283943329398,0.0526315789473684,-7,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",503,0.533311412313481,0.571428571428571,0.175716809638738,0.16030303030303,0.0457678926303645,0.034016114707481,0.440341297110309,503,0.533311412313481,0.571428571428571,0.175716809638738,0.16030303030303,0.0457678926303645,0.034016114707481,0.440341297110309,503,0.533311412313481,0.571428571428571,0.175716809638738,0.16030303030303,0.0457678926303645,0.034016114707481,0.440341297110309,-1001,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",145,0.38813400276166,0.378114509962216,0.226425294396162,0.282986111111111,0.0636022762578195,0.0556797035893204,0.763365669584588,145,0.38813400276166,0.378114509962216,0.226425294396162,0.282986111111111,0.0636022762578195,0.0556797035893204,0.763365669584588,145,0.38813400276166,0.378114509962216,0.226425294396162,0.282986111111111,0.0636022762578195,0.0556797035893204,0.763365669584588,-286,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Jordan","Jordan2013",8,0.405066768220664,0.373050847457627,0.192500393132138,0.36,-0.181672005045297,-0.172882518721125,0.663333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kenya","Kenya2013",29,0.198948353886582,0.131771931653483,0.192870110821249,0.190869565217391,-0.0220694550394879,-0.0111692544696748,1.46837876773152,29,0.198948353886582,0.131771931653483,0.192870110821249,0.190869565217391,-0.0220694550394879,-0.0111692544696748,1.46837876773152,29,0.198948353886582,0.131771931653483,0.192870110821249,0.190869565217391,-0.0220694550394879,-0.0111692544696748,1.46837876773152,-56,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Madagascar","Madagascar2013",37,0.235200550237014,0.0978488085452274,0.310492207811647,0.309465344824675,0.0245757951288946,-0.037765194101937,0.162338232903452,37,0.235200550237014,0.0978488085452274,0.310492207811647,0.309465344824675,0.0245757951288946,-0.037765194101937,0.162338232903452,37,0.235200550237014,0.0978488085452274,0.310492207811647,0.309465344824675,0.0245757951288946,-0.037765194101937,0.162338232903452,-68,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mauritius","Mauritius2009",28,0.359164605483847,0.401171374588964,0.191788511654817,0.25,0.0354834258174976,0.0478951164700081,0.418361713274013,28,0.359164605483847,0.401171374588964,0.191788511654817,0.25,0.0354834258174976,0.0478951164700081,0.418361713274013,28,0.359164605483847,0.401171374588964,0.191788511654817,0.25,0.0354834258174976,0.0478951164700081,0.418361713274013,-51,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",15,0.444868326598847,0.408013213403005,0.193815210293741,0.217791016513254,0.110727299509312,0.106593000033303,0.255936515333463,15,0.444868326598847,0.408013213403005,0.193815210293741,0.217791016513254,0.110727299509312,0.106593000033303,0.255936515333463,15,0.444868326598847,0.408013213403005,0.193815210293741,0.217791016513254,0.110727299509312,0.106593000033303,0.255936515333463,-23,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Mongolia","Mongolia2013",8,0.371605424549045,0.387091577101694,0.354522734441052,0.58,0.0260744717167829,0.0654588055390514,0.962706871463231,8,0.371605424549045,0.387091577101694,0.354522734441052,0.58,0.0260744717167829,0.0654588055390514,0.962706871463231,NA,NA,NA,NA,NA,NA,NA,NA,-8,"2013","East Asia and Pacific","Mongolia","Upper middle income"
"Morocco","Morocco2013",7,0.343856166152523,0.347157308354953,0.167706628217247,0.166666666666667,-0.110853859812019,-0.147309455003443,0.564826705878971,7,0.343856166152523,0.347157308354953,0.167706628217247,0.166666666666667,-0.110853859812019,-0.147309455003443,0.564826705878971,7,0.343856166152523,0.347157308354953,0.167706628217247,0.166666666666667,-0.110853859812019,-0.147309455003443,0.564826705878971,-13,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Myanmar","Myanmar2014",NA,NA,NA,NA,NA,NA,NA,NA,7,0.235739176688605,0.2,0.201238355806289,0.08,-0.0351125080879575,-0.0487690151437459,2.018663269376,7,0.235739176688605,0.2,0.201238355806289,0.08,-0.0351125080879575,-0.0487690151437459,2.018663269376,-7,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nepal","Nepal2013",11,0.481521698050737,0.5,0.144488188404316,0.307926829268293,0.0190020551758093,0.0385735929600989,0.197793738381208,11,0.481521698050737,0.5,0.144488188404316,0.307926829268293,0.0190020551758093,0.0385735929600989,0.197793738381208,11,0.481521698050737,0.5,0.144488188404316,0.307926829268293,0.0190020551758093,0.0385735929600989,0.197793738381208,-16,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",18,0.322410750999389,0.4,0.234892323319997,0.4,-0.180465723745563,-0.135810309028845,1.42051943151177,18,0.322410750999389,0.4,0.234892323319997,0.4,-0.180465723745563,-0.135810309028845,1.42051943151177,18,0.322410750999389,0.4,0.234892323319997,0.4,-0.180465723745563,-0.135810309028845,1.42051943151177,-36,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",36,0.189941274287933,0.0512708928439886,0.269889203085389,0.242,-0.16315712766632,-0.135638528868947,1,36,0.189941274287933,0.0512708928439886,0.269889203085389,0.242,-0.16315712766632,-0.135638528868947,1,36,0.189941274287933,0.0512708928439886,0.269889203085389,0.242,-0.16315712766632,-0.135638528868947,1,-69,"2013","South Asia","Pakistan","Lower middle income"
