"countryOnly","country","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",43,0.203785407937309,0.178421184003964,0.122670881618952,0.172933552925357,0.0212611438192688,0.0163392376145246,1.50068968424845,31,0.183293727363869,0.160507210083481,0.114156307040196,0.185736504854369,0.0266411302165149,0.0148218517023623,0.555891129276406,25,0.215464347817744,0.197089908702562,0.145071338366314,0.119871794871795,-0.00604184086128005,-0.00668287349456618,1.04269499262366,1,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",NA,NA,NA,NA,NA,NA,NA,NA,4,0.242302295516656,0.244778592254688,0.17333084821815,0.361052631578947,-0.0692729450379402,-0.075641376167692,2.34434426010407,1,0.433333333333333,0.433333333333333,NA,0,0,0,1,0,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",1,0.32,0.32,NA,0,0,0,1,3,0.0546028154851684,0.0522875816993464,0.0326757974450637,0.0326797385620915,-0.00848350529577361,-0.0114395701783538,3.45454545454545,2,0.383839285714286,0.383839285714286,0.0175514004615946,0.0248214285714285,0.00155133928571428,0.00155133928571428,0.888888888888889,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",40,0.1931384927319,0.160389332327958,0.159909313582945,0.225,0.000153712547474278,0.00960506107121157,2.16600676971634,48,0.147721664353065,0.111267518601238,0.109217488421009,0.1875,-0.00189908332680805,0.000309324857734595,0.94179485073319,23,0.113556707855305,0.1,0.0908691414623755,0.0966666666666663,-0.00187814957698404,0.00221668632610368,1,0,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",NA,NA,NA,NA,NA,NA,NA,NA,4,0.254761904761905,0.26,0.0312476756505198,0.0330952380952381,-0.0062251655629139,-0.0062251655629139,1.75,2,0.15,0.15,0.0707106781186548,0.1,0.025,0.025,0.666666666666667,0,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",NA,NA,NA,NA,NA,NA,NA,NA,1,0.28,0.28,NA,0,0,0,1,1,0.1325,0.1325,NA,0,0,0,1,3,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,3,0.123941318814277,0.115789473684211,0.0723281202086223,0.143965517241379,-0.0088423613778973,-0.0088423613778973,1,2,0.0889957937573549,0.0889957937573549,0.0229809703885628,0.0325,0.00273474740886094,0.00325,0.887136346229281,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",28,0.179578956183511,0.183796410704405,0.15164157900205,0.198419817976144,-0.0096583916509858,0.0120084365704157,1,50,0.142473834101222,0.134509708930125,0.110674521460893,0.126666666666667,-0.00823123000801849,-0.00714538388323703,0.904243685638536,39,0.0662230370381134,0.0242906589631779,0.10298508050282,0.041593567251462,0.00574480578414576,0.0054016680496121,1.2,4,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",NA,NA,NA,NA,NA,NA,NA,NA,2,0.00922400599829859,0.00922400599829859,0.00117851130197758,0.00166666666666667,0.000221943104332602,0.000238927738927739,0.681092908240711,4,0.154628815850268,0.155344329001946,0.0835196503282987,0.0941698408257779,0.0030605043633266,0.00177080503717648,1,1,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",1,0.089979079799112,0.089979079799112,NA,0,0,0,1,4,0.168625512467757,0.0760549422518519,0.231592092623229,0.490190035952748,-0.0472342257143539,-0.0441984915024668,1.52442442040646,NA,NA,NA,NA,NA,NA,NA,NA,0,"2014","Sub-Saharan Africa","Burundi","Low income"
