"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",5,0.307807959353132,0.220485610218516,0.159958679133331,0.272381723538719,-0.0698494298376429,-0.00911891721666546,1.54891703374402,1,0.153846153846154,0.153846153846154,NA,0,0,0,1,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",1,0.162790697674419,0.162790697674419,NA,0,0,0,1,20,0.266091763298463,0.323358904374956,0.215185854839414,0.425,-0.201371153337039,-0.153062628543074,1,0,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",27,0.1595994125365,0.151581556826921,0.0653238849957727,0.0214285714285714,-0.00977589226025602,-0.00963912235840026,4.92398060718492,1,0.315789473684211,0.315789473684211,NA,0,0,0,1,58,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,5,0.21342690460897,0.194100028775119,0.16367965247795,0.140413878333742,-0.0279361367721433,-0.100205881317482,1.9796462143251,0,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",43,0.191726162074531,0.216602426963451,0.13718278692744,0.243741765480896,-0.065181202346384,-0.022295801449111,0.776554332544956,81,0.181782367106291,0.137908636070179,0.132915974390096,0.138695652173913,0.00328128867058965,0.013358703035126,0.971128124985297,2,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",4,0.208730275837335,0.192890868987335,0.0725816543524329,0.122222222222222,-0.0151749760073,-0.0185443283004259,1.8,3,0.263331088063553,0.275410851593124,0.153797244839375,0.14743961352657,0.00519698521126968,-0.00190206151396059,1,0,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",1,0.02,0.02,NA,0,0,0,1,13,0.0568333294933867,0.0459173720645249,0.0405114170560905,0.076,0.00451988535738735,-0.0111712293949323,1.001025704987,2,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",92,0.119397984608029,0.114605887363473,0.0680285010718264,0.092669380633905,-0.00984770840354902,0.000192555928346775,0.82076816486347,429,0.125670774482881,0.12,0.0829449713679623,0.111266666666667,0.0031702534442142,0.00172423885917472,0.845154208099231,4,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",1,0.0314285714285714,0.0314285714285714,NA,0,0,0,1,3,0.0492715068022683,0.0488740681267364,0.0233897561629374,0.0366666666666667,0.00652306080819409,0.00579111111111111,0.700440876291066,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",4,0.206817124841755,0.139100774291023,0.226713358640505,0.462873372567091,-0.0495578391033147,-0.0341946780722248,3.85133889546083,8,0.176448013648844,0.186022145694894,0.0964928919502683,0.138529411764706,0.0680200280742323,0.0712658472864719,0.0801954731795667,0,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Pakistan","Pakistan2013",1,0.00901960784313726,0.00901960784313726,NA,0,0,0,1,3,0.0111224616717275,0.005,0.0218060256238713,0,0.00791091485411385,0.00988515043675186,0.3930294792919,2,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",2,0.158333333333333,0.158333333333333,0.0117851130197758,0.0166666666666667,0.00166666666666667,0.00166666666666667,0.833333333333333,5,0.245491990034291,0.10948441709682,0.329297262310208,0.709320478927203,-0.061110626840314,-0.0432295079458097,1.49898071375931,0,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",6,0.0862083075047182,0.0939090090835324,0.0456639580702093,0.0656821378340366,0.00255666124326414,0.0158670937526595,0.96156589939896,1,0.17,0.17,NA,0,0,0,1,5,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,8,0.0424433698461807,0.0218128835108979,0.0532437999724701,0.0541666666666667,0.0131591303154436,0.00393859294495793,0.460697685818788,2,"2012","Europe and Central Asia","Russian Federation","High income"
