"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",1,1273.80976170704,1273.80976170704,NA,0,0,0,1,1,14.0981549147264,14.0981549147264,Inf,0,2.6354058515196e-31,0,1,11,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",3,2507.97188292909,1918.65622061764,1192.0809743425,1916.61509697869,39.6116723439768,48.803216545037,1.02289961426405,1,9593.28110308822,9593.28110308822,NA,0,0,0,1,1,1,31977.6036769607,31977.6036769607,NA,0,0,0,1,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",22,55755.1418602101,46277.2978970789,42709.4884774997,43382.14189096,6434.79296658995,9668.76108504431,1.32628830600206,14,100601.008426974,56190.1164408317,92691.4379266261,169421.382532743,-6142.44906771754,-18586.8932909932,1.52801567539693,12,13,25935.1202076665,22461.1681388107,15404.7649274338,12306.1808459019,-1999.95380859394,-2682.501146707,1.41609368974173,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",64,6761.19491313703,5169.5067119885,6109.7538505177,6494.90686856757,437.761812391122,319.028823272655,1.01570767765014,47,5701.78388239381,6448.10020797094,3197.40746036453,3561.82303235704,59.4458476112035,638.058441820539,1.90995216206102,19,32,5212.2701485258,4022.90661803462,3552.63305058092,5662.1371574154,245.219151515447,101.358875175409,1.34152704514732,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",NA,NA,NA,NA,NA,NA,NA,NA,1,14268.4556828319,14268.4556828319,Inf,0,2.40359988099338e-28,0,1,3,1,42562.15473572,42562.15473572,NA,0,0,0,1,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bolivia","Bolivia2010",1,20142.4501424501,20142.4501424501,NA,0,0,0,1,9,28059.9864399415,29441.3658717946,14762.0905396565,19746.5369879163,-10880.3441405679,-8704.67027473254,0.108987784289252,2,2,7831.36154946806,7831.36154946806,4101.04665523333,5799.7557997558,-794.210152373939,-790.875790875791,0.782205854825774,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",5,21209.5165553334,14782.1116880126,18659.1964477536,13107.1948253739,1082.59319260921,1112.20532091377,1.23783310987037,2,20172.7677383641,20172.7677383641,7991.05774583978,11301.0622418732,-3848.99411304505,-3534.22733032364,0.547306167928888,0,4,5299.41432454439,4720.99427813596,4712.74084897431,10551.646065699,723.388119016951,759.555357628866,1.34751904321807,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",1,835.414579481305,835.414579481305,Inf,0,0,0,1,28,57258.9622204598,58458.0362629657,44244.5925011172,55605.1548380061,-185.981195542814,2452.22625859595,0.631379186304811,86,53,18825.128675125,13948.8493462603,17791.4670210634,25721.9752103455,377.465100022773,-275.824703346638,0.62408297584133,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",1,6281.95962078409,6281.95962078409,NA,0,0,0,1,5,28996.0074265029,25515.4733403272,22096.5049456081,44399.1326106699,-2437.02713751228,-511.895698124228,0.614513046372628,0,4,17473.7783204432,17113.1352750062,7897.27779898912,15484.3246270732,94.006321889254,1342.49615874456,1.05511056396268,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",31,44801.3651690153,37020.9169618773,29678.0583468058,30391.6445127149,-526.79255452287,991.449885385187,1.39310906387628,7,66098.1238691511,55578.2571411283,40202.6282824703,65318.6575142503,-9832.60072439617,-10683.3624218078,0.854306171135645,10,22,52043.9834645376,29913.2933066313,43598.2683890597,73696.3610939434,1930.68994060826,1933.54823956888,0.981433317901372,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",64,30256.6032790181,26817.8477503952,17093.3733772582,19655.3068102293,-30.8179380378126,1453.33657782392,1.2,64,29159.4430909622,21767.778874339,21937.8540636259,25193.2916389776,-8307.30838551243,-10355.9246900045,0.133913253809244,10,17,65945.0850067617,68428.4142008721,49765.3103625247,61839.6666564507,382.199074561454,-3457.53686346111,2.4000796944943,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",17,20303.3764543411,8881.29397076763,20487.4134609515,19043.1542168175,6518.23344879063,4842.74775324336,1,15,54404.9248130363,51118.5775148387,23868.1422367643,25933.5907281325,15016.5689931925,11897.8157191212,1.46001307249783,3,23,104543.457471483,100035.921941697,83468.452691987,115561.720165029,-28022.7647075081,-1836.21909806958,1.77366708857673,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",1,20710.2601692606,20710.2601692606,NA,0,0,0,1,3,38222.9838140603,17443.2410144861,37592.9178843323,66011.4896649304,-1361.44698238981,-1361.44698238981,1,6,1,15792.0580056411,15792.0580056411,NA,0,0,0,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",NA,NA,NA,NA,NA,NA,NA,NA,2,43377.7692501527,43377.7692501527,4423.02470319217,6255.1015219656,1455.39490857616,1455.39490857616,1.87037037037037,0,3,48647.9675723628,50715.2752963541,10153.7605879104,20137.9161322861,1060.56630951231,1077.86047474525,1.25,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",2,13786.3886915905,13786.3886915905,164.120456869463,0,-10.7865565501272,-16.0069914460457,0.942605622331688,3,32081.9482487264,31973.412950007,20190.3412318893,25045.6672581232,9314.21834655981,11037.8568528936,2.1306326903614,3,2,15722.0747204304,15722.0747204304,10474.7966842732,14813.5995339998,2052.29150350431,2020.03630009088,1.34434626631263,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Ecuador","Ecuador2010",6,51896.8154552507,35132.4538373878,47429.5425644078,71343.4161490683,15362.2495254205,10337.468474193,1.83415318384933,1,55333.3333333333,55333.3333333333,NA,0,0,0,1,1,2,15830.0435953301,15830.0435953301,1134.12070960309,1603.88888888889,-158.716286728296,-160.388888888889,0.840540529777825,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",60,13915.9651429293,15700.0689241225,9884.45601226129,10979.853396935,-269.337311071361,948.262502598484,0.727853617412397,51,11625.0204070733,10990.0482468857,6823.10931202439,4840.85458493772,99.209563890893,-1141.27023939303,0.664841150479434,59,54,11020.4358351623,8894.92448672881,9248.02742214319,11775.0516930919,-138.441360345447,502.717008719527,1.10873525004189,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",5,10484.9687838109,11652.0429898891,5415.12663307987,3464.28571428571,1739.91597912598,2248.52380952381,2.54888082249758,1,96666.6666666667,96666.6666666667,NA,0,0,0,1,3,1,9789,9789,NA,0,0,0,1,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",3,55002.4300032567,57315.0655882665,34430.2815561462,44412.9091544453,-4552.62054205883,-7086.00841670124,1.0531519762289,1,71953.445321629,71953.445321629,NA,0,0,0,1,0,1,23921.8313094228,23921.8313094228,NA,0,0,0,1,"2013","Europe and Central Asia","Estonia","High income"
