"countryOnly","country","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",42,137514.586048202,130832.483802101,73347.1041611693,51707.97338903,1087.70704020408,-2340.19123860767,1.71745025185928,33,109005.255962349,79554.8122635443,101394.324319799,62058.2659139557,-13425.1515814551,-5850.96268718438,1.25009803856307,27,90524.2111367456,59480.5724724664,73897.6882292186,61992.8240631178,868.954682972274,7.75449599590642,0.555555555555556,8,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",NA,NA,NA,NA,NA,NA,NA,NA,4,25072.9367646262,26956.7226791906,16662.8229682353,32026.1912426422,6888.38366045785,7620.3258225915,2.34434426010407,1,11490.8788023369,11490.8788023369,NA,0,0,0,1,0,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",1,21367.5213675214,21367.5213675214,NA,0,0,0,1,3,1066317.01631702,1212666.66666667,638024.227152537,396666.666666667,181007.597238275,245966.444102037,3.45454545454545,2,69444.4444444445,69444.4444444444,27498.5970461435,38888.8888888889,2430.55555555556,2430.55555555556,1.14285714285714,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",38,11644.1977135098,6747.92058327489,10773.7944503837,10840.3309680431,-589.507904814606,-128.850548855429,1.12908146475199,45,10350.9113563133,7880.26302257312,9478.16269149392,9043.90238503241,112.921395087029,-209.147236129982,0.688704340339681,21,17088.9799816021,13721.1555395686,12347.9067953895,18604.4464900805,-943.467279634706,-2668.25926368281,0.893478055927129,15,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",NA,NA,NA,NA,NA,NA,NA,NA,4,85315.8993783994,74652.7777777778,44123.6099346243,52771.7074592075,7730.45823749466,7730.45823749466,1.75,2,133333.333333333,133333.333333333,47140.4520791032,66666.6666666667,16666.6666666667,16666.6666666667,1,0,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",NA,NA,NA,NA,NA,NA,NA,NA,2,24321.2312775543,24321.2312775543,5.14962188059512e-12,0,-2.01948391736579e-28,0,NA,1,25942.6466960579,25942.6466960579,NA,0,0,0,1,3,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,3,84178.5375118708,38888.8888888889,81672.4712270755,143276.353276353,20201.0245319248,20201.0245319248,1.33333333333333,2,77953.0320437386,77953.0320437386,23570.2260395516,33333.3333333333,-2804.86913729327,-3333.33333333333,0.887136346229281,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bolivia","Bolivia2010",3,27236.8470692649,16863.3262661712,22554.9722832586,40360.873694207,6532.07621265452,5273.26473261952,1.89550424466929,2,72418.2541522532,72418.2541522532,66452.9842719803,93978.7116176005,-13421.6141100558,-13157.0196264641,0.746311393104766,1,129500.12950013,129500.12950013,NA,0,0,0,NA,4,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",NA,NA,NA,NA,NA,NA,NA,NA,3,49668.558489394,51898.5082769421,8983.19144846719,17243.0816314942,-2080.21667260565,-2012.42543157589,0.639872992104943,2,12166.5660669526,12166.5660669526,7741.29493328269,10947.8442849785,1283.02604090558,1368.48053562231,1.38627054323234,1,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",31,127479.589996784,87995.3631699755,143042.484966767,162418.358518837,6482.27460049472,5195.81410452636,1.09369373708652,50,95126.1915440755,42426.1652367128,120905.446472837,148918.106584992,17160.5953949454,18862.66616563,1,43,166842.306079296,200855.267191671,118407.025701318,154185.287300761,-11608.4702280677,-5965.2712897941,0.9,13,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",NA,NA,NA,NA,NA,NA,NA,NA,3,324389.345269485,295145.21319461,302499.543072977,412151.239395988,-16146.4269296234,-7527.68019491579,1.37837837837838,5,110449.998588089,12476.1245503068,157306.536506177,263085.274247756,2993.93197453451,6601.54721144,1,0,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",1,15000.0183944715,15000.0183944715,NA,0,0,0,1,4,18870.2620042489,19754.5195440475,6350.72751814217,10026.5311922914,973.750158195936,998.517912379171,1.52442442040646,1,9789.81475717234,9789.81475717234,NA,0,0,0,1,0,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",3,113898.728965655,121968.152463264,116917.500884373,222391.636961921,2773.74132111215,15.3031817079186,NA,1,42020.2439773926,42020.2439773926,NA,0,0,0,1,1,25099.2392896142,25099.2392896142,NA,0,0,0,1,1,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",30,203552.774174516,150590.24677711,152393.91560544,189262.476416436,21440.1441763356,20253.9246189938,0.729969312154564,30,88809.6657870218,57440.9339721874,69073.7434097776,80303.2794877149,8091.03799046782,14953.9283126531,0.864685672989245,13,59794.2648237714,53459.5143820179,30106.052488551,60145.5091371285,263.59172414993,2563.17392306673,0.811516100898158,7,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",57,62149.1095506729,48301.7218296684,59377.9749407068,57067.4116489907,3080.39062674111,-1518.96110556279,0.491390367729455,65,73859.7790166563,49586.2803313316,72337.9654935248,86401.3177541378,-5777.46063268343,-351.660541198974,1.02046103922517,20,52901.304292343,19618.7708002158,68782.0971340686,76593.5220918407,673.19396856002,-839.764439791704,1.02546481733404,3,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,66191.012223905,66191.012223905,NA,0,0,0,1,34,577802.558777605,611490.039851204,456305.283639974,494043.489880467,-32375.3487546536,1129.7711729566,0.90429811388301,39,28975.8867469746,23031.1451506392,21795.5080183905,13081.5503825178,5799.39322840801,5398.56379518135,1.02993507942915,36,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",2,65747.600746909,65747.600746909,1897.57446264837,2683.57554069016,0,0,1,9,48937.9909670071,51773.3797199128,16567.0013287956,22265.784118491,5028.97690803778,6448.43974061583,2.63694664931464,1,46515.3093719628,46515.3093719628,NA,0,0,0,1,8,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",5,48151.137151078,31153.4747127605,44871.0976823593,57161.031997926,26434.4420317035,26623.0105093988,1,7,69692.0345135715,45462.7675011976,64529.8383906028,48229.62074825,219.960722788693,-1806.3618357447,1.0329489452535,6,10994.6147032841,9260.45272522548,7071.82307446435,11981.8317072576,1645.59544866332,1465.35424828754,3.45796873583251,3,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Czech","Czech2013",NA,NA,NA,NA,NA,NA,NA,NA,1,242831.140957323,242831.140957323,Inf,0,-4.74402648357711e-27,0,NA,2,68968.8509490584,68968.8509490584,30114.8619935039,42588.8462602073,1479.78103572975,1521.03022357883,1.08719685148458,2,"2013","Europe and Central Asia","Czech Republic","High income"
"Dominica","Dominica2010",1,11145.0012103607,11145.0012103607,NA,0,0,0,1,1,126984.126984127,126984.126984127,NA,0,0,0,1,3,19876.5432098765,18518.5185185185,3360.65619476943,6296.29629629629,746.352413019079,746.352413019079,1.4,2,"2010","Latin America and Caribbean","Dominica","Upper middle income"
"Dominicanrepublic","Dominicanrepublic2010",1,34142.1035006868,34142.1035006868,NA,0,0,0,1,5,23602.8914703032,25957.8376323903,5956.61992597641,9537.68473120675,-1822.62446699834,-836.450152864036,1.41477159331753,4,12798.0988853715,12818.639328655,410.396978200037,441.412012512585,9.38724276312029,13.1543916129378,1.16292586486551,4,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",2,24641.1916634895,24641.1916634895,2734.46658065465,3867.11972421779,-171.718358043176,-175.778169282627,0.926160337552743,9,59254.2291364561,12880.0503990214,89941.0543568486,105249.990246168,-3625.89137822656,-5049.37140242732,2.25467173553149,8,4013.39335348515,4287.48387235453,3303.62160638684,7071.97330007562,312.059595224293,83.6282686967703,1.09422556124792,2,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
